Parameter,Value
<!>startTime,11:57:31 Mon Dec 04 2008
<!>DumpDatabase,FALSE
<!>HotStandby,TRUE
<!>Shutdown,FALSE
<!>ConfigFile,/opt/rmds/sitenode/config/triarch.cnf
<!>Version,ssl5.0.F48
<!>Path,/opt/rmds/admin/src_dist
<!>ProcessID,1201
maxMounts,64
listenPort,8103
localSrcAppByteSendRate,0
localSrcAppByteRecvRate,0
rrcpByteRecvRate,0
rrcpByteSendRate,0
VarDesc,563
ClassDescs,50
ManagedVars,778
ManagedObjs,68
Time,1172488308
MaxClients,5
ALCDynMem,26146
ALCStatMem,40782
ALCOverhead,447
ItemsActivity,0
ItemsManaged,1461
ElementsFreed,0
ElementsInUse,0
PartitionUsed,68740
PartitionAvail,531260
PartitionSize,600000
SemaphoreKey,80
Heartbeat,N/A
