Parameter,Value
<!>Version,dacs6.3.0.F2
<!>ActiveOrBackup,ACTIVE
<!>Status,OPERATIONAL
<!>downloads,0
<!>state,OFF
CHECKSUM_XFER,0
Debug.DumpLogins,0
Debug.DumpMaxLogins,0
Debug.DumpNetworkData,1
DictionaryChksm,9871
PERM_XFER,0
PERM_XFER_DONE,0
PermissioningChksm,12111
PingFrequency,30
PingReceive,ENABLED
PingSend,ENABLED
PingTimeout,45
SERVER_START,0
SERVER_START_RESULT,0
SNKD_CLIENT_EXIT,8
SNKD_CLIENT_START,13
SNKD_FAILURES,1
SNKD_START,7
STATION_EXIT,0
STATION_START,1
UPDATE_XFER,0
UPDATE_XFER_DONE,0
UserPCList.downloads,0
UserPCList.state,OFF
