GENEOS Status Report,
Monday 20 Jul 2015 17:35:44,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,KRW,2059.23,KOSPI           ,2072.91,13.68,2068.38,9:3:30,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
000020.KS,DONGWHA PHARM   ,9460,8910,1.72,6:20:59,Ok,RealTime,27918,1,
000030.KS,WOORI BANK      ,8930,9310,-5.5,6:27:25,Ok,RealTime,29328,1,
000040.KS,KR MOTORS       ,1165,1145,3.1,6:26:11,Ok,RealTime,5454,1,
000050.KS,KYUNG BANG      ,249500,250500,0.2,6:13:0,Ok,RealTime,37470,1,
000060.KS,MERITZ FIRE INS ,16500,16700,-2.37,6:26:57,Ok,RealTime,37086,1,
000070.KS,SAMYANGHOLD     ,276000,285000,-1.25,6:28:51,Ok,RealTime,51038,1,
000080.KS,HITEJINRO       ,24800,23300,2.69,6:20:0,Ok,RealTime,44446,1,
000100.KS,YUHAN           ,280000,252000,2.94,6:23:46,Ok,RealTime,63246,1,
000120.KS,CJ KOREA EXPRESS,192000,185500,2.67,6:21:59,Ok,RealTime,21886,1,
000140.KS,HITEJINROHOLD   ,18650,14950,15.48,6:23:16,Ok,RealTime,17534,1,
000150.KS,DOOSAN          ,106500,109000,-0.47,6:10:0,Ok,RealTime,45934,1,
000180.KS,SUNGCHANG HOLDIN,42450,39300,1.92,6:10:50,Ok,RealTime,3710,1,
000210.KS,DAELIM IND      ,86400,80300,0.93,6:29:14,Ok,RealTime,37230,1,
000220.KS,YUYU PHARMA     ,21400,18300,-0.47,6:29:5,Ok,RealTime,38110,1,
000230.KS,IL DONG PHARM   ,38550,35500,-2.53,6:25:18,Ok,RealTime,25102,1,
000240.KS,HANKOOK TIRE WOR,16200,15850,1.57,6:29:33,Ok,RealTime,48958,1,
000270.KS,KIA MOTORS      ,41050,40800,0.98,6:29:13,Ok,RealTime,46624,1,
000300.KS,DAYOU SMART AL  ,1125,1100,1.35,6:0:2,Ok,RealTime,38158,1,
000320.KS,NOROOHOLDINGS   ,36700,29050,10.21,6:27:43,Ok,RealTime,17390,1,
000370.KS,HANWHA GENERAL  ,6570,6570,-0.76,6:27:59,Ok,RealTime,42830,1,
000390.KS,SAMHWA PAINT    ,22500,16800,13.64,6:28:39,Ok,RealTime,43502,1,
000400.KS,LOTTE NON-LIFE  ,2730,2665,-0.91,6:22:4,Ok,RealTime,9038,1,
000430.KS,DAE WON KANG UP ,4870,4570,-0.61,6:0:30,Ok,RealTime,20222,1,
000480.KS,CHOSUN REFRACTRY,108000,108500,-1.37,6:0:30,Ok,RealTime,23086,1,
000490.KS,DAEDONG IND     ,12500,12250,-0.79,6:0:29,Ok,RealTime,62782,1,
000500.KS,GAON CABLE      ,24650,24300,0.82,6:17:35,Ok,RealTime,47678,1,
000520.KS,SAMIL PHARM     ,9430,8830,2.95,6:21:2,Ok,RealTime,64446,1,
000540.KS,HEUNGKUK F&M INS,4365,4315,0.92,5:49:17,Ok,RealTime,48446,1,
000590.KS,CS HOLDINGS     ,82000,80400,0.12,6:0:30,Ok,RealTime,26494,1,
000640.KS,DONGA SOCIO     ,208000,207500,-3.7,6:29:41,Ok,RealTime,63502,1,
000650.KS,CHUNIL EXPRESS  ,94400,92500,0.43,6:10:0,Ok,RealTime,4702,1,
000660.KS,SK HYNIX        ,39300,40850,3.83,6:29:39,Ok,RealTime,57630,1,
000670.KS,YOUNG POONG     ,1524000,1545000,-1.74,6:10:0,Ok,RealTime,62990,1,
000680.KS,LS NETWORKS     ,4115,4040,-2.49,6:26:15,Ok,RealTime,38814,1,
000700.KS,EUSU HOLDINGS   ,10500,10750,-0.94,6:10:0,Ok,RealTime,39230,1,
000720.KS,HYUNDAI ENG&CON ,42900,40500,3.62,6:26:19,Ok,RealTime,58350,1,
000760.KS,RIFA IND        ,26850,25750,0,6:0:30,Ok,RealTime,43774,1,
000810.KS,SAMSUNG FIRE INS,289500,286500,0,6:23:26,Ok,RealTime,8494,1,
000830.KS,SAMSUNG C&T     ,67000,64400,0.45,6:27:39,Ok,RealTime,39758,1,
000850.KS,HWACHEON MAC    ,70000,70800,0,6:0:30,Ok,RealTime,31774,1,
000860.KS,KUNSUL CHEMICAL ,56200,49250,4.07,6:10:0,Ok,RealTime,3982,1,
000880.KS,HANWHA          ,52200,49100,0.97,6:24:16,Ok,RealTime,46510,1,
000890.KS,BOHAE BREWERY   ,2080,1730,4,6:28:58,Ok,RealTime,42910,1,
000910.KS,UNION           ,4720,4380,-0.63,6:0:26,Ok,RealTime,14366,1,
000950.KS,CHONBANG        ,59400,54200,-1.16,6:20:57,Ok,RealTime,45614,1,
000970.KS,KOREA CAST PIPE ,18500,16950,1.93,6:27:57,Ok,RealTime,30350,1,
000990.KS,DONGBU HITEK    ,17850,17550,-0.56,6:20:54,Ok,RealTime,12478,1,
001020.KS,PAPERCOREA      ,802,784,-1.11,6:24:8,Ok,RealTime,35422,1,
001040.KS,CJ CORP         ,309500,279500,2.48,6:20:44,Ok,RealTime,52782,1,
001060.KS,JW PHARMAC      ,36500,34750,-1.08,6:28:43,Ok,RealTime,48126,1,
001070.KS,TAIHAN TEXTILE  ,128500,140000,-4.1,6:16:25,Ok,RealTime,52510,1,
001080.KS,MANHO ROPE&WIRE ,23000,23550,-3.36,6:10:0,Ok,RealTime,42590,1,
001120.KS,LG INTERNATIONAL,36750,36700,0.68,6:12:19,Ok,RealTime,24478,1,
001130.KS,DAE HAN FLOUR   ,217500,203000,3.57,6:25:26,Ok,RealTime,36830,1,
001140.KS,KUKBO TRANS     ,20600,21850,-1.44,6:15:23,Ok,RealTime,2654,1,
001200.KS,EUGENE INV&SEC  ,3920,3620,2.22,6:18:49,Ok,RealTime,1614,1,
001210.KS,KUMHO ELECTRIC  ,18100,18000,0.56,6:0:30,Ok,RealTime,17838,1,
001230.KS,DONGKUK STEEL   ,6430,6090,1.9,6:29:2,Ok,RealTime,30766,1,
001250.KS,GS GLOBAL       ,7480,7440,-0.8,6:23:38,Ok,RealTime,16622,1,
001260.KS,NAM KWANG CONST ,13400,14300,1.13,6:13:59,Ok,RealTime,32254,1,
001270.KS,BOOKOOK SEC     ,18000,18150,1.12,6:0:30,Ok,RealTime,18414,1,
001290.KS,GOLDEN BRDG SEC ,1470,1400,1.73,6:27:30,Ok,RealTime,25886,1,
001340.KS,PAIK KWANG IND  ,2960,2770,2.25,6:10:0,Ok,RealTime,30926,1,
001360.KS,SAMSUNG PHARM   ,14400,13550,-4.32,6:28:3,Ok,RealTime,34622,1,
001380.KS,SG CHOONGNAM SP ,1690,1675,1.2,6:15:16,Ok,RealTime,21246,1,
001390.KS,KG CHEMICAL     ,22150,20700,-0.67,6:17:3,Ok,RealTime,32686,1,
001420.KS,TAE WON MULSAN  ,4000,3880,5.26,6:17:59,Ok,RealTime,58894,1,
001430.KS,SEAH BESTEEL    ,39100,41550,-6.01,6:27:16,Ok,RealTime,49326,1,
001440.KS,TAIHAN ELEC WIRE,,,,,Ok,RealTime,2478,1,
001450.KS,HYUNDAI MAR&FIRE,29300,28550,1.56,6:14:46,Ok,RealTime,23598,1,
001460.KS,BYC             ,353500,355500,0,6:0:30,Ok,RealTime,18990,1,
001470.KS,SAMBU CONST     ,5270,4580,6.68,6:12:56,Ok,RealTime,28798,1,
001500.KS,HMC INVEST SEC  ,11750,11400,-0.84,6:20:33,Ok,RealTime,26126,1,
001510.KS,SK SECURITIES   ,1435,1375,0,6:23:29,Ok,RealTime,40862,1,
001520.KS,TONGYANG        ,1890,1590,8.31,6:21:21,Ok,RealTime,58446,1,
001530.KS,DONG IL         ,87700,87800,-0.45,6:10:0,Ok,RealTime,47294,1,
001550.KS,CHO BI          ,14500,14200,-0.68,6:25:15,Ok,RealTime,9118,1,
001560.KS,CHEIL GRINDING  ,8050,8070,0.37,6:17:10,Ok,RealTime,17486,1,
001570.KS,KUMYANG         ,1565,1510,-0.32,6:0:30,Ok,RealTime,41454,1,
001620.KS,DONGKOOK IND    ,2635,2445,1.54,6:13:6,Ok,RealTime,6846,1,
001630.KS,CHONGKUNDANGHOLD,119500,109000,1.7,6:10:21,Ok,RealTime,60894,1,
001680.KS,DAESANG         ,36500,33200,6.26,6:29:37,Ok,RealTime,18094,1,
001720.KS,SHINYOUNG SEC   ,55400,54900,0,6:0:30,Ok,RealTime,62750,1,
001740.KS,SK NETWORKS     ,7740,7750,-0.77,6:28:56,Ok,RealTime,42190,1,
001750.KS,HANYANG SEC     ,9110,8700,1.9,6:26:56,Ok,RealTime,64110,1,
001770.KS,SHIN HWA SILUP  ,19550,19550,1.3,6:24:31,Ok,RealTime,64046,1,
001780.KS,ALUKO           ,9070,8420,0.55,6:26:26,Ok,RealTime,54110,1,
001790.KS,TS              ,28400,28050,1.07,6:17:0,Ok,RealTime,6734,1,
001800.KS,ORION CORP      ,1136000,1160000,-2.24,6:18:8,Ok,RealTime,942,1,
001820.KS,SAM HWA CAPACITY,4975,4500,9.34,6:28:38,Ok,RealTime,52254,1,
001880.KS,SAMHO INTL      ,26400,24350,1.54,6:18:38,Ok,RealTime,16142,1,
001940.KS,KISCO HOLDINGS  ,77500,74600,1.17,6:0:13,Ok,RealTime,6062,1,
002000.KS,HANKUK GLASS    ,31150,29150,3.49,6:0:30,Ok,RealTime,35022,1,
002020.KS,KOLON CORP      ,67700,60700,-0.88,6:28:44,Ok,RealTime,25854,1,
002030.KS,ASIA HOLDINGS   ,160500,154000,0.63,6:0:30,Ok,RealTime,18910,1,
002070.KS,NAMYEUNG VIVIEN ,10550,9920,0.96,6:0:30,Ok,RealTime,38206,1,
002100.KS,KYUNGNONG       ,5490,5360,-0.9,6:0:23,Ok,RealTime,54126,1,
002140.KS,KOREA IND       ,2500,2340,2.46,6:16:53,Ok,RealTime,30014,1,
002150.KS,DOHWA ENGIN     ,4395,4540,-0.23,6:10:0,Ok,RealTime,20302,1,
002170.KS,SAM YANG T S    ,111000,110500,-0.89,6:0:30,Ok,RealTime,27230,1,
002200.KS,EXPORT PACKING  ,23700,23100,2.82,6:0:30,Ok,RealTime,24254,1,
002210.KS,DONGSUNG PHARM  ,6500,6150,0.62,6:14:3,Ok,RealTime,38062,1,
002220.KS,HANIL IRON & ST ,24150,23400,0.21,6:0:20,Ok,RealTime,34878,1,
002240.KS,KIS WIRE        ,59800,53800,0.67,6:0:30,Ok,RealTime,21358,1,
002250.KS,ALVOGEN KOREA   ,24750,23500,-1.98,6:27:3,Ok,RealTime,15838,1,
002270.KS,LOTTEFOOD       ,868000,839000,2.12,6:0:14,Ok,RealTime,13262,1,
002300.KS,HANKUK PAPER    ,38800,37850,-1.02,6:0:23,Ok,RealTime,42606,1,
002310.KS,ASIA PAPER      ,24100,23650,0.42,6:0:30,Ok,RealTime,3822,1,
002320.KS,HANJIN TRANS    ,49800,46400,4.18,6:23:40,Ok,RealTime,47278,1,
002350.KS,NEXEN TIRE      ,13950,12800,4.49,6:23:25,Ok,RealTime,11742,1,
002360.KS,SH E & C        ,1870,1660,3.31,6:26:27,Ok,RealTime,40222,1,
002380.KS,KCC             ,510000,471000,-3.04,6:29:41,Ok,RealTime,19918,1,
002390.KS,HANDOK          ,36200,34700,-0.14,6:13:1,Ok,RealTime,56862,1,
002410.KS,PUM YANG CONST  ,20300,14750,29.71,6:0:10,Ok,RealTime,64558,1,
002420.KS,CENTURY COMPANY ,70400,71500,1.73,6:13:48,Ok,RealTime,50590,1,
002450.KS,SAMICK MUSIC INS,4885,4395,-1.11,6:20:27,Ok,RealTime,13630,1,
002460.KS,HWA SUNG IND    ,28950,26450,0.17,6:14:53,Ok,RealTime,42334,1,
002550.KS,LIG INSURANCE   ,28300,28350,-1.05,6:28:29,Ok,RealTime,20750,1,
002600.KS,CHOHEUNG        ,143000,137000,-0.35,5:49:25,Ok,RealTime,13070,1,
002620.KS,JEIL PHARM      ,35050,31600,-0.43,6:10:0,Ok,RealTime,24270,1,
002630.KS,ORIENTBIO       ,1225,863,29.9,6:17:18,Ok,RealTime,4318,1,
002700.KS,SHINIL IND      ,1585,1545,-1.25,6:26:22,Ok,RealTime,16494,1,
002710.KS,TCC STEEL       ,2360,2305,1.07,6:0:20,Ok,RealTime,23710,1,
002720.KS,KUKJE PHARM     ,5080,4790,2.63,6:28:26,Ok,RealTime,19182,1,
002760.KS,BO LAK          ,4395,4205,-0.57,6:0:30,Ok,RealTime,59902,1,
002780.KS,CHIN HUNG INT'L ,2915,2080,29.84,6:0:3,Ok,RealTime,55166,1,
002790.KS,AMOREG          ,181000,171500,-1.9,6:27:19,Ok,RealTime,5902,1,
002810.KS,SAM YUNG TRADING,21700,21200,-0.23,6:0:30,Ok,RealTime,40190,1,
002820.KS,SUNCHANG        ,22200,18800,13.27,6:27:38,Ok,RealTime,24670,1,
002840.KS,MIWON COMMERCIAL,180000,198000,-2.17,6:10:59,Ok,RealTime,990,1,
002870.KS,SHIN POONG PAPER,10900,10450,-5.22,6:29:43,Ok,RealTime,3422,1,
002880.KS,DAYOU A-TECH    ,1965,1885,0.77,6:22:50,Ok,RealTime,9182,1,
002900.KS,TONGYANG MOOLSAN,9440,9070,0.21,6:15:9,Ok,RealTime,42526,1,
002920.KS,YOO SUNG ENT    ,4515,4385,1.12,6:23:30,Ok,RealTime,25038,1,
002960.KS,HAN KOOK SHL OIL,463000,469000,-1.17,6:20:40,Ok,RealTime,39246,1,
002990.KS,KUMHO IND       ,19500,14550,30,6:27:42,Ok,RealTime,48544,2,
003000.KS,BUKWANG PHARM   ,31700,30950,-1.09,6:26:19,Ok,RealTime,39502,1,
003010.KS,HAE IN          ,3605,3505,0,6:27:38,Ok,RealTime,44478,1,
003030.KS,SEAH STEEL      ,71200,70300,1.71,6:15:29,Ok,RealTime,8494,1,
003060.KS,SCHNELL BIOPHARM,4020,2845,29.89,6:29:23,Ok,RealTime,58030,1,
003070.KS,KOLON GLOBALCORP,24500,20950,-0.61,6:22:48,Ok,RealTime,42830,1,
003080.KS,SUNG BO CHEM    ,58300,56500,1.75,6:0:1,Ok,RealTime,29262,1,
003090.KS,DAEWOONG        ,93000,84000,0.54,6:18:19,Ok,RealTime,45902,1,
003120.KS,ILSUNG PHARM    ,140000,123500,7.69,6:23:47,Ok,RealTime,62958,1,
003160.KS,D I CORP        ,7320,6650,3.54,6:20:47,Ok,RealTime,10798,1,
003200.KS,ILSHIN SPINNING ,203500,212000,4.63,6:0:18,Ok,RealTime,31502,1,
003220.KS,DAEWON PHARM    ,25750,25100,-0.77,6:10:9,Ok,RealTime,20414,1,
003230.KS,SAM YANG FOODS  ,24000,24500,0.84,6:0:30,Ok,RealTime,15406,1,
003240.KS,TAEKWANG IND    ,1377000,1321000,-0.15,6:0:15,Ok,RealTime,10046,1,
003280.KS,HEUNG A SHIPPING,2850,2565,6.34,6:27:53,Ok,RealTime,56286,1,
003300.KS,HANIL CEMENT    ,170500,158500,0.89,6:13:18,Ok,RealTime,31694,1,
003350.KS,HK COSMETIC MANU,40550,38400,-1.22,6:15:54,Ok,RealTime,38606,1,
003410.KS,SSANGYONG CEM   ,24500,18600,14.75,6:29:10,Ok,RealTime,55486,1,
003450.KS,HYUNDAI SEC     ,8920,8590,0.45,6:24:56,Ok,RealTime,46862,1,
003460.KS,YUHWA SEC       ,15200,14600,0,6:14:49,Ok,RealTime,19822,1,
003470.KS,YUANTA SEC KOR  ,5730,5400,1.42,6:19:15,Ok,RealTime,50334,1,
003480.KS,HANJIN HVY HLDG ,7900,7960,-3.07,6:0:30,Ok,RealTime,12478,1,
003490.KS,KOREAN AIR LINE ,39450,39750,0,6:28:25,Ok,RealTime,22478,1,
003520.KS,YOUNG JIN PHARM ,2500,2000,13.12,6:26:39,Ok,RealTime,22478,1,
003530.KS,HW INV&SEC      ,6170,5870,-1.44,6:18:31,Ok,RealTime,48190,1,
003540.KS,DAISHIN SEC     ,11800,11400,1.72,6:24:41,Ok,RealTime,52526,1,
003550.KS,LG CORP         ,56500,57000,1.99,6:21:44,Ok,RealTime,62702,1,
003560.KS,IHQ             ,2945,3070,-1.67,6:28:7,Ok,RealTime,49454,1,
003570.KS,S T DYNAMICS    ,12450,12250,-1.58,6:10:0,Ok,RealTime,47790,1,
003580.KS,DONGWON         ,4875,4770,0.62,5:47:4,Ok,RealTime,25150,1,
003600.KS,SK HLDG         ,211500,210500,0.24,6:20:15,Ok,RealTime,43022,1,
003610.KS,PANG RIM SPINNIN,34900,34700,-0.29,6:13:51,Ok,RealTime,49038,1,
003620.KS,SSANGYONG MTR   ,8800,8980,0,6:24:46,Ok,RealTime,62638,1,
003650.KS,MI CHANG OIL    ,80300,79000,-0.25,6:0:30,Ok,RealTime,26574,1,
003680.KS,HANSUNG ENT     ,11250,11100,1.35,6:29:19,Ok,RealTime,35742,1,
003690.KS,KOREAN REINSU   ,13850,13800,-0.36,6:23:22,Ok,RealTime,32318,1,
003720.KS,SAM YOUNG CHEM  ,1785,1830,0.28,6:10:0,Ok,RealTime,27982,1,
003780.KS,CHIN YANG IND   ,2910,2850,-0.51,6:0:30,Ok,RealTime,32958,1,
003830.KS,DAEHAN SYNTHETIC,135000,125500,-0.74,6:0:17,Ok,RealTime,20430,1,
003850.KS,BORYUNG PHARM   ,77500,77100,-0.64,6:22:13,Ok,RealTime,47934,1,
003920.KS,NAMYANG DAIRY   ,748000,708000,1.49,6:0:29,Ok,RealTime,25262,1,
003940.KS,SAMYANG GENEX   ,199000,182500,3.11,6:0:30,Ok,RealTime,60974,1,
003960.KS,SAJODAERIM      ,24700,21500,4.44,6:23:49,Ok,RealTime,65038,1,
004000.KS,SAMSUNG F CHEM  ,37100,37350,0,6:26:1,Ok,RealTime,32510,1,
004020.KS,HYUNDAI STEEL   ,65200,62800,-2.4,6:24:45,Ok,RealTime,59774,1,
004060.KS,SG              ,708,698,-0.56,6:27:49,Ok,RealTime,17534,1,
004080.KS,SHINHUNG        ,12200,11950,0,6:0:30,Ok,RealTime,42590,1,
004090.KS,KOREA PETRO IND ,109500,102000,2.34,6:0:30,Ok,RealTime,1166,1,
004100.KS,TAEYANG METAL   ,2020,1980,-1.46,6:22:48,Ok,RealTime,55870,1,
004130.KS,DAEDUCK GDS     ,9360,8960,0.43,6:17:27,Ok,RealTime,54670,1,
004140.KS,DONGBANG TRANS  ,2470,2355,2.07,6:17:9,Ok,RealTime,44382,1,
004150.KS,HANSOL HOLDINGS ,10200,10400,-0.97,6:20:48,Ok,RealTime,53390,1,
004170.KS,SHINSEGAE       ,216500,233500,0.93,6:26:51,Ok,RealTime,43246,1,
004200.KS,KOREA DVLP      ,3700,4000,0.95,6:19:9,Ok,RealTime,61902,1,
004250.KS,NPC             ,6360,6320,0,6:0:10,Ok,RealTime,51310,1,
004270.KS,NAM SUNG        ,2120,2095,1.92,6:28:6,Ok,RealTime,39150,1,
004310.KS,HYUNDAI PHARM   ,4895,4735,0.2,6:16:11,Ok,RealTime,41838,1,
004360.KS,SEBANG          ,20050,19900,-0.99,6:0:30,Ok,RealTime,15454,1,
004370.KS,NONG SHIM       ,303500,291000,-4.41,6:27:41,Ok,RealTime,27854,1,
004380.KS,SAMICK THK      ,8080,8000,0.12,6:0:11,Ok,RealTime,60334,1,
004410.KS,SEOUL FOOD      ,5050,4900,-2.7,6:21:55,Ok,RealTime,51966,1,
004430.KS,SONGWON IND     ,10550,9810,1.44,6:11:34,Ok,RealTime,18030,1,
004450.KS,SAMHWA CROWN    ,47500,47800,0,5:47:3,Ok,RealTime,11678,1,
004490.KS,GLOBAL BATTERY  ,39400,40000,-2.72,6:11:48,Ok,RealTime,20030,1,
004540.KS,KLEANNARA       ,5910,5440,-3.11,6:29:12,Ok,RealTime,36158,1,
004560.KS,HYUNDAI BNGSTEEL,11550,11100,0,6:26:17,Ok,RealTime,7710,1,
004690.KS,SAMCHULLY       ,131500,126500,1.94,6:28:45,Ok,RealTime,7982,1,
004700.KS,CHO KWANG LEATHE,125500,125500,0.4,6:0:15,Ok,RealTime,29998,1,
004710.KS,HANSOL TECHNICS ,19500,17800,1.3,6:14:58,Ok,RealTime,60014,1,
004720.KS,WOORIDUL PHARM  ,7070,6900,3.21,6:20:5,Ok,RealTime,30862,1,
004740.KS,BORNEO INT'L    ,1430,1065,30,6:26:7,Ok,RealTime,9390,1,
004770.KS,SUNNY ELEC      ,2400,2295,5.49,6:22:33,Ok,RealTime,60606,1,
004800.KS,HYOSUNG CORP    ,150000,143500,5.63,6:25:12,Ok,RealTime,21822,1,
004830.KS,DUKSUNG         ,15000,13050,-1.64,6:10:17,Ok,RealTime,47934,1,
004840.KS,DRB HOLDING     ,13300,12850,-1.48,6:14:11,Ok,RealTime,30078,1,
004870.KS,T'WAY HOLDINGS  ,12250,11950,-0.41,6:28:16,Ok,RealTime,63006,1,
004890.KS,DONGIL IND      ,75100,75000,-0.4,6:0:30,Ok,RealTime,38638,1,
004910.KS,CHO KWANG PAINT ,21850,17950,9.25,6:29:6,Ok,RealTime,30,1,
004920.KS,CITECH          ,1405,1275,0.36,6:13:57,Ok,RealTime,46510,1,
004960.KS,HANSHIN CONST   ,26500,29000,-4.85,6:20:51,Ok,RealTime,49198,1,
004970.KS,SILLA           ,21450,20750,4.13,6:20:25,Ok,RealTime,58062,1,
004980.KS,SUNGSHIN CEMENT ,20700,17850,8.66,6:25:22,Ok,RealTime,62942,1,
004990.KS,LOTTE CONFEC    ,1922000,1916000,0.21,6:0:0,Ok,RealTime,49582,1,
005010.KS,HUSTEEL         ,20800,19900,2.97,6:22:47,Ok,RealTime,13614,1,
005030.KS,PUSAN CAST METAL,2030,1910,-1.46,6:19:28,Ok,RealTime,59854,1,
005070.KS,COSMOAM&T       ,2975,2850,-1.16,6:0:30,Ok,RealTime,58110,1,
