GENEOS Status Report,
Monday 20 Jul 2015 17:36:05,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,CNY,3924.4871,SSE COMPOSITE   ,3805.8106,-118.6765,3874.9681,7:10:4,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
600000.SS,PUDONG DEV      ,17.07,17.31,1.91,6:59:59,Ok,RealTime,39776,1,
600004.SS,BAIYUN AIRPORT  ,13.34,13.63,-9.5,6:59:55,Ok,RealTime,23216,1,
600005.SS,WUHAN STEEL     ,4.61,5.09,-9.96,6:59:59,Ok,RealTime,17200,1,
600006.SS,DONGFENG AUTO   ,8.21,8.48,-9.98,6:59:59,Ok,RealTime,28528,1,
600007.SS,CN WORLD TRAD   ,12.5,13.05,-8.89,6:59:59,Ok,RealTime,53824,1,
600008.SS,BJ CAPITAL      ,10.27,9.43,-9.99,6:59:57,Ok,RealTime,36000,1,
600009.SS,SH AIRPORT      ,27.06,29.05,-9.95,6:59:59,Ok,RealTime,61488,1,
600010.SS,BAOTOU STEEL    ,5.17,5.51,0.58,6:59:59,Ok,RealTime,48304,1,
600011.SS,HUANENG POWER   ,10.26,12.17,-10,6:59:59,Ok,RealTime,37392,1,
600012.SS,ANHUI EXPRESS   ,10.75,11.41,-9.97,6:59:57,Ok,RealTime,2544,1,
600015.SS,HUA XIA BANK    ,13.19,13.46,2.09,6:59:59,Ok,RealTime,60800,1,
600016.SS,MINSHENG BANK   ,10.05,10.42,3.5,6:59:59,Ok,RealTime,23632,1,
600017.SS,RIZHAO PORT     ,7.1,6.52,-10.01,6:59:59,Ok,RealTime,50544,1,
600018.SS,SH INTL PORT    ,8.17,8.95,1.24,6:59:59,Ok,RealTime,48160,1,
600019.SS,BAOSHAN STEEL   ,7.09,8.16,-6.46,6:59:59,Ok,RealTime,45520,1,
600020.SS,ZHONGYUAN EXP   ,5.6,5.61,-7.89,6:59:59,Ok,RealTime,21232,1,
600021.SS,SHANGHAI ELEC   ,18.5,18.87,-9.98,6:59:59,Ok,RealTime,19616,1,
600022.SS,SHANDONG IRON   ,3.96,3.99,-9.79,6:59:59,Ok,RealTime,24128,1,
600023.SS,ZHENENG ELEC POW,8.12,8.67,-9.98,6:59:59,Ok,RealTime,28064,1,
600026.SS,CHINA SHIP      ,8.8,9.32,-10.02,6:59:59,Ok,RealTime,34832,1,
600027.SS,HUADIAN POWER   ,7.4,7.78,-9.31,6:59:59,Ok,RealTime,60128,1,
600028.SS,CHINA PETROLEUM ,7.31,7.34,4.58,6:59:59,Ok,RealTime,21824,1,
600029.SS,SOUTHERN AIR    ,10.36,10.68,-9.99,6:59:59,Ok,RealTime,59200,1,
600030.SS,CITIC           ,24.71,27.68,-3.63,6:59:59,Ok,RealTime,58864,1,
600031.SS,SANY            ,7.19,7.29,-10.01,6:59:59,Ok,RealTime,43376,1,
600033.SS,FUJIAN EXPRESS  ,4.51,4.54,-9.98,6:59:59,Ok,RealTime,24272,1,
600035.SS,CHUTIAN EXP     ,5.52,5.72,-9.95,6:59:57,Ok,RealTime,11072,1,
600036.SS,MERCHANTS BANK  ,18.48,18.99,3.41,6:59:59,Ok,RealTime,60880,1,
600037.SS,GEHUA CATV      ,26,23.43,-8.29,6:59:59,Ok,RealTime,59040,1,
600038.SS,HAFEI AVIATION  ,50.33,46.22,-10,6:59:56,Ok,RealTime,33088,1,
600039.SS,SICHUAN ROAD    ,5.47,5.63,-9.88,6:59:59,Ok,RealTime,15424,1,
600048.SS,POLY REAL ESTATE,10.5,11.32,-0.94,6:59:59,Ok,RealTime,18496,1,
600050.SS,UNITED NETWORK  ,6.91,7.86,-5.21,6:59:59,Ok,RealTime,49824,1,
600051.SS,NINGBO UNITED   ,10.62,10.3,-10,6:59:49,Ok,RealTime,28464,1,
600052.SS,ZHEGUANGSHA     ,8.17,,-10.02,6:59:57,Ok,RealTime,65488,1,
600053.SS,ZJ REAL ESTATE  ,,,,,Ok,RealTime,1296,1,
600054.SS,HUANGSHAN TOUR  ,16.9,,-0.88,6:59:59,Ok,RealTime,23264,1,
600055.SS,RESOURCE WANDONG,40.58,37.26,-10,6:59:56,Ok,RealTime,29872,1,
600056.SS,CHINA MEHECO    ,16.05,16.17,-9.98,6:59:56,Ok,RealTime,22192,1,
600057.SS,XIANMEN XIANGYU ,10.08,,10.04,6:59:58,Ok,RealTime,16752,1,
600058.SS,MINMETALS DEV   ,21.99,,4.66,6:59:59,Ok,RealTime,57904,1,
600059.SS,GUYUELONGSHAN   ,10.69,10.54,-10.02,6:59:51,Ok,RealTime,50432,1,
600060.SS,HISENSE ELECT   ,19.26,17.68,-10,6:59:54,Ok,RealTime,58000,1,
600061.SS,SINOTEX INVEST  ,,,,,Ok,RealTime,1248,1,
600062.SS,RESOUR D-C PHARM,23.1,23.93,-9.73,6:59:58,Ok,RealTime,49536,1,
600063.SS,WANWEI HI-TECH  ,6.62,6.16,-9.93,6:59:58,Ok,RealTime,23792,1,
600064.SS,NANJING GAOKE   ,19.85,19.86,-10.02,6:59:58,Ok,RealTime,50288,1,
600066.SS,YUTONG BUS      ,18.92,21.39,-5.64,6:59:59,Ok,RealTime,4352,1,
600067.SS,CITYCHAMP       ,8.03,7.98,-9.98,6:59:59,Ok,RealTime,54544,1,
600068.SS,GEZHOUBA        ,8.42,8.97,-9.95,6:59:59,Ok,RealTime,3472,1,
600069.SS,YINGE           ,4.97,5.5,-4.97,6:59:48,Ok,RealTime,28464,1,
600070.SS,ZHEJIANG FURUN  ,11.93,12.9,-10.03,6:59:49,Ok,RealTime,2528,1,
600071.SS,PHENIX OPTICAL  ,18.78,18.91,-5.01,6:58:34,Ok,RealTime,5136,1,
600072.SS,CSSC STEEL      ,17.97,18.52,-10.02,6:59:57,Ok,RealTime,36848,1,
600073.SS,MALING          ,10.05,,9.96,6:59:56,Ok,RealTime,55792,1,
600074.SS,JS ZHONGDA      ,,,,,Ok,RealTime,1184,1,
600075.SS,XINJIANG TIANY  ,,,,,Ok,RealTime,1136,1,
600076.SS,BEIDA JADE BIRD ,8.5,8.11,-9.96,6:59:49,Ok,RealTime,39632,1,
600077.SS,SUNDY LAND INVES,6.62,,-5.7,6:59:58,Ok,RealTime,43328,1,
600078.SS,CHENGXING CHEM  ,9.8,,-10.01,6:59:56,Ok,RealTime,61376,1,
600079.SS,HUMANWELL       ,34.45,33.67,-10.01,6:59:55,Ok,RealTime,46656,1,
600080.SS,GINWA           ,9.78,,0.62,6:59:56,Ok,RealTime,30912,1,
600081.SS,DONGFENG TECH   ,15,13.77,-10.02,6:59:32,Ok,RealTime,32464,1,
600082.SS,HI-TECH DEVLP   ,5.92,5.9,-10.03,6:59:56,Ok,RealTime,46400,1,
600083.SS,GUANGDONG BOXIN ,10.58,9.71,-9.96,6:59:54,Ok,RealTime,36144,1,
600084.SS,CITIC GUOAN VINE,8.87,,-9.95,6:59:35,Ok,RealTime,35680,1,
600085.SS,TONGRENTANG     ,26.65,27.29,-9.97,6:59:58,Ok,RealTime,59600,1,
600086.SS,GOLD JADE       ,43.97,45.76,-10.01,6:59:45,Ok,RealTime,24176,1,
600088.SS,CTV MEDIA       ,23.18,21.29,-10.02,6:59:59,Ok,RealTime,4416,1,
600089.SS,TEBA            ,14.07,,3.91,6:59:59,Ok,RealTime,35536,1,
600090.SS,XIN JIANG HOPS  ,12.23,,0.74,6:59:58,Ok,RealTime,13264,1,
600091.SS,TOMORROW TECH   ,9.31,10.44,-5,6:57:29,Ok,RealTime,36128,1,
600093.SS,HEJIA COMPANY   ,13.23,,1.15,6:59:55,Ok,RealTime,18144,1,
600094.SS,GREATTOWN       ,,,,,Ok,RealTime,1856,1,
600095.SS,HARBIN HI-TECH  ,8.37,8.54,-10,6:59:46,Ok,RealTime,59680,1,
600096.SS,YUNTIANHUA      ,9.94,9.93,-9.96,6:59:58,Ok,RealTime,38208,1,
600097.SS,KAICHUANG MARINE,,,,,Ok,RealTime,1280,1,
600098.SS,GUANGZHOU DEV   ,10.1,8.37,-0.3,6:59:59,Ok,RealTime,13040,1,
600099.SS,LINHAI          ,,,,,Ok,RealTime,1120,1,
600100.SS,TONGFANG        ,16.81,13.89,0,6:59:59,Ok,RealTime,60336,1,
600101.SS,MINGXING ELECT  ,9.19,8.99,-9.99,6:59:57,Ok,RealTime,27440,1,
600103.SS,QINGSHAN PAPER  ,5.58,,-7.77,6:59:59,Ok,RealTime,42720,1,
600104.SS,SAIC MOTOR      ,23.71,26.1,1.98,6:59:59,Ok,RealTime,26016,1,
600105.SS,JIANG SU ETERN  ,20.07,,-10,6:59:44,Ok,RealTime,6912,1,
600106.SS,CHONGQING ROAD  ,7.89,7.76,-10.03,6:59:50,Ok,RealTime,14496,1,
600107.SS,MAILYARD        ,9.88,9.46,-10.02,6:59:46,Ok,RealTime,34560,1,
600108.SS,YASHENG INDUST  ,6.76,6.67,-9.99,6:59:59,Ok,RealTime,55872,1,
600109.SS,SINOLINK SEC    ,17.4,,-9.23,6:59:59,Ok,RealTime,50224,1,
600110.SS,CHINA-KINWA     ,,,,,Ok,RealTime,1696,1,
600111.SS,RARE-EARTH      ,15.39,15.73,-5.76,6:59:59,Ok,RealTime,48704,1,
600112.SS,CHANGZHENG      ,13.52,12.41,-9.99,6:59:59,Ok,RealTime,15264,1,
600113.SS,ZJ DONGRI       ,14.38,18.45,-10.01,6:59:30,Ok,RealTime,8768,1,
600114.SS,NBTM NEW MAT    ,13.42,11.74,-5.49,6:59:57,Ok,RealTime,49040,1,
600115.SS,CHINA EAST AIR  ,8.64,9.16,-10,6:59:59,Ok,RealTime,55504,1,
600116.SS,THREE GORGES    ,13.25,13.26,-9.25,6:59:58,Ok,RealTime,5056,1,
600117.SS,XINING STEEL    ,6.71,,-9.93,6:59:56,Ok,RealTime,10720,1,
