GENEOS Status Report,
Monday 20 Jul 2015 17:36:18,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,TWD,9041.76,TAIWAN WEIGHTED ,9054.2,12.44,9063.54,5:33:20,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
1101.TW,TWN CEMENT      ,40.3,37.7,0.37,,Ok,RealTime,11616,1,
1102.TW,ASIA CEMENT     ,36,35.1,-0.96,,Ok,RealTime,36496,1,
1103.TW,CHIA HSIN CEMENT,11.95,12,-0.42,,Ok,RealTime,12384,1,
1104.TW,UNIVERSAL CEMENT,25.3,25.7,-2.69,,Ok,RealTime,23472,1,
1108.TW,LUCKY CEMENT    ,10.3,10.45,0.49,,Ok,RealTime,21472,1,
1109.TW,HSING TA CEMENT ,11.75,12.2,-2.13,,Ok,RealTime,8416,1,
1110.TW,SOUTHEAST CEMENT,14.4,14.9,-0.69,,Ok,RealTime,12752,1,
1201.TW,WEI-CHUAN FOODS ,19.3,19.15,-0.77,,Ok,RealTime,28304,1,
1203.TW,VE WONG CORP    ,21.95,21.9,-0.23,,Ok,RealTime,7200,1,
1210.TW,GREAT WALL ENT  ,21.2,21.55,-0.47,,Ok,RealTime,36784,1,
1213.TW,OCEANIC BEVERAGE,20.1,19.85,-0.25,,Ok,RealTime,7584,1,
1215.TW,CHAROEN POKPHAND,25.15,25,-0.98,,Ok,RealTime,21984,1,
1216.TW,UNI-PRESIDENT   ,54.2,54.1,1.5,,Ok,RealTime,58480,1,
1217.TW,A.G.V. PRODUCTS ,7.39,7.27,-0.4,,Ok,RealTime,23808,1,
1218.TW,TAISUN          ,12,11.95,-0.42,,Ok,RealTime,14256,1,
1219.TW,FWUSOW          ,15.1,14.75,3.07,,Ok,RealTime,7904,1,
1220.TW,TAI ROUN PRODUCT,10.2,10.3,-0.98,,Ok,RealTime,5632,1,
1225.TW,FORMOSA OILSEED ,21.8,22.3,-0.23,,Ok,RealTime,14944,1,
1227.TW,STANDARD FOODS  ,91.4,87.2,1.22,,Ok,RealTime,37712,1,
1229.TW,LIEN HWA IND    ,21.4,21.3,-0.23,,Ok,RealTime,23504,1,
1231.TW,LIAN HWA        ,30.9,31,-1.12,,Ok,RealTime,14480,1,
1232.TW,TTET UNION      ,70.7,75.3,-0.42,,Ok,RealTime,21824,1,
1233.TW,TEN REN TEA     ,42.5,43.5,0.24,,Ok,RealTime,8192,1,
1234.TW,HEY-SONG        ,34.5,35.15,-1.15,,Ok,RealTime,14976,1,
1235.TW,SHIN TAI IND    ,19.2,18.85,1.59,,Ok,RealTime,6000,1,
1236.TW,HUNYA           ,24.6,24.25,0.61,,Ok,RealTime,6768,1,
1262.TW,GREEN SEAL      ,131,128,0.38,,Ok,RealTime,37200,1,
1301.TW,FORMOSA PLASTICS,72.3,69.6,5.09,,Ok,RealTime,63824,1,
1303.TW,NAN YA PLASTICS ,69.2,66.2,1.47,,Ok,RealTime,54752,1,
1304.TW,USI             ,12.55,12.45,0.4,,Ok,RealTime,33872,1,
1305.TW,CHINA GENERAL   ,10.4,10.4,-1.42,,Ok,RealTime,39712,1,
1307.TW,SAN FANG CHEM   ,40.8,40.2,1.49,,Ok,RealTime,41856,1,
1308.TW,ASIA POLYMER COR,16.9,17.3,-0.88,,Ok,RealTime,45776,1,
1309.TW,TAITA CHEMICAL  ,8,7.82,-0.25,,Ok,RealTime,17712,1,
1310.TW,TWN STYRENE MONO,14.45,13.55,-1.03,,Ok,RealTime,2592,1,
1312.TW,GRAND PETROCHEM ,18.05,18.3,1.4,,Ok,RealTime,39408,1,
1313.TW,UPC TECH        ,9.62,9.73,-1.54,,Ok,RealTime,42592,1,
1314.TW,CHINA PETROCHEM ,9.05,9.04,-1.09,,Ok,RealTime,17280,1,
1315.TW,TAH HSIN INDUSTR,23.45,22.9,-0.43,,Ok,RealTime,7312,1,
1316.TW,SUN YAD TECH    ,10.65,10.75,-0.47,,Ok,RealTime,10352,1,
1319.TW,TONG YANG       ,31.7,30,0.48,,Ok,RealTime,5232,1,
1321.TW,OCEAN PLASTICS  ,29,29.1,-0.17,,Ok,RealTime,12576,1,
1323.TW,YON YU PLASTICS ,29.95,29.9,-1.48,,Ok,RealTime,18176,1,
1324.TW,GLOBE INDS      ,10.45,10.4,-0.95,,Ok,RealTime,6672,1,
1325.TW,UNVL            ,19.35,19.65,-0.26,,Ok,RealTime,11840,1,
1326.TW,FORMOSA CHEM FIB,74.5,69.8,2.62,,Ok,RealTime,52416,1,
1337.TW,ASIA PLASTIC    ,18.05,18.05,-0.28,,Ok,RealTime,48720,1,
1338.TW,HIROCA HOLDINGS ,97.9,101,-1.11,,Ok,RealTime,29136,1,
1339.TW,Y.C.C.          ,83,82.5,-0.36,,Ok,RealTime,46032,1,
1340.TW,VICTORY         ,86.1,86.3,-0.81,,Ok,RealTime,33408,1,
1402.TW,FAR EASTERN NEW ,31.85,32.1,-0.47,,Ok,RealTime,38464,1,
1409.TW,SHINKONG SYN FIB,10.05,9.99,-0.5,,Ok,RealTime,42432,1,
1410.TW,NAN YANG DYEING ,23.8,23.7,-0.21,,Ok,RealTime,4432,1,
1413.TW,HUNG CHOU CHEM  ,8.55,7.42,6.88,1:15:44,Ok,RealTime,12192,1,
1414.TW,TUNG HO         ,7.2,7.24,-1.5,,Ok,RealTime,16368,1,
1416.TW,KWONG FONG IND  ,16.5,16.5,-0.6,,Ok,RealTime,15392,1,
1417.TW,CARNIVAL        ,7.26,6.65,-0.95,,Ok,RealTime,29376,1,
1418.TW,TONG-HWA SYNTH  ,6.75,6.64,-0.59,,Ok,RealTime,4400,1,
1419.TW,SHINKONG TEXTILE,37.95,38.35,-0.78,,Ok,RealTime,10432,1,
1423.TW,REWARD WOOL IND ,7.5,7.57,1.35,,Ok,RealTime,12896,1,
1432.TW,TAROKO TEXL     ,16.9,16.9,0.3,3:9:23,Ok,RealTime,15648,1,
1434.TW,FORMOSA TAFFETA ,31.15,31.25,-0.64,,Ok,RealTime,13504,1,
1435.TW,CHUNG FU        ,5.43,5.39,-1.09,,Ok,RealTime,6800,1,
1436.TW,HUA YU LIEN     ,47.55,47.4,0.32,,Ok,RealTime,5344,1,
1437.TW,GTM             ,13.5,13.35,1.12,,Ok,RealTime,11808,1,
1438.TW,YU FOUNG INTL   ,5.19,5.4,-0.57,5:15:0,Ok,RealTime,6656,1,
1439.TW,CHUWA WOOL      ,13.85,13.8,-0.72,,Ok,RealTime,9680,1,
1440.TW,TAINAN SPINNING ,15.15,14.9,-0.66,,Ok,RealTime,48624,1,
1441.TW,TAH TONG TEXTILE,8.51,8.65,-0.12,,Ok,RealTime,8208,1,
1442.TW,ADVANCETEK      ,22.05,22.95,-1.34,,Ok,RealTime,16080,1,
1443.TW,LILY TEXTILE    ,5.75,5.62,1.23,1:25:5,Ok,RealTime,7744,1,
1444.TW,LEALEA ENT. CO  ,9.14,9.02,-1.4,,Ok,RealTime,46800,1,
1445.TW,UNIVERSAL TXET  ,9.65,10,-0.31,1:1:12,Ok,RealTime,25328,1,
1446.TW,HONG HO PRECISN ,23.45,22.9,-1.05,,Ok,RealTime,15408,1,
1447.TW,LI PENG ENT.    ,9.03,8.95,-0.55,,Ok,RealTime,37152,1,
1449.TW,CHIA HER INDUS  ,7.07,7.66,-5.73,,Ok,RealTime,17536,1,
1451.TW,NIEN HSING TEXTL,23.3,22.75,-0.85,,Ok,RealTime,23808,1,
1452.TW,HONG YI FIBER   ,35.4,30.5,1,,Ok,RealTime,32624,1,
1453.TW,TA JIANG        ,11.85,12.3,-4.05,,Ok,RealTime,3040,1,
1454.TW,TWN TAFFETA FAB ,11.65,11.9,-2.92,,Ok,RealTime,53392,1,
1455.TW,ZIG SHENG IND   ,12.9,13.3,-1.15,,Ok,RealTime,49552,1,
1457.TW,YI JINN INDU    ,13.85,12.95,1.47,,Ok,RealTime,48976,1,
1459.TW,LAN FA TEXTILE  ,12.75,12.2,-1.16,,Ok,RealTime,49472,1,
1460.TW,EVEREST TEXT    ,15.75,15.9,-1.25,,Ok,RealTime,3312,1,
