GENEOS Status Report,
Monday 20 Jul 2015 17:37:26,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,EUR,781.68,AT COM SHR PR ID,797.52,15.84,776.2,14:19:33,6/26/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
ACBr.AT,ALPHA BANK/R    ,0.322,0.322,12.98,14:19:53,Ok,RealTime,208,1,
AGNr.AT,AEGEAN AIRLINS/R,6.18,6.18,1.64,14:17:58,Ok,RealTime,96,1,
AMCr.AT,ATHENS MEDICAL/R,0.773,,-0.26,13:58:27,Ok,RealTime,96,1,
AUTr.AT,AUTOHELLAS/R    ,,,0,,Ok,RealTime,0,1,
AVAr.AT,J. & P. AVAX/R  ,0.5,0.49,1.21,11:44:54,Ok,RealTime,96,1,
BABr.AT,JUMBO/R         ,7.42,7.42,0.82,14:19:23,Ok,RealTime,96,1,
BOAr.AT,ATTICA BNK/R    ,0.07,0.07,7.69,14:19:39,Ok,RealTime,96,1,
BOPr.AT,BNK OF PIRAEUS/R,0.4,0.4,5.82,14:19:54,Ok,RealTime,224,1,
CORr.AT,CORINTH PIPE/R  ,1.08,1.08,,14:15:55,Ok,RealTime,0,1,
DEHr.AT,PUBLIC POWER/R  ,4.71,4.71,5.84,14:16:57,Ok,RealTime,224,1,
DESr.AT,CENTRIC  HOLD/R ,0.193,0.193,1.58,14:12:29,Ok,RealTime,96,1,
DROr.AT,DROMEAS/R       ,,,0,,Ok,RealTime,0,1,
EEEr.AT,COCACOLA HBC AG ,20.01,20.01,-2.34,14:17:38,Ok,RealTime,80,1,
ELGr.AT,ELGEKA/R        ,0.272,,1.49,14:10:41,Ok,RealTime,96,1,
EREr.AT,EURO RELIANCE/R ,1.51,1.51,-7.36,14:10:48,Ok,RealTime,80,1,
ESKr.AT,F.G. EUROPE/R   ,,,0,,Ok,RealTime,0,1,
EURBr.AT,EUROBNK ERGASI/R,0.144,0.144,6.67,14:19:46,Ok,RealTime,208,1,
EXCr.AT,HELL.EXCHANGES/R,4.64,4.64,5.45,14:19:50,Ok,RealTime,80,1,
EYDr.AT,ATHENS WATER/R  ,5.84,5.84,-3.15,14:13:23,Ok,RealTime,80,1,
FRIr.AT,FRIGOGLASS/R    ,2.1,2.1,3.96,14:11:4,Ok,RealTime,96,1,
FRLr.AT,FOURLIS HLD     ,2.96,3,2.07,13:59:57,Ok,RealTime,96,1,
GRIr.AT,GRIVALIA PROP/R ,7.36,7.36,4.4,14:17:2,Ok,RealTime,96,1,
HDFr.AT,FOLLI FOLLIE/R  ,24.2,24.2,1.68,14:19:27,Ok,RealTime,96,1,
HELr.AT,ELLAKTOR/R      ,1.87,1.87,1.08,14:19:56,Ok,RealTime,80,1,
HEPr.AT,HELL.PETROL/R   ,4.68,4.68,0.21,14:19:59,Ok,RealTime,96,1,
HRMr.AT,GEK TERNA/R     ,1.79,1.79,2.29,14:18:58,Ok,RealTime,80,1,
HYGr.AT,HYGEIA/R        ,0.151,0.151,6.34,14:10:45,Ok,RealTime,96,1,
IASr.AT,IASO/R          ,0.7,0.699,-2.78,14:10:49,Ok,RealTime,80,1,
IKTr.AT,IKTINOS HELLAS/R,0.948,0.948,1.28,14:19:18,Ok,RealTime,96,1,
INCr.AT,INTRAKAT/R      ,0.569,0.567,-0.18,14:10:27,Ok,RealTime,96,1,
INLr.AT,INTRALOT/R      ,1.7,1.7,3.03,14:17:59,Ok,RealTime,96,1,
