GENEOS Status Report,
Monday 20 Jul 2015 17:37:32,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,EUR,2506.72,ATX-INDEX VIENNA,2497.77,-8.95,2506.6,14:58:41,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
ANDR.VI,ANDRITZ         ,52.08,51.75,0.44,14:58:28,Ok,RealTime,61568,5,
BWOA.VI,BUWOG           ,18.74,17.94,0.78,14:57:20,Ok,RealTime,48352,1,
CAIV.VI,CA IMMOBILIEN   ,16.605,16.355,-1.69,14:58:19,Ok,RealTime,10912,2,
CONW.VI,CONWERT IMMO SE ,11.775,11.4,1.07,14:57:34,Ok,RealTime,2960,1,
ERST.VI,ERSTE GRP BANK  ,27.16,26.445,-0.69,14:58:14,Ok,RealTime,50704,3,
IMFI.VI,IMMOFINANZ      ,2.219,2.182,-1.03,14:58:41,Ok,RealTime,29104,4,
LENV.VI,LENZING         ,67.17,65.72,1.42,14:56:29,Ok,RealTime,44688,2,
OMVV.VI,OMV AG          ,24.725,25.005,0.1,14:57:48,Ok,RealTime,50272,1,
POST.VI,OESTERR POST    ,41.17,41.02,0.22,14:51:50,Ok,RealTime,21680,2,
RBIV.VI,RAIFF BANK INT  ,13.815,13.62,-0.61,14:58:2,Ok,RealTime,3072,1,
RHIV.VI,RHI             ,23.12,23.18,-0.32,14:57:28,Ok,RealTime,35280,2,
SBOE.VI,SCHOELLER-BLECK ,54.11,52.96,-1.65,14:54:38,Ok,RealTime,47808,1,
TELA.VI,TELEKOM AUST    ,5.897,5.75,0.27,14:58:2,Ok,RealTime,56016,2,
UNIQ.VI,UNIQA INSU GR AG,8.086,8.081,-0.5,14:58:32,Ok,RealTime,60256,3,
VERB.VI,VERBUND         ,13.81,14.03,-0.22,14:57:51,Ok,RealTime,23984,3,
VIEV.VI,FLUGHAFEN WIEN  ,78.29,80.06,0.24,14:40:40,Ok,RealTime,46640,2,
VIGR.VI,VIENNA INSURANCE,32.14,31.69,-0.45,14:57:38,Ok,RealTime,13152,1,
VOES.VI,VOESTALPINE     ,37.315,37.165,-1.28,14:58:37,Ok,RealTime,42320,2,
WBSV.VI,WIENERBERGER    ,14.395,14.06,-0.03,14:58:37,Ok,RealTime,6752,1,
ZUMV.VI,ZUMTOBEL GROUP  ,28.195,26.98,0.37,14:56:1,Ok,RealTime,16768,2,
