GENEOS Status Report,
Monday 20 Jul 2015 17:37:49,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,EUR,5032.47,CAC 40 INDEX    ,5050.49,18.02,5027.91,14:58:45,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
ACCP.PA,ACCOR           ,47.18,47.54,-0.23,14:58:52,Ok,RealTime,26976,6,
AIR.PA,AIRBUS GROUP    ,63.88,60.4,1.59,14:58:52,Ok,RealTime,3712,4,
AIRP.PA,AIR LIQUIDE     ,119.6,116.6,0.63,14:58:52,Ok,RealTime,53408,2,
ALSO.PA,ALSTOM          ,26.495,26.015,-0.02,14:57:39,Ok,RealTime,48816,1,
ALUA.PA,ALCATEL-LUCENT  ,3.274,3.249,0.24,14:58:52,Ok,RealTime,5632,3,
AXAF.PA,AXA             ,23.925,23.685,0.48,14:58:52,Ok,RealTime,23840,6,
BNPP.PA,BNP PARIBAS     ,56.27,55.99,-0.16,14:58:56,Ok,RealTime,57200,13,
BOUY.PA,BOUYGUES        ,32.245,31.575,1.29,14:58:55,Ok,RealTime,15728,9,
CAGR.PA,CREDIT AGRICOLE ,14.17,13.61,0.35,14:58:45,Ok,RealTime,32736,3,
CAPP.PA,CAP GEMINI      ,87.2,86.7,0.53,14:58:57,Ok,RealTime,37536,15,
CARR.PA,CARREFOUR       ,30.07,29.885,0.27,14:58:15,Ok,RealTime,63744,5,
DANO.PA,DANONE          ,61.73,60.94,-0.68,14:58:33,Ok,RealTime,29136,2,
EDF.PA,EDF             ,21.54,20.675,3.19,14:57:56,Ok,RealTime,19552,4,
ESSI.PA,ESSILOR INTERNAT,117,113.6,1.25,14:58:6,Ok,RealTime,2528,3,
GSZ.PA,GDF SUEZ        ,17.665,17.25,0.51,14:58:48,Ok,RealTime,2912,5,
ISPA.AS,ARCELORMITTAL   ,8.345,8.357,-0.6,14:58:58,Ok,RealTime,49088,35,
LAFP.PA,LAFARGE         ,64.59,63.64,2.57,14:58:56,Ok,RealTime,640,30,
LEGD.PA,LEGRAND         ,51.44,51.43,-0.75,14:58:51,Ok,RealTime,4544,2,
LVMH.PA,L.V.M.H.        ,161.6,162,-0.68,14:58:52,Ok,RealTime,40208,2,
MICP.PA,MICHELIN        ,95.51,95.42,-0.52,14:58:4,Ok,RealTime,2096,3,
ORAN.PA,ORANGE          ,14.945,14.325,1.12,14:58:52,Ok,RealTime,60656,10,
OREP.PA,L'OREAL         ,169.4,166.4,0.3,14:58:57,Ok,RealTime,48592,15,
PERP.PA,PERNOD RICARD   ,109.2,106.25,-0.36,14:57:35,Ok,RealTime,46288,3,
PEUP.PA,PEUGEOT         ,18.215,18.53,1,14:58:54,Ok,RealTime,33104,10,
PRTP.PA,KERING          ,163.8,164.7,-0.97,14:58:20,Ok,RealTime,36512,2,
PUBP.PA,PUBLICIS GROUPE ,71.49,71.33,0.22,14:57:2,Ok,RealTime,65264,3,
RENA.PA,RENAULT         ,91.68,91.93,0.79,14:58:56,Ok,RealTime,5840,11,
SAF.PA,SAFRAN          ,65.75,63.52,1.31,14:58:27,Ok,RealTime,38768,6,
SASY.PA,SANOFI          ,97.31,94.98,0.71,14:58:56,Ok,RealTime,45024,18,
SCHN.PA,SCHNEIDER ELECTR,62.56,64.04,-2.28,14:58:32,Ok,RealTime,3856,6,
SGEF.PA,VINCI           ,56.2,55.38,0.83,14:58:4,Ok,RealTime,40304,5,
SGOB.PA,SAINT-GOBAIN    ,41.965,41.22,-0.06,14:58:20,Ok,RealTime,63136,1,
SOGN.PA,SOCIETE GENERALE,44.15,42.45,0.85,14:58:52,Ok,RealTime,32336,6,
SOLB.BR,SOLVAY          ,127.9,127,1.15,14:58:51,Ok,RealTime,848,1,
TECF.PA,TECHNIP         ,51.27,50.89,-0.93,14:58:13,Ok,RealTime,36688,4,
TOTF.PA,TOTAL           ,45.41,44.55,0.69,14:58:48,Ok,RealTime,25040,6,
UNBP.AS,UNIBAIL RODAMCO ,240.1,237.5,0.67,14:58:41,Ok,RealTime,41760,3,
VIE.PA,VEOLIA ENVIRON  ,19.715,19.07,1.39,14:58:54,Ok,RealTime,46464,7,
VIV.PA,VIVENDI         ,24.505,24.165,0.89,14:58:56,Ok,RealTime,44032,7,
VLOF.PA,VALEO           ,131,132,0.54,14:58:37,Ok,RealTime,27008,2,
