GENEOS Status Report,
Monday 20 Jul 2015 17:38:00,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,GBP,3737.14,FTSE 350 INDEX  ,3738.61,1.47,3737.14,14:59:9,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
3IN.L,3I INF. ORD     ,165.2,165.7286,-0.422,14:48:1,Ok,RealTime,57248,1,
AAAA.L,AA PLC          ,369.4,369.7,0.462,14:59:0,Ok,RealTime,36608,3,
AAL.L,ANGLO AMERICAN  ,875.2,871,0.656,14:58:42,Ok,RealTime,19824,9,
ABF.L,ASSOC.BR.FOODS  ,3132,3096.35,-0.032,14:58:4,Ok,RealTime,58736,3,
ACAA.L,ACACIA MIN      ,287.8,284.7,0.419,14:58:34,Ok,RealTime,64880,1,
ADML.L,ADMIRAL GROUP   ,1478,1433,0,14:55:3,Ok,RealTime,39824,2,
ADN.L,ABDN.ASSET.MAN. ,402.7,409,-0.124,14:58:44,Ok,RealTime,14496,1,
AGGK.L,AGGREKO         ,1463,1443,-0.341,14:58:46,Ok,RealTime,55712,1,
AHT.L,ASHTEAD GRP.    ,1060,1069.56,-0.842,14:58:54,Ok,RealTime,24576,2,
ALML.L,ALLIED MIND     ,508.7,534.0905,-2.395,14:58:29,Ok,RealTime,17776,3,
ALNT.L,ALENT           ,481.9,337.7,-0.331,14:59:0,Ok,RealTime,8384,2,
AMFW.L,AMEC FOSTER     ,816,799.5,-0.122,14:58:59,Ok,RealTime,13888,17,
AML.L,AMLIN           ,508.5,497.3,0.395,14:58:1,Ok,RealTime,64976,1,
ANHA.L,AL NOOR HOSP.   ,945,942.5,0,14:57:59,Ok,RealTime,39648,1,
ANTO.L,ANTOFAGASTA     ,655,657,-0.456,14:57:24,Ok,RealTime,18384,1,
AO.L,AO WORLD        ,127.4,125,-3.631,14:58:34,Ok,RealTime,27312,1,
ARM.L,ARM HOLDINGS    ,1020,1017.2486,0.295,14:58:46,Ok,RealTime,60064,4,
ASHM.L,ASHMORE         ,287.7,289,0.035,14:57:52,Ok,RealTime,60864,2,
ASL.L,ABERFORTH SML CO,1217,1210,0.164,14:57:45,Ok,RealTime,27808,2,
ATKW.L,ATKINS WS       ,1543,1502,1.247,14:59:1,Ok,RealTime,25360,1,
ATST.L,ALLIANCE TRUST  ,493.5,491,0.081,14:58:48,Ok,RealTime,35200,2,
AV.L,AVIVA PLC       ,526.631,529.5,-0.095,14:58:52,Ok,RealTime,28750,1,
AVV.L,AVEVA GROUP     ,1762,1745,1.147,14:53:56,Ok,RealTime,39888,2,
AZN.L,ASTRAZENECA     ,4345.5,4324,0.012,14:59:2,Ok,RealTime,21408,3,
BAB.L,BABCOCK INTL    ,1095,1096.04,-0.815,14:58:33,Ok,RealTime,5120,1,
BABS.L,BLUECREST ALBLUE,186.1,186.5,-0.107,14:57:20,Ok,RealTime,16160,3,
BAES.L,BAE SYSTEMS     ,485.3324,484.5,0.497,14:59:1,Ok,RealTime,62864,1,
BAG.L,BARR (AG) PLC   ,612.5,615,-0.082,14:58:34,Ok,RealTime,42048,1,
BALF.L,BALFOUR BEATTY  ,229.9,221,1.322,14:58:40,Ok,RealTime,17424,1,
BARC.L,BARCLAYS        ,277,274.15,0.362,14:59:0,Ok,RealTime,63600,3,
BATS.L,BRIT AM TOBACCO ,3648,3613,0.234,14:59:7,Ok,RealTime,8208,11,
BBA.L,BBA AVIATION    ,304.5,301.5,0.694,14:58:57,Ok,RealTime,49280,1,
BDEV.L,BARRATT DEVLPMNT,639.5,631.5,0.788,14:57:51,Ok,RealTime,27168,2,
BETF.L,BETFAIR GRP     ,2489,2516,-0.28,14:58:54,Ok,RealTime,57984,1,
BEZG.L,BEAZLEY         ,312,306.9,0.418,14:58:24,Ok,RealTime,43600,1,
BG.L,BG GROUP        ,1075.5,1066.425633,-0.139,14:59:7,Ok,RealTime,5536,14,
BGEO.L,BANK OF GEORGIA ,1968,1898,-0.304,14:58:35,Ok,RealTime,7680,6,
BHMG.L,BH MACRO GBP    ,2079,2079,0,14:58:34,Ok,RealTime,40320,2,
BKGH.L,BERKELEY GRP    ,3299,3279,0.949,14:58:29,Ok,RealTime,28464,1,
BLND.L,BR LAND CO      ,839,824,0.06,14:58:35,Ok,RealTime,25872,2,
BLT.L,BHP BILLITON    ,1237.5,1236.5,0.121,14:59:7,Ok,RealTime,30016,13,
BNKR.L,BNKRS INV TRUST ,651,639,0.541,14:58:35,Ok,RealTime,52624,2,
BNZL.L,BUNZL           ,1787,1758,0.056,14:58:57,Ok,RealTime,44416,2,
BOK.L,BOOKER GROUP    ,170.5,168.166931,1.247,14:58:29,Ok,RealTime,16368,2,
BOY.L,BODYCOTE        ,651.5,663.5,-1.288,14:57:44,Ok,RealTime,33312,1,
BP.L,BP              ,428,426.8848277,-0.268,14:59:4,Ok,RealTime,32592,10,
BPTY.L,BWIN.PARTY      ,103,102.0239,-0.29,14:58:45,Ok,RealTime,21504,2,
BRBY.L,BURBERRY GRP    ,1575,1589.584449,-2.778,14:58:25,Ok,RealTime,45888,2,
BRSN.L,BERENDSEN       ,1039,1036,1.07,14:58:12,Ok,RealTime,50800,1,
BRW.L,BREWIN DOLPHIN  ,317.2,323.9,0.158,14:57:28,Ok,RealTime,60352,1,
BRWM.L,BLKRCK WRLD MIN ,270.525,274.5,-0.459,14:54:50,Ok,RealTime,42624,1,
BT.L,BT GROUP        ,469.218,455.15,1.328,14:59:8,Ok,RealTime,3998,5,
BTEM.L,BR EMPIRE SECS  ,510.5,506,0.196,14:58:34,Ok,RealTime,34784,3,
BTG.L,BTG             ,663,673,-2.212,14:58:32,Ok,RealTime,22608,2,
BVIC.L,BRITVIC         ,717,717.5,0.28,14:58:22,Ok,RealTime,44048,2,
BVS.L,BOVIS HOMES GRP ,1134,1135,1.431,14:59:6,Ok,RealTime,41024,5,
BWNG.L,BROWN (N) GROUP ,346.9,333.7,2.938,14:58:51,Ok,RealTime,63760,5,
BWY.L,BELLWAY         ,2333,2356,1.215,14:58:54,Ok,RealTime,54688,6,
BYG.L,BIG YELLOW GRP  ,679.5,649.978326,1.342,14:58:35,Ok,RealTime,41904,1,
CAPCC.L,CAPITAL&COUNTIES,447.5,435.5,0.652,14:59:7,Ok,RealTime,13168,13,
CARDC.L,CARD FACTORY    ,317,315.2,0.444,14:58:53,Ok,RealTime,59294,1,
CBRO.L,CLOSE BROS GRP  ,1500,1512.6,0.267,14:58:35,Ok,RealTime,21152,1,
CCC.L,COMPUTACENTER   ,770.5,764.5,0.917,14:52:20,Ok,RealTime,23328,1,
CCH.L,COCACOLA HBC AG ,1332,1342,-0.15,14:58:32,Ok,RealTime,37328,5,
CCL.L,CARNIVAL        ,3468,3389,-0.516,14:59:5,Ok,RealTime,58480,20,
CEY.L,CENTAMIN ORD    ,59.75,60.05,0.336,14:57:1,Ok,RealTime,15376,1,
CHOO.L,JIMMY CHOO      ,161.6,162.7,-2.943,14:57:33,Ok,RealTime,63344,1,
CINE.L,CINEWORLD GRP   ,497.2,497.8,-0.261,14:57:27,Ok,RealTime,4576,1,
CKN.L,CLARKSON        ,2692,2763,-1.572,14:58:49,Ok,RealTime,1680,1,
CLDN.L,CALEDONIA INV   ,2405,2392,0.292,14:50:22,Ok,RealTime,62688,1,
CLLN.L,CARILLION       ,356.9,360,0.762,14:59:1,Ok,RealTime,50576,4,
CLSH.L,CLS HOLDINGS    ,1836,1867,0.493,14:58:34,Ok,RealTime,40352,1,
CNA.L,CENTRICA        ,280.858,274.7,1.298,14:58:33,Ok,RealTime,8720,2,
CNE.L,CAIRN ENERGY    ,169,167.7,-0.938,14:58:35,Ok,RealTime,61600,1,
COB.L,COBHAM          ,270.5,268.6,0.074,14:58:24,Ok,RealTime,26480,2,
COLT.L,COLT GRP S.A.   ,188,188,-0.053,14:58:39,Ok,RealTime,41760,2,
CPG.L,COMPASS GROUP   ,1123,1111,-0.089,14:57:9,Ok,RealTime,21248,1,
CPI.L,CAPITA PLC      ,1297,1297,0.154,14:58:27,Ok,RealTime,1136,1,
CRDA.L,CRODA INTL      ,2820,2780.711538,0.499,14:59:6,Ok,RealTime,15344,6,
CRH.L,CRH             ,1857,1868.82459,-0.269,14:59:9,Ok,RealTime,12238,3,
CRST.L,CREST NICHOLSON ,544.5,542,0,14:58:49,Ok,RealTime,61760,4,
CSR.L,CSR             ,874.5,877.888017,0.114,14:55:3,Ok,RealTime,40544,1,
CTY.L,CITY OF LDN INV ,405,393.25,0,14:58:34,Ok,RealTime,42320,2,
CWC.L,CABLE & WIR COMM,68.9,66.8,1.026,14:58:34,Ok,RealTime,56816,2,
CWD.L,COUNTRYWIDE     ,527.5,527.75,-0.095,14:58:14,Ok,RealTime,15456,1,
CWK.L,CRANSWICK       ,1599,1618,-0.312,14:58:34,Ok,RealTime,57200,1,
DC.L,DIXONS CARPHO   ,460.4,449.5,-0.282,14:59:8,Ok,RealTime,19776,17,
DCC.L,DCC             ,5250,5205,0.095,14:58:12,Ok,RealTime,27456,1,
DCG.L,DAIRY CREST     ,565,549.5,0.623,14:56:55,Ok,RealTime,52224,2,
DEB.L,DEBENHAMS       ,89.6,85.5,2.05,14:54:49,Ok,RealTime,63472,1,
DECP.L,DECHRA PHARM    ,1003,978.5,1.109,14:49:45,Ok,RealTime,37264,1,
DGE.L,DIAGEO          ,1943,1924.852006,0.051,14:58:55,Ok,RealTime,30752,4,
DJAN.L,DAEJAN HLDGS    ,6350,6220,0.794,14:58:55,Ok,RealTime,41936,6,
DLAR.L,DE LA RUE PLC   ,510.5,505.77907,0.591,14:57:22,Ok,RealTime,7840,2,
DLGD.L,DIRECT LINE     ,356.1,339.6,1.656,14:58:52,Ok,RealTime,55856,3,
DLN.L,DERWENT LONDON  ,3647.4,3543,0.22,14:59:8,Ok,RealTime,2510,1,
DNLM.L,DUNELM GROUP    ,900,900,-0.332,14:57:47,Ok,RealTime,61616,3,
DOM.L,DOMINO'S PIZZA  ,780.5,777,0.128,14:58:37,Ok,RealTime,8720,1,
DPLM.L,DIPLOMA         ,786,822,-4.146,14:58:49,Ok,RealTime,57664,9,
DRX.L,DRAX GROUP      ,256.9,267.2,-0.194,14:58:58,Ok,RealTime,27248,5,
DTY.L,DIGNITY         ,2330,2307,-2.224,14:58:54,Ok,RealTime,38784,4,
ECM.L,ELECTROCOMPONENT,207.4,206.6,-0.67,14:57:3,Ok,RealTime,43104,1,
EDIN.L,EDINBURGH INV   ,685,678.5,0,14:58:39,Ok,RealTime,44352,2,
ELM.L,ELEMENTIS       ,258.9,250.5,-0.039,14:58:48,Ok,RealTime,23872,2,
ELTA.L,ELECTRA PVT EQTY,3174,3160,-0.719,14:44:46,Ok,RealTime,31312,1,
EMG.L,MAN GROUP       ,151.8,157.8,0.53,14:57:51,Ok,RealTime,33104,3,
ERM.L,EUROMONEY INST  ,1174,1161,0.773,14:58:35,Ok,RealTime,62608,1,
ESNT.L,ESSENTRA        ,1006,1018,-0.887,14:58:55,Ok,RealTime,34000,2,
ESUR.L,ESURE           ,262.2,259.9,0.963,14:57:3,Ok,RealTime,62400,1,
ETI.L,ENTERPRISE INNS ,128.3,128.4,0,14:58:58,Ok,RealTime,39216,2,
