GENEOS Status Report,
Monday 20 Jul 2015 17:38:16,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,GBP,6753.75,FTSE 100 INDEX  ,6755.24,1.49,6753.75,14:59:28,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
AAL.L,ANGLO AMERICAN  ,874.6,871,0.587,14:59:22,Ok,RealTime,21328,9,
ABF.L,ASSOC.BR.FOODS  ,3132,3096.35,-0.032,14:58:4,Ok,RealTime,59200,6,
ADML.L,ADMIRAL GROUP   ,1478,1433,0,14:55:3,Ok,RealTime,39824,2,
ADN.L,ABDN.ASSET.MAN. ,402.8,409,-0.099,14:59:16,Ok,RealTime,14656,2,
AGGK.L,AGGREKO         ,1463,1443,-0.341,14:58:46,Ok,RealTime,55808,2,
AHT.L,ASHTEAD GRP.    ,1060,1069.56,-0.842,14:58:54,Ok,RealTime,24624,2,
ANTO.L,ANTOFAGASTA     ,654.5,657,-0.532,14:59:23,Ok,RealTime,20080,7,
ARM.L,ARM HOLDINGS    ,1020,1017.2486,0.295,14:58:46,Ok,RealTime,60480,1,
AV.L,AVIVA PLC       ,526.575,529.5,-0.095,14:59:19,Ok,RealTime,28798,1,
AZN.L,ASTRAZENECA     ,4345,4324,0,14:59:24,Ok,RealTime,23648,13,
BAB.L,BABCOCK INTL    ,1095,1096.04,-0.815,14:59:26,Ok,RealTime,7136,11,
BAES.L,BAE SYSTEMS     ,485.3,484.5,0.476,14:59:27,Ok,RealTime,64560,6,
BARC.L,BARCLAYS        ,277,274.15,0.362,14:59:0,Ok,RealTime,64208,5,
BATS.L,BRIT AM TOBACCO ,3647.5,3613,0.22,14:59:28,Ok,RealTime,9728,6,
BDEV.L,BARRATT DEVLPMNT,639.5,631.5,0.788,14:57:51,Ok,RealTime,27472,4,
BG.L,BG GROUP        ,1074.5,1066.425633,-0.232,14:59:21,Ok,RealTime,7760,8,
BLND.L,BR LAND CO      ,839.125,824,0.06,14:59:25,Ok,RealTime,26352,4,
BLT.L,BHP BILLITON    ,1236.5,1236.5,0.04,14:59:22,Ok,RealTime,32496,4,
BNZL.L,BUNZL           ,1787,1758,0.056,14:58:57,Ok,RealTime,44848,4,
BP.L,BP              ,427.9,426.8848277,-0.291,14:59:22,Ok,RealTime,33584,3,
BRBY.L,BURBERRY GRP    ,1575,1589.584449,-2.778,14:58:25,Ok,RealTime,45904,1,
BT.L,BT GROUP        ,469.35,455.15,1.35,14:59:21,Ok,RealTime,5488,3,
CCH.L,COCACOLA HBC AG ,1332,1342,-0.15,14:58:32,Ok,RealTime,37680,4,
CCL.L,CARNIVAL        ,3468,3389,-0.516,14:59:23,Ok,RealTime,58800,4,
CNA.L,CENTRICA        ,280.858,274.7,1.298,14:58:33,Ok,RealTime,8880,4,
CPG.L,COMPASS GROUP   ,1123,1111,-0.089,14:57:9,Ok,RealTime,21280,2,
CPI.L,CAPITA PLC      ,1297,1297,0.154,14:58:27,Ok,RealTime,1152,1,
