GENEOS Status Report,
Monday 20 Jul 2015 17:38:35,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,EUR,11258.3,IBEX 35 INDEX   ,11336.3,78,11262,14:59:45,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
ABE.MC,ABERTIS         ,15.21,14.885,0.363,14:59:18,Ok,RealTime,7280,5,
ABGek.MC,ABENGOA B       ,2.864,2.811,-1.037,14:59:34,Ok,RealTime,9808,2,
ACS.MC,ACS CONS Y SERV ,29.96,28.705,0.909,14:58:44,Ok,RealTime,24720,1,
AMA.MC,AMADEUS         ,38.51,37.795,0.93,14:58:38,Ok,RealTime,31104,5,
ANA.MC,ACCIONA SA      ,72.48,70.6,1.884,14:58:52,Ok,RealTime,9232,2,
BBVA.MC,BBVA            ,9.269,9.244,-0.108,14:59:46,Ok,RealTime,8624,19,
BKIA.MC,BANKIA          ,1.174,1.125,1.12,14:59:47,Ok,RealTime,38368,5,
BKT.MC,BANKINTER       ,7.058,6.919,0.843,14:58:46,Ok,RealTime,3392,2,
BME.MC,BOLSAS Y MER ESP,37.645,38.53,-0.278,14:58:52,Ok,RealTime,62176,4,
CABK.MC,CAIXABANK       ,4.277,4.274,0.258,14:58:52,Ok,RealTime,56128,7,
DIDA.MC,DSTR INT ALIMENT,6.575,6.732,-0.228,14:59:40,Ok,RealTime,17392,9,
ELE.MC,ENDESA          ,17.825,17.695,0.056,14:59:23,Ok,RealTime,49008,3,
ENAG.MC,ENAGAS          ,25.365,24.71,1.036,14:58:49,Ok,RealTime,52656,9,
FCC.MC,FOMENTO DE CONST,9.431,9.107,-1.576,14:59:18,Ok,RealTime,32720,4,
FER.MC,FERROVIAL       ,21,20.425,1.132,14:57:43,Ok,RealTime,60224,5,
GAM.MC,GAMESA          ,15.865,15.955,0.634,14:59:26,Ok,RealTime,45200,9,
GAS.MC,GAS NATURAL     ,20.765,20.26,1.59,14:59:46,Ok,RealTime,64176,14,
GRLS.MC,GRIFOLS         ,38.705,36.76,0.585,14:59:40,Ok,RealTime,30576,6,
IBE.MC,IBERDROLA       ,6.341,6.212,1.929,14:59:44,Ok,RealTime,60000,14,
ICAG.MC,INT AIRLINES G  ,7.871,7.729,0.897,14:59:47,Ok,RealTime,960,26,
IDR.MC,INDRA SISTEMAS  ,11,10.695,2.421,14:59:46,Ok,RealTime,36160,15,
ITX.MC,INDITEX         ,30.47,30.06,0.016,14:59:34,Ok,RealTime,10960,11,
JAZ.MC,JAZZTEL         ,12.995,12.99,-0.038,14:18:47,Ok,RealTime,47120,2,
MAP.MC,MAPFRE          ,3.28,3.181,0.613,14:59:14,Ok,RealTime,18992,7,
MTS.MC,ARCELORMITTAL   ,8.34,8.352,-0.75,14:59:20,Ok,RealTime,144,1,
OHL.MC,OBR HUARTE LAIN ,17.185,16.57,1.178,14:59:41,Ok,RealTime,58256,3,
POP.MC,BK POPULAR      ,4.427,4.429,1.189,14:58:4,Ok,RealTime,35040,6,
REE.MC,RED ELECTR CORP ,72.81,72.02,0.733,14:59:48,Ok,RealTime,49566,12,
REP.MC,REPSOL          ,16.665,16.27,0.695,14:59:48,Ok,RealTime,3488,20,
SABE.MC,BCO DE SABADELL ,2.227,2.238,-0.179,14:59:26,Ok,RealTime,64176,3,
SAN.MC,BANCO SANTANDER ,6.617,6.641,0.593,14:59:45,Ok,RealTime,19904,14,
SCYR.MC,SACYR           ,3.52,3.527,0.114,14:59:34,Ok,RealTime,58496,6,
TEF.MC,TELEFONICA      ,13.595,13.32,1.455,14:59:42,Ok,RealTime,16240,10,
TL5.MC,MEDIASET ES COM ,12.905,12.075,3.989,14:59:40,Ok,RealTime,27840,2,
TRE.MC,TECNICAS REUN   ,43.13,43.155,-1.135,14:59:27,Ok,RealTime,52512,5,
