GENEOS Status Report,
Monday 20 Jul 2015 17:39:02,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,SEK,1616.25,OMXS30 INDEX    ,1602.77,-13.48,1611.92,15:0:8,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
ABB.ST,ABB             ,175.1,173.8,-1.96,14:58:26,Ok,RealTime,39550,8,
ALFA.ST,ALFA LAVAL      ,146.7,147.1,-1.54,14:55:12,Ok,RealTime,21710,12,
ASSAb.ST,ASSA ABLOY B    ,162.5,160.7,-1.22,14:59:56,Ok,RealTime,61182,6,
ATCOa.ST,ATLAS COPCO A   ,222.8,231.1,-3.47,14:59:21,Ok,RealTime,24638,3,
ATCOb.ST,ATLAS COPCO B   ,200.7,208.4,-3.65,14:59:39,Ok,RealTime,44238,4,
AZN.ST,ASTRA ZENECA    ,578.5,559.5,0.61,15:0:5,Ok,RealTime,4126,9,
BOL.ST,BOLIDEN AB      ,159.1,156,0.06,15:0:7,Ok,RealTime,462,35,
ELUXb.ST,ELECTROLUX B    ,249.1,243.8,-1.35,15:0:2,Ok,RealTime,50926,4,
ERICb.ST,ERICSSON B      ,88.55,88.5,-0.78,15:0:6,Ok,RealTime,47694,6,
GETIb.ST,GETINGE AB      ,208.3,212,-4.36,15:0:8,Ok,RealTime,14398,5,
HMb.ST,HENNES&MAURITZ B,336.3,328.5,0.18,14:59:50,Ok,RealTime,9470,6,
INVEb.ST,INVESTOR B      ,326.6,325.6,-0.85,15:0:8,Ok,RealTime,54926,9,
KINVb.ST,KINNEVIK B      ,279.5,276.9,-0.11,14:57:48,Ok,RealTime,20846,2,
LUPE.ST,LUNDIN PETROLEUM,135,136.6,-2.17,14:59:22,Ok,RealTime,40366,1,
MTGb.ST,MODERN TIMES B  ,242,240.9,-0.04,14:55:3,Ok,RealTime,42702,1,
NDA.ST,NORDEA BANK     ,111,107.8,0.18,14:59:42,Ok,RealTime,26094,6,
NOKI.ST,NOKIA           ,57.35,56.6,0.26,14:59:51,Ok,RealTime,21006,6,
SAND.ST,SANDVIK         ,88.8,91.6,-4.36,15:0:0,Ok,RealTime,20622,8,
SCAb.ST,SCA B           ,229.4,221.6,0.61,15:0:1,Ok,RealTime,32894,1,
SEBa.ST,SEB A           ,108.4,108.3,-0.18,14:58:58,Ok,RealTime,38110,6,
SECUb.ST,SECURITAS B     ,124,121,1.56,14:50:21,Ok,RealTime,16878,1,
SHBa.ST,SV. HANDELSBAN A,134.1,131.8,0.52,14:58:31,Ok,RealTime,44542,1,
SKAb.ST,SKANSKA B       ,183.5,178.4,0.27,14:59:29,Ok,RealTime,64606,3,
SKFb.ST,SKF B           ,175.1,190.4,-8.08,15:0:8,Ok,RealTime,28558,18,
SSABa.ST,SSAB A          ,42.4,42.93,-3.02,15:0:8,Ok,RealTime,29086,15,
SWEDa.ST,SWEDBANK        ,202,200,0.2,14:58:16,Ok,RealTime,1822,8,
SWMA.ST,SWEDISH MATCH   ,255.2,253,-0.39,14:58:14,Ok,RealTime,16910,3,
TEL2b.ST,TELE2 B         ,98,96.9,0.41,14:57:53,Ok,RealTime,11678,1,
TLSN.ST,TELIASONERA     ,50.8,49.6,0.59,14:59:2,Ok,RealTime,10174,3,
VOLVb.ST,VOLVO B         ,105.5,107,-3.39,14:57:22,Ok,RealTime,30254,6,
