GENEOS Status Report,
Monday 20 Jul 2015 17:39:13,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,NOK,689.88,OSE ALL SHARE GI,692.16,2.28,690.09,14:37:53,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
AFGRA.OL,AF GRUPPEN      ,104,104.5,0.48,12:34:22,Ok,RealTime,13200,3,
AFK.OL,ARENDALS F.KOMP ,2100,2100,0,11:29:33,Ok,RealTime,1632,3,
AGAH.OL,AGASTI HOLDING  ,1.45,1.55,0,14:7:47,Ok,RealTime,8352,2,
AKAS.OL,AKASTOR         ,13.75,12.95,0.37,14:43:40,Ok,RealTime,24814,1,
AKER.OL,AKER ASA        ,175,172.5,-1.13,14:25:8,Ok,RealTime,13904,62,
AKSOL.OL,AKER SOLUTIONS  ,39.63,40.4,-4.85,14:25:8,Ok,RealTime,20080,1,
AKVA.OL,AKVA GROUP      ,26,,-1.52,14:25:5,Ok,RealTime,2144,4,
AMSCA.OL,AMERICAN SHIP   ,44,44.2,-3.08,14:25:1,Ok,RealTime,46240,16,
APPT.OL,APPTIX          ,,,,,Ok,RealTime,1776,3,
AQUA.OL,AQUALIS         ,9.32,9.19,0.54,14:25:9,Ok,RealTime,5504,2,
ARCHER.OL,ARCHER          ,2.73,2.72,0,14:25:8,Ok,RealTime,53888,28,
ASC.OL,ABG SUND COL HOL,7.05,6.79,0.71,14:25:5,Ok,RealTime,54352,18,
ASETEK.OL,ASETEK          ,11.1,10.85,3.26,13:56:35,Ok,RealTime,4224,3,
ATEA.OL,ATEA            ,74.75,73.25,4.55,14:25:15,Ok,RealTime,41504,84,
ATLA.OL,ATLA PETROLEUM  ,44.9,44.9,0,10:1:41,Ok,RealTime,1264,3,
AUSS.OL,AUSTEVOLL SEA   ,41.6,41.7,-0.72,14:25:4,Ok,RealTime,40288,2,
AVANCE.OL,AVANCE GAS      ,141,139.5,0,14:25:0,Ok,RealTime,31488,57,
AVM.OL,AVOCET MINING   ,0.52,0.56,-1.89,14:11:22,Ok,RealTime,5056,3,
BAKKA.OL,BAKKAFROST      ,237,231.5,0.42,14:25:10,Ok,RealTime,46752,98,
BELS.OL,BELSHIPS        ,3.63,,0,13:37:32,Ok,RealTime,1904,3,
BERGEN.OL,BERGEN GROUP    ,1.09,0.93,14.74,12:17:12,Ok,RealTime,5648,3,
BIONOR.OL,BIONOR PHARMA   ,2.11,2.18,-2.76,14:8:10,Ok,RealTime,19648,2,
BIOTEC.OL,BIOTEC PHARMACON,9.6,10.8,2.67,14:25:18,Ok,RealTime,40960,16,
BIRD.OL,BIRDSTEP TECHNOL,0.85,,3.66,14:25:18,Ok,RealTime,3088,4,
BON.OL,BONHEUR         ,60.25,61.25,-3.98,14:25:18,Ok,RealTime,21776,15,
BOR.OL,BORGESTAD A     ,68.5,,3.79,8:18:2,Ok,RealTime,1568,3,
BOUVET.OL,BOUVET          ,85,84.75,0,13:14:8,Ok,RealTime,2352,3,
BRGD.OL,BORREGAARD      ,52.75,55,-4.09,14:25:11,Ok,RealTime,55904,68,
BWLPG.OL,BW LPG          ,66.5,66.65,-1.77,14:25:24,Ok,RealTime,22128,2,
BWO.OL,BW OFFSHORE     ,4.85,4.91,-4.15,14:25:13,Ok,RealTime,55952,36,
BYGG.OL,BYGGMA          ,61,61,0,7:0:10,Ok,RealTime,2416,3,
COVI.OL,CONTEXTVISION   ,24.9,,1.22,7:0:15,Ok,RealTime,1568,3,
DAT.OL,DATA RESPONS    ,12,12,-2.44,7:0:26,Ok,RealTime,1984,2,
DESSC.OL,DEEP SEA PLC    ,3.08,2.99,-0.65,14:25:20,Ok,RealTime,14928,12,
DETNOR.OL,DET NORSKE OLJES,56.75,54.8,-0.26,14:25:2,Ok,RealTime,21040,1,
DLPH.OL,DOLPHIN GROUP   ,1.46,1.45,0.69,14:19:33,Ok,RealTime,26432,4,
DNB.OL,DNB             ,137.8,133.3,2,14:25:15,Ok,RealTime,39008,274,
DNO.OL,DNO             ,9.35,9.72,-3.26,14:25:21,Ok,RealTime,21136,130,
DOF.OL,DISTRICT OFFSHOR,5.02,5.4,-7.89,14:25:15,Ok,RealTime,8048,12,
EIOF.OL,EIDESVIK OFFSHOR,11.05,10.7,0.45,14:25:2,Ok,RealTime,2656,4,
EKO.OL,EKORNES         ,94,95.75,-2.84,14:25:2,Ok,RealTime,59552,16,
EMASL.OL,EMAS OFFSHORE   ,1.8,,-5.26,13:51:14,Ok,RealTime,4176,3,
EMGS.OL,ELECTROMAGNETIC ,1.67,1.75,1.83,14:25:0,Ok,RealTime,19232,12,
ENTRA.OL,ENTRA           ,75,74,1.35,14:25:2,Ok,RealTime,11312,42,
EVRY.OL,EVRY ASA        ,15.3,15.3,0,13:38:41,Ok,RealTime,1776,3,
FAR.OL,FARSTAD SHIPPING,23.1,23.7,-3.75,14:25:24,Ok,RealTime,14704,2,
FOE.OL,FRED OLSEN ENERG,49.61,51.9,0.36,14:25:11,Ok,RealTime,15392,131,
FRO.OL,FRONTLINE       ,20.89,19,7.02,14:25:11,Ok,RealTime,39808,1,
FUNCOM.OL,FUNCOM          ,1.53,1.7,-4.38,14:25:12,Ok,RealTime,26416,8,
GJFS.OL,GJENSIDIGE FORS ,133.5,127.4,3.49,14:25:22,Ok,RealTime,38112,238,
GOD.OL,GOODTECH        ,11.6,,0.87,13:1:42,Ok,RealTime,2528,3,
GOGLT.OL,GOLDEN OCEAN    ,33.1,28.8,7.47,14:25:20,Ok,RealTime,42032,1,
GRO.OL,GANGER ROLF     ,64.5,63.75,0,10:50:5,Ok,RealTime,4336,3,
GSFO.OL,GRIEG SEAFOOD   ,25,25.3,-4.58,13:35:47,Ok,RealTime,7456,2,
GYL.OL,GYLDENDAL       ,,,,,Ok,RealTime,1024,2,
HAVI.OL,HAVILA SHIPPING ,8.1,8.1,-4.71,14:25:27,Ok,RealTime,4224,8,
HEX.OL,HEXAGON COMPOSIT,25,24.1,0,14:25:21,Ok,RealTime,47312,36,
HFISK.OL,HAVFISK         ,25.3,24.8,1.2,14:25:6,Ok,RealTime,26848,8,
HLNGH.OL,HOEGH LNG       ,120.5,123,-2.03,14:25:23,Ok,RealTime,21152,54,
HNA.OL,HAFSLUND A      ,59,57.25,0.43,9:46:6,Ok,RealTime,2656,3,
HNB.OL,HAFSLUND B      ,58,58,1.31,7:37:16,Ok,RealTime,3216,3,
HYARD.OL,HAYVARD GROUP   ,12.3,,-4.65,14:25:23,Ok,RealTime,3552,4,
IMSK.OL,I.M. SKAUGEN ASA,2.6,2.04,13.04,13:37:46,Ok,RealTime,6512,3,
IOX.OL,INTEROIL        ,2.64,2.15,11.86,14:25:8,Ok,RealTime,30624,12,
ITER.OL,ITERA           ,2.49,,2.05,12:7:0,Ok,RealTime,1568,3,
ITXX.OL,INTEX RESOURCES ,1.38,,0,12:25:9,Ok,RealTime,5328,3,
JINS.OL,JINHUI SHIPPING ,12.5,11.8,5.04,14:25:2,Ok,RealTime,11808,1,
KOA.OL,KONGSBERG AUTO  ,5.15,5.03,3.62,14:25:12,Ok,RealTime,61008,22,
KOG.OL,KONGSBERG GRUPP ,135,140,-0.37,14:25:15,Ok,RealTime,4592,56,
KP5.OL,KITRON          ,2.85,,1.79,12:6:46,Ok,RealTime,2096,3,
KVAER.OL,KVAERNER        ,4.81,4.77,-1.43,14:25:22,Ok,RealTime,43968,32,
LSG.OL,LEROY SEAFOOD   ,273,270,0.37,14:25:10,Ok,RealTime,54608,70,
MEDS.OL,MEDISTIM        ,39,37.5,0,13:37:39,Ok,RealTime,1936,3,
MHG.OL,MARINE HARVEST  ,96.05,94.8,0.84,14:25:19,Ok,RealTime,28256,2,
NANOV.OL,NORDIC NANOV    ,25.4,24.7,0.4,14:25:3,Ok,RealTime,16720,12,
NAPAT.OL,NAPATECH        ,19,18.5,0,14:25:14,Ok,RealTime,3856,2,
NAVA.OL,NAVAMEDIC       ,11,,4.27,7:6:32,Ok,RealTime,2992,3,
NEL.OL,NEL             ,2.51,2.67,-9.39,14:25:10,Ok,RealTime,57824,46,
NGT.OL,NEXTGENTEL HOLD ,38,37.9,0,14:25:22,Ok,RealTime,2976,4,
NHY.OL,NORSK HYDRO     ,31.69,32.73,-0.16,14:25:3,Ok,RealTime,10336,277,
NIGM.OL,NICKEL MOUNTAIN ,0.93,0.95,-3.13,12:17:37,Ok,RealTime,2352,3,
NOD.OL,NORDIC SEMICOND ,56.8,48.92,2.43,14:26:11,Ok,RealTime,64238,1,
NOF.OL,NORTHERN OFFSHOR,7.22,7.2,0.28,13:51:20,Ok,RealTime,18528,3,
NOR.OL,NORWEGIAN ENERGY,29,30.1,-1.36,14:25:8,Ok,RealTime,13888,8,
NPRO.OL,NORWEGIAN PROP  ,9.75,9.22,0.41,14:25:11,Ok,RealTime,54320,24,
NRSM.OL,NORWAY ROYAL SAL,64,64,0.79,14:25:8,Ok,RealTime,16080,8,
NSG.OL,NORSKE SKOGSIN A,3.85,3.6,-1.28,14:25:23,Ok,RealTime,61264,10,
NTSAS.OL,NTS ASA         ,,,,,Ok,RealTime,1552,3,
NWC.OL,NORWEGIAN AIR SH,345,332.8,-0.63,14:25:26,Ok,RealTime,16176,168,
OCY.OL,OCEAN YIELD     ,67.5,64.75,-1.46,14:25:22,Ok,RealTime,51104,46,
ODF.OL,ODFJELL A       ,21.8,23,-1.36,12:25:23,Ok,RealTime,3632,3,
ODFB.OL,ODFJELL B       ,21.3,21.5,-3.18,12:25:28,Ok,RealTime,2896,3,
ODLL.OL,ODFJELL DRILLING,6.25,6.43,-3.1,14:25:20,Ok,RealTime,17184,10,
OLT.OL,OLAV THON EIENDO,143,141,1.42,14:25:5,Ok,RealTime,20128,10,
OPERA.OL,OPERA           ,70,67.9,3.55,14:25:15,Ok,RealTime,25424,128,
