GENEOS Status Report,
Monday 20 Jul 2015 17:41:41,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,CAD,14599.4,S&P/TSX COMP IDX,14684.56,85.16,14608.86,15:2:0,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
AAR_u.TO,PURE INDUS RL UN,4.83,4.68,0.63,14:58:12,Ok,RealTime,17136,1,
AAV.TO,ADVNTG OIL & GAS,7.95,7.89,0.25,14:58:51,Ok,RealTime,19536,1,
ABX.TO,BARRICK GOLD    ,12.48,12.82,-0.87,15:2:34,Ok,RealTime,46992,108,
AC.TO,AIR CANADA      ,13.4,13.13,0.37,15:2:28,Ok,RealTime,65390,1,
ACOx.TO,ATCO LTD CL 1   ,39.22,39,-0.96,15:2:9,Ok,RealTime,39072,10,
ACQ.TO,AUTOCANADA INC  ,40.18,39.05,-0.45,15:0:56,Ok,RealTime,32944,10,
AD.TO,ALARIS ROYALTY  ,30.45,30.45,0.03,15:1:34,Ok,RealTime,3744,1,
AEM.TO,AGNICO EAGLE MIN,34.95,35.4,0.09,15:2:31,Ok,RealTime,8576,48,
AGFb.TO,AGF MGMT LTD B  ,5.95,5.67,0.17,15:1:12,Ok,RealTime,27504,1,
AGI.TO,ALAMOS GOLD     ,5.89,6.13,-1.83,15:1:53,Ok,RealTime,6752,3,
AGU.TO,AGRIUM IN       ,136.35,130.93,1.25,15:2:20,Ok,RealTime,20928,4,
AIM.TO,AIMIA INC       ,14.28,13.98,-0.49,15:0:3,Ok,RealTime,4144,3,
ALA.TO,ALTAGAS         ,38.29,37.66,0.31,15:1:56,Ok,RealTime,36704,1,
AP_u.TO,ALLIED PPTYS    ,37.09,36.23,0.76,15:1:18,Ok,RealTime,52848,1,
AQN.TO,ALGONQUIN POWER ,9.325,9.27,0.27,15:0:18,Ok,RealTime,26192,3,
ARE.TO,AECON GROUP     ,12.18,11.77,0.16,15:0:1,Ok,RealTime,31408,4,
ARX.TO,ARC RESOURCES   ,21.58,20.98,0.14,15:2:33,Ok,RealTime,13520,9,
ASR.TO,ALACER GOLD CRP ,2.86,2.84,0.35,15:2:13,Ok,RealTime,33280,4,
ATA.TO,ATS AUTOM TOOL  ,15.57,15.68,1.04,14:55:18,Ok,RealTime,62912,1,
ATDb.TO,ALIMENT TD B    ,56.33,52.73,2.44,15:1:58,Ok,RealTime,4880,7,
ATH.TO,ATHABASCA OIL CO,1.89,1.86,-0.53,15:1:42,Ok,RealTime,49136,1,
AVO.TO,AVIGILON CORPRTN,17.78,16.7,-0.5,15:0:57,Ok,RealTime,23392,1,
AX_u.TO,ARTIS RL EST UN ,13.88,13.58,1.39,15:1:57,Ok,RealTime,12880,1,
AYA.TO,AMAYA INC       ,35.47,34.45,-1.03,15:1:58,Ok,RealTime,41840,1,
BAD.TO,BADGER DAYLIGTNG,24.96,25.05,0.73,15:0:35,Ok,RealTime,3888,1,
BAMa.TO,BROOKFIELD AM A ,45.53,44.15,0.84,15:2:23,Ok,RealTime,43616,24,
BB.TO,BLACKBERRY LTD  ,10.16,9.75,0.3,15:2:17,Ok,RealTime,50704,13,
BBDb.TO,BOMBARDIER B    ,1.995,1.98,0.76,15:1:42,Ok,RealTime,52832,2,
BCB.TO,COTT CORP       ,13.49,12.99,0.15,15:2:17,Ok,RealTime,10032,9,
BCE.TO,BCE INC         ,54.47,53.36,0.52,15:2:29,Ok,RealTime,57008,102,
BDI.TO,BLACK DIAMOND IN,17.06,16.93,-0.52,14:55:42,Ok,RealTime,24032,1,
BEI_u.TO,BRDWALK REIT UN ,60.75,59.93,0.58,15:0:47,Ok,RealTime,37872,2,
BEP_u.TO,BRKFL REN ENR UN,35.8,35.33,3.86,15:1:36,Ok,RealTime,9936,4,
BIN.TO,PROGRSIV WST SOL,32.87,32.4,0.74,15:2:13,Ok,RealTime,51806,1,
BIR.TO,BIRCHCLIFF ENRGY,7.13,6.7,1.71,15:0:29,Ok,RealTime,11744,1,
BMO.TO,BK OF MONTREAL  ,74.55,74.19,0.22,15:2:12,Ok,RealTime,25888,2,
BNE.TO,BONTERRA ENERGY ,28.93,28.7,1.72,15:2:13,Ok,RealTime,59102,1,
BNK.TO,BANKERS PETROLUM,2.98,2.64,1.71,15:2:18,Ok,RealTime,48832,2,
BNP.TO,BONAVISTA ENERGY,6.54,6.4,0.62,15:1:47,Ok,RealTime,62416,3,
BNS.TO,BK NOVA SCOTIA  ,63.72,63.58,-0.11,15:2:20,Ok,RealTime,30464,14,
BPY_u.TO,BROOKFIELD PR UN,27.84,28.26,0.91,15:1:45,Ok,RealTime,47328,1,
BTE.TO,BAYTEX ENERGY CO,17.435,17.69,-0.14,15:2:13,Ok,RealTime,58400,2,
BTO.TO,B2GOLD CORP     ,1.89,1.92,0,15:1:52,Ok,RealTime,7392,3,
BXE.TO,BELLATRIX EXPL  ,3.2,2.92,0,15:2:25,Ok,RealTime,40752,2,
CAE.TO,CAE INC         ,14.6,14.52,0.62,15:1:14,Ok,RealTime,4000,4,
CAR_u.TO,CDN APART UN    ,28.33,27.6,0.46,15:1:38,Ok,RealTime,12368,4,
CCA.TO,COGECO CABLE    ,69.71,71.58,-3.93,14:58:48,Ok,RealTime,19120,1,
CCLb.TO,CCL INDS CL B   ,168.22,162.76,0.73,15:2:29,Ok,RealTime,1760,26,
CCO.TO,CAMECO CORP     ,17.77,17,0.68,15:2:20,Ok,RealTime,3024,2,
CCT.TO,CATAMARAN CORP  ,79.2,77.69,1.28,14:59:49,Ok,RealTime,65264,35,
CEU.TO,CANADIAN ENGY SV,6.76,6.48,-1.31,15:1:3,Ok,RealTime,60944,1,
CF.TO,CANACCORD GENUIT,7.05,7.05,-1.67,15:1:52,Ok,RealTime,16464,1,
CFP.TO,CANFOR CORP     ,28.39,27.15,2.53,15:2:0,Ok,RealTime,36048,4,
CFW.TO,CALFRAC WELL SRV,7.11,6.7,0.71,15:1:49,Ok,RealTime,18400,1,
CG.TO,CENTERRA GOLD   ,6.65,6.76,0.3,15:2:6,Ok,RealTime,38160,1,
CGX.TO,CINEPLEX        ,48.32,47.33,0.27,15:2:2,Ok,RealTime,27024,1,
CHE_u.TO,CHEMTRADE LOGIS ,20.08,20.14,0.3,15:2:18,Ok,RealTime,1230,1,
CIX.TO,CI FINANCIAL    ,34.24,33.56,0.29,15:1:26,Ok,RealTime,12304,1,
CJRb.TO,CORUS ENTER B   ,15.36,16.99,-6.68,15:2:6,Ok,RealTime,9200,9,
CLS.TO,CELESTICA       ,14.84,14.27,1.78,15:2:32,Ok,RealTime,37072,7,
CM.TO,CDN IMPER BANK  ,90.92,91.49,-0.19,15:2:30,Ok,RealTime,26032,38,
CNQ.TO,CDN NATURL RES  ,33.68,33.01,0.9,15:2:20,Ok,RealTime,45072,4,
CNR.TO,CDN NTL RAILWY  ,76.33,72.94,2.22,15:2:23,Ok,RealTime,46352,3,
COS.TO,CDN OIL SANDS   ,9.135,8.89,1.95,15:2:31,Ok,RealTime,7936,7,
CP.TO,CDN PAC RAILWY  ,203.55,199.58,2.04,15:1:19,Ok,RealTime,26176,3,
CPG.TO,CRESCENT PNT    ,23.69,23.94,1.5,15:2:33,Ok,RealTime,59328,104,
CPX.TO,CAPITAL POWER CP,21.53,21.54,-0.55,15:2:10,Ok,RealTime,32624,33,
CR.TO,CREW ENERGY     ,5.77,5.48,1.23,15:1:33,Ok,RealTime,30816,1,
CRR_u.TO,CROMBIE REAL EST,12.93,12.59,1.17,15:2:33,Ok,RealTime,40032,3,
CS.TO,CAPSTONE MINING ,1.18,1.15,1.72,15:0:28,Ok,RealTime,48080,1,
CSH_u.TO,CHRWL RTR RSD UN,11.74,11.24,1.47,15:2:0,Ok,RealTime,42800,1,
CSU.TO,CONSTELLTION STW,535.45,520.77,0.53,15:2:0,Ok,RealTime,8912,2,
CTCa.TO,CDN TIRE CORP A ,132.9,131.91,0.4,15:2:20,Ok,RealTime,59680,2,
CU.TO,CDN UTILITIES   ,35.79,35.15,-0.28,15:2:23,Ok,RealTime,47632,10,
CUF_u.TO,COMINAR RE UN   ,18.17,17.81,1,15:1:23,Ok,RealTime,41520,1,
CUS.TO,CANEXUS CORP    ,1.54,1.39,1.99,14:51:33,Ok,RealTime,60640,2,
CVE.TO,CENOVUS ENERGY  ,18.81,18.19,1.07,15:2:20,Ok,RealTime,58320,7,
CWB.TO,CDN WESTERN BK  ,25.71,26.83,-2.58,15:1:57,Ok,RealTime,54192,4,
CWT_u.TO,**SEE<SRU_u.TO> ,,,,,Ok,RealTime,1006,1,
CXR.TO,CONCORDIA HEALTH,102.87,93.51,-0.86,15:2:20,Ok,RealTime,11664,15,
DDC.TO,DOMINION DIAMOND,16,16.5,-0.5,15:1:39,Ok,RealTime,18464,3,
DGC.TO,DETOUR GOLD CORP,14.71,13.78,-0.47,15:2:13,Ok,RealTime,45520,25,
DH.TO,DH CORPORATION  ,41.3,39.64,1.67,15:1:34,Ok,RealTime,12736,2,
DHXb.TO,DHX MEDIA LTD B ,9.37,9.32,-1.78,14:58:6,Ok,RealTime,7104,2,
DIIb.TO,DOREL IN CL B   ,34.19,32.88,1.21,14:53:55,Ok,RealTime,61168,1,
DOL.TO,DOLLARAMA INC   ,79.66,76.09,0.19,15:2:29,Ok,RealTime,40160,4,
DOO.TO,BRP INC         ,29.42,28.45,2.22,14:59:57,Ok,RealTime,16752,2,
DRG_u.TO,DREAM GLOBAL UN ,9.73,9.66,0.1,15:1:57,Ok,RealTime,24272,2,
DRM.TO,DREAM UNLIMITED ,10.14,9.38,-0.39,15:0:28,Ok,RealTime,18464,1,
DSG.TO,DESCARTES SYS   ,20.55,20.18,0.39,15:1:11,Ok,RealTime,29072,13,
D_u.TO,DREAM OFFICE UNT,24.52,24.31,0.7,15:1:51,Ok,RealTime,27072,1,
ECA.TO,ENCANA CORP     ,12.895,12.23,1.22,15:2:31,Ok,RealTime,18336,6,
ECI.TO,ENERCARE        ,13.62,13.52,0.89,15:0:30,Ok,RealTime,55664,1,
EFN.TO,ELEMENT FINANCIL,19.61,19.36,0.05,15:1:45,Ok,RealTime,52960,1,
EFX.TO,ENERFLEX LTD    ,13.05,13.15,-0.53,15:1:4,Ok,RealTime,42672,12,
ELD.TO,ELDORADO GOLD   ,4.79,4.88,-1.03,15:2:20,Ok,RealTime,42736,1,
EMA.TO,EMERA INC       ,41.26,40.01,0.44,15:0:46,Ok,RealTime,61568,5,
EMPa.TO,EMPIRE CO A     ,91.05,87.44,0.05,15:0:3,Ok,RealTime,5232,1,
ENB.TO,ENBRIDGE INC    ,59.1,57.69,1.55,15:2:28,Ok,RealTime,39808,8,
ENF.TO,ENBRIDGE INC FD ,35.51,34.55,0.94,14:59:49,Ok,RealTime,16240,3,
ERF.TO,ENERPLUS CORP   ,10.65,10.35,0.85,15:1:40,Ok,RealTime,48272,5,
ESI.TO,ENSIGN ERGY SVC ,11.26,11.5,-1.49,15:1:43,Ok,RealTime,464,3,
EXE.TO,EXTENDICARE INC ,8.52,7.91,5.45,15:2:25,Ok,RealTime,21648,1,
FCR.TO,FIRST CAPITAL   ,18.3,17.91,0.72,15:0:25,Ok,RealTime,58544,5,
FFH.TO,FAIRFAX FNCL HLD,651.98,640.45,0.36,14:59:51,Ok,RealTime,11760,16,
FM.TO,FST QUANTUM MIN ,16.09,15.58,0.44,15:2:20,Ok,RealTime,41232,9,
FNV.TO,FRANCO NVDA CORP,57.43,57.97,-0.4,15:2:14,Ok,RealTime,27360,6,
FR.TO,FIRST MJ SILVER ,5.74,5.62,-1.03,15:1:53,Ok,RealTime,9232,2,
FRU.TO,FREEHOLD ROYALTS,14.63,14.8,0.14,15:2:21,Ok,RealTime,35342,1,
FSV.TO,FIRSTSERVICE CRP,36,37.08,-0.3,14:54:46,Ok,RealTime,49840,2,
FTS.TO,FORTIS INC      ,36.8,36.28,1.21,15:2:24,Ok,RealTime,14944,1,
FTT.TO,FINNING INTL    ,24.07,23.47,0.25,15:2:5,Ok,RealTime,46512,4,
FVI.TO,FORTUNA SVR MNS ,4.29,4.32,-2.05,15:2:32,Ok,RealTime,8800,6,
G.TO,GOLDCORP        ,20.37,20.84,-1.31,15:2:28,Ok,RealTime,30000,42,
GC.TO,GRT CDN GAMING  ,23.01,22.8,0.35,14:54:5,Ok,RealTime,12768,1,
GEI.TO,GIBSON ENERGY   ,22.38,22.01,-2.78,15:2:22,Ok,RealTime,5280,14,
GIBa.TO,CGI GRP CL A    ,51.78,49.38,0.64,15:1:54,Ok,RealTime,29744,7,
GIL.TO,GILDAN ACTIVEWR ,44.02,42.45,-0.32,15:1:26,Ok,RealTime,52912,1,
GRT_u.TO,GRANIT RL EST UN,41.93,41.6,0.87,14:55:42,Ok,RealTime,62784,2,
GTE.TO,GRAN TIERRA ENGY,3.48,3.42,-1.14,14:59:37,Ok,RealTime,44112,6,
GWO.TO,GREAT-WST LIFE  ,37.245,36.3,1.21,15:1:29,Ok,RealTime,47728,4,
HBC.TO,HUDSONS BAY COMP,28.11,27.48,0.93,15:1:16,Ok,RealTime,22784,1,
HBM.TO,HUDBAY MINERALS ,10.25,9.55,1.69,15:2:23,Ok,RealTime,63984,1,
HCG.TO,HOME CPTL GRP   ,32.25,42.01,-1.44,15:1:34,Ok,RealTime,15488,3,
HR_u.TO,H R RE TRUST    ,23,22.51,0.92,15:0:59,Ok,RealTime,56960,1,
HSE.TO,HUSKY ENERGY    ,23.51,23.5,0.6,15:2:20,Ok,RealTime,45136,3,
IAG.TO,INDAL INS FN SVC,40.87,40.77,-0.41,14:58:58,Ok,RealTime,33776,1,
IFC.TO,INTACT FNCL CORP,92,89.91,0.04,15:2:26,Ok,RealTime,13294,3,
IFP.TO,INTERFOR CORPORA,20.52,19.9,2.45,15:0:9,Ok,RealTime,55744,5,
IGM.TO,IGM FINANCIAL   ,39.96,39.71,-0.77,15:1:42,Ok,RealTime,9584,4,
