GENEOS Status Report,
Monday 20 Jul 2015 17:41:46,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,USD,2108.95,S&P 500 INDEX   ,2113.11,4.16,2109.01,15:2:59,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
A.N,AGILENT TECH    ,40.07,39.78,-1.0373,15:1:44,Ok,RealTime,1120,4,
AA.N,ALCOA INC       ,10.665,10.8,-0.9749,15:1:46,Ok,RealTime,11104,5,
AAL.OQ,AMERICN ARLNS GP,41.1,42.06,-2.2825,15:2:48,Ok,RealTime,1824,7,
AAPL.OQ,APPLE INC       ,126.94,125.61,1.0588,15:2:57,Ok,RealTime,15856,27,
ABBV.N,ABBVIE          ,70,69.4,0.2865,15:2:46,Ok,RealTime,5232,11,
ABC.N,AMERISOURCEBERGN,110.78,109.46,0.3442,15:2:21,Ok,RealTime,3264,2,
ABT.N,ABBOTT LABS     ,49.7,49.88,-0.996,15:2:59,Ok,RealTime,41230,4,
ACE.N,ACE LTD         ,103.61,104.36,-0.0193,15:2:54,Ok,RealTime,41872,5,
ACN.N,ACCENTURE PLC   ,100.25,98.77,-0.4864,15:2:57,Ok,RealTime,22496,2,
ADBE.OQ,ADOBE SYS       ,82.19,81.89,0.3663,15:1:57,Ok,RealTime,2592,2,
ADI.OQ,ANALOG DEVICES  ,62.81,62.62,0.3034,15:2:59,Ok,RealTime,12574,17,
ADM.N,ARCHER-DANIELS  ,47.59,47.22,-0.4185,15:2:44,Ok,RealTime,8640,1,
ADP.OQ,AUTOMATIC DATA  ,82.13,81.89,0.2931,15:2:37,Ok,RealTime,61968,2,
ADS.N,ALLIANCE DATA   ,302.98,305.06,-0.6297,15:2:55,Ok,RealTime,36288,20,
ADSK.OQ,AUTODESK INC    ,52.78,53.3,-0.9756,15:2:58,Ok,RealTime,27968,13,
ADT.N,ADT CORPORATION ,32.67,32.64,-0.8799,15:2:43,Ok,RealTime,55248,4,
AEE.N,AMEREN CORP     ,38.8,38.92,-0.1544,15:1:58,Ok,RealTime,47376,2,
AEP.N,AMER ELEC PWR   ,55.3,55.4,0.1993,15:2:30,Ok,RealTime,29824,5,
AES.N,THE AES CORP    ,13.09,13.05,-0.2287,15:2:9,Ok,RealTime,51264,9,
AET.N,AETNA INC       ,116.42,114,0.5788,15:2:57,Ok,RealTime,60592,7,
AFL.N,AFLAC INC       ,61.51,61.41,0.1628,15:2:55,Ok,RealTime,14032,13,
AGN.N,ALLERGAN PLC    ,319.84,312.17,-0.4017,15:2:40,Ok,RealTime,53920,1,
AIG.N,AMER INTL GROUP ,64.32,63.14,1.1798,15:2:32,Ok,RealTime,6144,6,
AIV.N,APT INV MANAGE  ,38.89,39.13,-0.0514,14:59:55,Ok,RealTime,48768,7,
AIZ.N,ASSURANT        ,72.76,70.21,1.1398,15:2:49,Ok,RealTime,30304,2,
AKAM.OQ,AKAMAI TECH INC ,72.73,72.29,0.6087,15:2:44,Ok,RealTime,62352,1,
ALL.N,ALLSTATE CP     ,67.88,67.05,0.4291,15:2:10,Ok,RealTime,9968,5,
ALLE.N,ALLEGION PLC    ,61.22,60.77,-0.4876,15:1:33,Ok,RealTime,12768,1,
ALTR.OQ,ALTERA CORP     ,50.27,50.26,0.0199,15:2:9,Ok,RealTime,46912,3,
ALXN.OQ,ALEXION PHARM   ,204.87,205,-0.0634,15:2:57,Ok,RealTime,14078,5,
AMAT.OQ,APPLIED MATL    ,18.77,18.89,-0.6353,15:2:31,Ok,RealTime,56304,7,
AME.N,AMETEK          ,55.67,55.115,-0.1972,15:2:57,Ok,RealTime,18014,3,
AMG.N,AFFLTED MANAGERS,216.48,216.26,-0.0831,15:0:8,Ok,RealTime,52544,2,
AMGN.OQ,AMGEN           ,161.46,159.32,1.3432,15:2:51,Ok,RealTime,45568,2,
AMP.N,AMERIPRISE FINCL,125.59,124.64,-0.0637,15:2:54,Ok,RealTime,60224,5,
AMT.N,AMER TOWER CP   ,95.765,96.23,0.2985,15:2:37,Ok,RealTime,46848,1,
AMZN.OQ,AMAZON COM      ,463.69,465.57,-0.4038,15:2:53,Ok,RealTime,53934,3,
AN.N,AUTONATION INC  ,65.71,64.16,0.29,15:2:34,Ok,RealTime,41536,1,
ANTM.N,ANTHEM INC      ,160.55,159.17,0.3626,15:2:27,Ok,RealTime,26816,3,
AON.N,AON PLC         ,101.99,102.2,-0.0686,15:2:37,Ok,RealTime,22016,7,
APA.N,APACHE CORP     ,54.03,52.74,-0.6619,15:2:23,Ok,RealTime,32320,7,
APC.N,ANADARKO PETE   ,76.41,75.77,0.0524,15:2:58,Ok,RealTime,34160,11,
APD.N,AIR PRODS & CHEM,137.77,137.01,0.4228,15:2:18,Ok,RealTime,55616,2,
APH.N,AMPHENOL A      ,55.5,54.98,0.6346,15:1:59,Ok,RealTime,62768,2,
ARG.N,AIRGAS INC      ,105.34,103.06,-0.557,15:2:49,Ok,RealTime,22160,3,
AVB.N,AVALONBAY COMM  ,168.43,167.24,0.1427,15:1:44,Ok,RealTime,21648,3,
AVGO.OQ,AVAGO TECHNOLGIS,132.03,132.3,-0.2041,15:2:57,Ok,RealTime,8112,26,
AVY.N,AVERY DENNISON  ,63.43,62.34,0.5708,15:2:33,Ok,RealTime,41376,3,
AXP.N,AMER EXPRESS CO ,78.91,78.35,-0.076,15:2:27,Ok,RealTime,49568,5,
AZO.N,AUTOZONE INC    ,677.82,681.86,0.201,15:2:6,Ok,RealTime,57632,2,
BA.N,BOEING CO       ,146.97,146.43,-0.5279,15:2:51,Ok,RealTime,57888,5,
BAC.N,BANK OF AMERICA ,17.65,16.945,3.0356,15:2:48,Ok,RealTime,32784,8,
BAX.N,BAXTER INTL INC ,37.64,37.53,-0.2385,15:2:23,Ok,RealTime,46864,5,
BBBY.OQ,BED BATH BEYOND ,68.37,68.8,-0.625,15:2:32,Ok,RealTime,44656,1,
BBT.N,BB&T CORP       ,41.53,40.72,0.7521,15:2:54,Ok,RealTime,47440,8,
BBY.N,BEST BUY CO INC ,34.32,33.94,-0.7519,15:2:57,Ok,RealTime,13904,9,
BCR.N,C R BARD        ,179.29,174.46,0.0112,15:2:21,Ok,RealTime,41552,1,
BDX.N,BECTON DICKINSN ,147.64,144.76,0.2785,15:1:57,Ok,RealTime,3744,2,
BEN.N,FRANKLIN RES    ,49.16,49.05,0.5728,15:1:44,Ok,RealTime,58816,2,
BFb.N,BROWN FORMAN B  ,101.59,101.69,-0.5287,15:2:53,Ok,RealTime,58816,4,
BHI.N,BAKER HUGHES INC,60.55,59.9,-0.9488,15:2:37,Ok,RealTime,33008,3,
BIIB.OQ,BIOGEN INC      ,404.54,400.2,1.0845,15:2:54,Ok,RealTime,51120,6,
BK.N,BANK NY MELLON  ,42.7,41.7,0.3997,15:2:37,Ok,RealTime,13696,8,
BLK.N,BLACKROCK INC   ,345.32,342.76,0.7557,15:0:7,Ok,RealTime,34736,2,
BLL.N,BALL CORP       ,71.58,70.14,1.345,15:2:26,Ok,RealTime,54720,1,
BMY.N,BRISTOL MYERS SQ,70.15,69.67,0.1285,15:2:45,Ok,RealTime,49520,11,
BRCM.OQ,BROADCOM CORP   ,52.82,52.85,-0.0568,15:2:58,Ok,RealTime,18320,25,
BRKb.N,BERKSHRE CL B   ,141.88,139.67,0.5385,15:2:58,Ok,RealTime,42608,10,
BSX.N,BOSTON SCIEN CP ,17.78,17.71,-0.6149,15:2:37,Ok,RealTime,23600,7,
BWA.N,BORGWARNER      ,54.33,54.05,-0.4033,15:2:58,Ok,RealTime,17856,7,
BXLT.N,BAXALTA INCRPRTD,30.68,30.98,0.6892,15:2:48,Ok,RealTime,32912,5,
BXP.N,BOSTON PPTY     ,124.12,125.21,-0.4092,14:59:20,Ok,RealTime,58384,3,
C.N,CITIGROUP       ,56.4,55.25,0.8764,15:2:58,Ok,RealTime,12336,7,
CA.OQ,CA IN           ,30.575,30.5,0.2459,15:2:46,Ok,RealTime,33056,1,
CAG.N,CONAGRA FOODS   ,44.61,44.81,-0.246,15:2:34,Ok,RealTime,48896,1,
CAH.N,CARDINAL HLTH   ,86.78,85.86,0.7079,15:2:48,Ok,RealTime,65328,4,
CAM.N,CAMERON INTL    ,51.46,51.04,-1.0385,15:2:37,Ok,RealTime,6800,1,
CAT.N,CATERPILLAR INC ,84.73,82.15,0.3197,15:2:57,Ok,RealTime,37664,6,
CB.N,CHUBB CORP      ,121.91,121.51,0.041,15:2:49,Ok,RealTime,16784,1,
CBG.N,CBRE GROUP INC A,37.85,37.94,-0.4471,15:2:49,Ok,RealTime,61168,5,
CBS.N,CBS CL B        ,55.69,55.62,0.5235,15:2:53,Ok,RealTime,52672,3,
CCE.N,COCA COLA ENT   ,45.53,45.13,-0.3938,15:2:20,Ok,RealTime,29584,4,
CCI.N,CROWN CASTLE    ,81.04,81.65,-0.601,15:0:38,Ok,RealTime,38640,2,
CCL.N,CARNIVAL CORP   ,52.14,51.96,-0.1149,15:2:44,Ok,RealTime,61472,5,
CELG.OQ,CELGENE CORP    ,134.03,122.85,9.1005,15:2:56,Ok,RealTime,37344,11,
CERN.OQ,CERNER CORP     ,71.97,71.3,0.9397,15:2:58,Ok,RealTime,23760,10,
CF.N,CF INDUSTRIES   ,62.67,61.92,-0.016,15:2:37,Ok,RealTime,46720,1,
CHK.N,CHESAPEAKE ENER ,11.345,11.07,-0.3076,15:2:50,Ok,RealTime,42240,3,
CHRW.OQ,CH ROBINSON WW  ,63.92,64.32,-0.6219,15:2:36,Ok,RealTime,2048,2,
CI.N,CIGNA CORP      ,156.3,155.34,0.2244,15:2:23,Ok,RealTime,19104,2,
CINF.OQ,CINCINNATI FIN  ,53.31,54.17,-1.5876,15:1:42,Ok,RealTime,1136,4,
CL.N,COLGATE PALMOLIV,66.98,67.23,-0.4311,15:2:52,Ok,RealTime,55264,4,
