GENEOS Status Report,
Monday 20 Jul 2015 17:42:02,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,USD,2108.95,S&P 500 INDEX   ,2113.22,4.27,2109.01,15:3:13,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
A.N,AGILENT TECH    ,40.07,39.78,-1.0373,15:1:44,Ok,RealTime,1232,2,
AA.N,ALCOA INC       ,10.665,10.8,-0.9749,15:3:4,Ok,RealTime,11760,8,
AAL.OQ,AMERICN ARLNS GP,41.11,42.06,-2.2587,15:3:8,Ok,RealTime,3088,8,
AAPL.OQ,APPLE INC       ,126.95,125.61,1.0668,15:3:10,Ok,RealTime,21456,24,
ABBV.N,ABBVIE          ,70,69.4,0.2865,15:3:10,Ok,RealTime,5552,7,
ABC.N,AMERISOURCEBERGN,110.78,109.46,0.3442,15:2:21,Ok,RealTime,3312,1,
ABT.N,ABBOTT LABS     ,49.7,49.88,-0.996,15:3:4,Ok,RealTime,41456,5,
ACE.N,ACE LTD         ,103.63,104.36,0,15:3:6,Ok,RealTime,42480,2,
ACN.N,ACCENTURE PLC   ,100.25,98.77,-0.4864,15:2:57,Ok,RealTime,22544,3,
ACT.N,**SEE<AGN>      ,,,,,Ok,RealTime,368,1,
ADBE.OQ,ADOBE SYS       ,82.19,81.89,0.3663,15:1:57,Ok,RealTime,2880,6,
ADI.OQ,ANALOG DEVICES  ,62.83,62.62,0.3354,15:3:6,Ok,RealTime,13536,7,
ADM.N,ARCHER-DANIELS  ,47.59,47.22,-0.4185,15:2:44,Ok,RealTime,8784,5,
ADP.OQ,AUTOMATIC DATA  ,82.13,81.89,0.2931,15:2:37,Ok,RealTime,62080,1,
ADS.N,ALLIANCE DATA   ,302.98,305.06,-0.6297,15:2:55,Ok,RealTime,37168,2,
ADSK.OQ,AUTODESK INC    ,52.78,53.3,-0.9756,15:2:58,Ok,RealTime,28112,2,
ADT.N,ADT CORPORATION ,32.67,32.64,-0.8799,15:2:43,Ok,RealTime,55536,4,
AEE.N,AMEREN CORP     ,38.78,38.92,-0.2059,15:3:6,Ok,RealTime,48192,7,
AEP.N,AMER ELEC PWR   ,55.28,55.4,0.1631,15:3:11,Ok,RealTime,31408,8,
AES.N,THE AES CORP    ,13.09,13.05,-0.2287,15:2:9,Ok,RealTime,52240,9,
AET.N,AETNA INC       ,116.42,114,0.5788,15:2:57,Ok,RealTime,60832,3,
AFL.N,AFLAC INC       ,61.51,61.41,0.1628,15:2:55,Ok,RealTime,14224,2,
AIG.N,AMER INTL GROUP ,64.33,63.14,1.1955,15:3:10,Ok,RealTime,6992,14,
AIV.N,APT INV MANAGE  ,38.89,39.13,-0.0514,14:59:55,Ok,RealTime,48928,1,
AIZ.N,ASSURANT        ,72.76,70.21,1.1398,15:2:49,Ok,RealTime,30336,2,
AKAM.OQ,AKAMAI TECH INC ,72.75,72.29,0.6363,15:3:8,Ok,RealTime,62688,3,
ALL.N,ALLSTATE CP     ,67.88,67.05,0.4291,15:2:10,Ok,RealTime,10064,2,
ALLE.N,ALLEGION PLC    ,61.22,60.77,-0.4876,15:1:33,Ok,RealTime,12816,1,
ALTR.OQ,ALTERA CORP     ,50.27,50.26,0.0199,15:3:6,Ok,RealTime,47792,4,
ALXN.OQ,ALEXION PHARM   ,204.87,205,-0.0634,15:2:57,Ok,RealTime,14224,3,
AMAT.OQ,APPLIED MATL    ,18.785,18.89,-0.5558,15:3:6,Ok,RealTime,58656,2,
AME.N,AMETEK          ,55.67,55.115,-0.1972,15:2:57,Ok,RealTime,18048,1,
AMG.N,AFFLTED MANAGERS,216.48,216.26,-0.0831,15:0:8,Ok,RealTime,52688,1,
AMGN.OQ,AMGEN           ,161.46,159.32,1.3432,15:3:3,Ok,RealTime,45920,5,
AMP.N,AMERIPRISE FINCL,125.59,124.64,-0.0637,15:2:54,Ok,RealTime,60320,1,
AMT.N,AMER TOWER CP   ,95.765,96.23,0.2985,15:2:37,Ok,RealTime,46896,1,
AMZN.OQ,AMAZON COM      ,463.69,465.57,-0.4038,15:3:13,Ok,RealTime,54496,21,
AN.N,AUTONATION INC  ,65.71,64.16,0.29,15:3:9,Ok,RealTime,42192,2,
ANTM.N,ANTHEM INC      ,160.55,159.17,0.3626,15:2:27,Ok,RealTime,26912,4,
