attribute,value
Name,GWA.TO.RON.RM1.TRD.R
Channel Started,2007-09-21 09.59.03
Last Message Time,2007-09-21 16.05.03
Buffers Sent,82
Buffers Read,20
Bytes Sent,7294 bytes
Bytes Read,9872 bytes
Remote Queue Manager,-
Local Address,192.168.10.172
Job Name,836
SSL Peer Name,-
MCA Status,running
Sent Messages,72
Retries Left,60
Stop Requested,no
Heart Beat Interval,300
Transmit Queue Name,-
Connection Name,192.168.10.172
Message Count,61
Channel type,Receiver
Current luwid,83925
Last luwid,92166
Current seq number,766
Last seq number,701
Channel Status,running
