queueName,queueType,queueClass,writerCount,readerCount,queueDepth,maxMsgCount,usedCapacity,totalCapacity,dateCreated,dateModified
AMQ.GBAS_020273181.PUB,Local queue,Custom,2,0,3,1000,0.30%,40000 MB,06/03/2008 12:34,10/05/2008 12:34
AMQ.PCF.CHANNELS,Local queue,Custom,0,0,241,1000,24.10%,40000 MB,07/03/2008 12:34,11/05/2008 12:34
AMQ.PCF.MODEL.QUEUE,Model Queue,Custom,0,2,4,1000,0.40%,40000 MB,08/03/2008 12:34,12/05/2008 12:34
AMQ.PCF.MQCMDS,Local queue,Custom,0,2,0,1000,0.00%,40000 MB,09/03/2008 12:34,13/05/2008 12:34
AMQ.PCF.QUEUE3,Local queue,Custom,3,0,0,1000,0.00%,40000 MB,10/03/2008 12:34,14/05/2008 12:34
AMQ.PCF.QUEUES,Local queue,Custom,5,0,0,1000,0.00%,40000 MB,11/03/2008 12:34,15/05/2008 12:34
ARTS.TO.RON.ACK.01,Local queue,Custom,2,0,24,1000,2.40%,40000 MB,12/03/2008 12:34,16/05/2008 12:34
ARTS.TO.RON.ERR.01,Local queue,Custom,5,0,0,1000,0.00%,40000 MB,13/03/2008 12:34,17/05/2008 12:34
BMC.LISTENER.COM,Local queue,Custom,0,0,0,1000,0.00%,40000 MB,14/03/2008 12:34,18/05/2008 12:34
BMC.LISTENER.SUB,Local queue,Custom,45,0,2,1000,0.20%,40000 MB,15/03/2008 12:34,19/05/2008 12:34
DE.GL.TO.HK.REQ.01,Local queue,Custom,0,6,0,1000,0.00%,40000 MB,16/03/2008 12:34,20/05/2008 12:34
DE.GL.TO.LN.REQ.01,Local queue,Custom,0,0,44,1000,4.40%,40000 MB,17/03/2008 12:34,21/05/2008 12:34
DE.GL.TO.NY.REQ.01,Local queue,Custom,5,4,0,1000,0.00%,40000 MB,18/03/2008 12:34,22/05/2008 12:34
DE.HK.STG.01,Local queue,Custom,0,2,0,1000,0.00%,40000 MB,19/03/2008 12:34,23/05/2008 12:34
DE.HK.TO.GL.ACK.01,Local queue,Custom,4,2,0,1000,0.00%,40000 MB,20/03/2008 12:34,24/05/2008 12:34
DE.LN.STG.01,Local queue,Custom,0,0,77,1000,7.70%,40000 MB,21/03/2008 12:34,25/05/2008 12:34
