Name,server,modules,implementationVersion,edition,eventTypes,deploymentDescriptor,javaVersion,javaVendor,objectName,stateManageable,statisticsProvider,eventProvider
ibmasyncrsp,WebSphere:name=server1;process=server1;platform=proxy;node=nysupsvr1fNode01;j2eeType=J2EEServer;version=7.0.0.29;type=Server;mbeanIdentifier=cells/nysupsvr1fNode01Cell/nodes/nysupsvr1fNode01/servers/server1/server.xml#Server_1183122130078;cell=nysupsvr1fNode01Cell;spec=1.0;processType=UnManagedProcess,[Ljava.lang.String;@7a0c48be,1 [3],BASE,[Ljava.lang.String;@81de180a,"<?xml version=""1.0"" encoding=""UTF-8""?><!DOCTYPE application PUBLIC ""-//Sun Microsystems; Inc.//DTD J2EE Application 1.2//EN"" ""http://java.sun.com/j2ee/dtds/application_1_2.dtd""><application id=""Application_ID"">    <display-name>WebSphere ASYNC Response Servlet Application</display-name>    <description>This application contains the JAX-WS async response servlet</description>    <module id=""WebModule_1"">        <web>            <web-uri>ibmasyncrsp.war</web-uri>            <context-root>/IBM_WS_SYS_RESPONSESERVLET</context-root>        </web>    </module>    <security-role id=""SecurityRole_1177535736906"">        <role-name>AuthenticatedWebServicesUsers</role-name>    </security-role></application>",2.4,IBM Corporation,WebSphere:name=ibmasyncrsp;process=server1;platform=dynamicproxy;node=nysupsvr1fNode01;J2EEName=ibmasyncrsp;Server=server1;version=7.0.0.29;type=Application;mbeanIdentifier=cells/nysupsvr1fNode01Cell/applications/ibmasyncrsp.ear/deployments/ibmasyncrsp/deployment.xml#ApplicationDeployment_1185820123453;cell=nysupsvr1fNode01Cell;spec=1.0,FALSE,FALSE,TRUE
SamplesGallery,WebSphere:name=server1;process=server1;platform=proxy;node=nysupsvr1fNode01;j2eeType=J2EEServer;version=7.0.0.29;type=Server;mbeanIdentifier=cells/nysupsvr1fNode01Cell/nodes/nysupsvr1fNode01/servers/server1/server.xml#Server_1183122130078;cell=nysupsvr1fNode01Cell;spec=1.0;processType=UnManagedProcess,[Ljava.lang.String;@b1b441b1,null,BASE,[Ljava.lang.String;@d4774311,"<?xml version=""1.0"" encoding=""UTF-8""?><application id=""Application_ID"" version=""1.4"" xmlns=""http://java.sun.com/xml/ns/j2ee"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://java.sun.com/xml/ns/j2ee http://java.sun.com/xml/ns/j2ee/application_1_4.xsd"" xmlns:j2ee=""http://java.sun.com/xml/ns/j2ee"">    <description>Samples Gallery Enterprise Application</description>    <display-name>Samples Gallery EAR</display-name>    <module id=""WebModule_1"">        <web>            <web-uri>GalleryMenu.war</web-uri>            <context-root>/SamplesGallery</context-root>        </web>    </module>    <module id=""WebModule_2"">        <web>            <web-uri>Gallery.war</web-uri>            <context-root>/WSsamples</context-root>        </web>    </module></application>",2.4,IBM Corporation,WebSphere:name=SamplesGallery;process=server1;platform=dynamicproxy;node=nysupsvr1fNode01;J2EEName=SamplesGallery;Server=server1;version=7.0.0.29;type=Application;mbeanIdentifier=cells/nysupsvr1fNode01Cell/applications/SamplesGallery.ear/deployments/SamplesGallery/deployment.xml#ApplicationDeployment_1183122168984;cell=nysupsvr1fNode01Cell;spec=1.0,FALSE,FALSE,TRUE
filetransferSecured,WebSphere:name=server1;process=server1;platform=proxy;node=nysupsvr1fNode01;j2eeType=J2EEServer;version=7.0.0.29;type=Server;mbeanIdentifier=cells/nysupsvr1fNode01Cell/nodes/nysupsvr1fNode01/servers/server1/server.xml#Server_1183122130078;cell=nysupsvr1fNode01Cell;spec=1.0;processType=UnManagedProcess,[Ljava.lang.String;@8b752d6,null,BASE,[Ljava.lang.String;@669a4694,"<?xml version=""1.0"" encoding=""UTF-8""?><!DOCTYPE application PUBLIC ""-//Sun Microsystems; Inc.//DTD J2EE Application 1.2//EN"" ""http://java.sun.com/j2ee/dtds/application_1_2.dtd""><application id=""Application_ID"">    <display-name>WebSphere File Transfer Servlet Application</display-name>    <description>This is the servlet that runs on the cell manager to support File Transfer operations</description>    <module id=""WebModule_1"">        <web>            <web-uri>filetransfer.war</web-uri>            <context-root>/FileTransfer</context-root>        </web>    </module>    <security-role id=""SecurityRole_1"">        <description>Administrator role</description>        <role-name>administrator</role-name>    </security-role>    <security-role id=""SecurityRole_2"">        <description>Operator role</description>        <role-name>operator</role-name>    </security-role>    <security-role id=""SecurityRole_3"">        <description>Configurator role</description>        <role-name>configurator</role-name>    </security-role>    <security-role id=""SecurityRole_4"">        <description>Monitor role</description>        <role-name>monitor</role-name>    </security-role></application>",2.4,IBM Corporation,WebSphere:name=filetransferSecured;process=server1;platform=dynamicproxy;node=nysupsvr1fNode01;J2EEName=filetransferSecured;Server=server1;version=7.0.0.29;type=Application;mbeanIdentifier=/opt/IBM/WebSphere/AppServer/systemApps/filetransferSecured.ear/deployment.xml#ApplicationDeployment_1082510674590;cell=nysupsvr1fNode01Cell;spec=1.0,FALSE,FALSE,TRUE
query,WebSphere:name=server1;process=server1;platform=proxy;node=nysupsvr1fNode01;j2eeType=J2EEServer;version=7.0.0.29;type=Server;mbeanIdentifier=cells/nysupsvr1fNode01Cell/nodes/nysupsvr1fNode01/servers/server1/server.xml#Server_1183122130078;cell=nysupsvr1fNode01Cell;spec=1.0;processType=UnManagedProcess,[Ljava.lang.String;@a9efab57,null,BASE,[Ljava.lang.String;@c5205084,"<?xml version=""1.0"" encoding=""UTF-8""?><!DOCTYPE application PUBLIC ""-//Sun Microsystems; Inc.//DTD J2EE Application 1.3//EN"" ""http://java.sun.com/dtd/application_1_3.dtd""><application id=""Application_ID"">    <display-name>query</display-name>    <module id=""EjbModule_1"">        <ejb>querybean.jar</ejb>    </module></application>",2.4,IBM Corporation,WebSphere:name=query;process=server1;platform=dynamicproxy;node=nysupsvr1fNode01;J2EEName=query;Server=server1;version=7.0.0.29;type=Application;mbeanIdentifier=cells/nysupsvr1fNode01Cell/applications/query.ear/deployments/query/deployment.xml#ApplicationDeployment_1183122157718;cell=nysupsvr1fNode01Cell;spec=1.0,FALSE,FALSE,TRUE
ManagementEJB,WebSphere:name=server1;process=server1;platform=proxy;node=nysupsvr1fNode01;j2eeType=J2EEServer;version=7.0.0.29;type=Server;mbeanIdentifier=cells/nysupsvr1fNode01Cell/nodes/nysupsvr1fNode01/servers/server1/server.xml#Server_1183122130078;cell=nysupsvr1fNode01Cell;spec=1.0;processType=UnManagedProcess,[Ljava.lang.String;@d8f045d1,null,BASE,[Ljava.lang.String;@7a3ea793,"<?xml version=""1.0"" encoding=""UTF-8""?><!DOCTYPE application PUBLIC ""-//Sun Microsystems; Inc.//DTD J2EE Application 1.3//EN"" ""http://java.sun.com/dtd/application_1_3.dtd""><application id=""Application_ID"">    <display-name>Management EJB Application</display-name>    <description>Provides interoperable access to WebSphere administrative functions as specified in the J2EE Management Specification; a part of J2EE 1.4 (JSR 77).</description>    <module id=""EjbModule_1060877795152"">        <ejb>mejb.jar</ejb>    </module></application>",2.4,IBM Corporation,WebSphere:name=ManagementEJB;process=server1;platform=dynamicproxy;node=nysupsvr1fNode01;J2EEName=ManagementEJB;Server=server1;version=7.0.0.29;type=Application;mbeanIdentifier=/opt/IBM/WebSphere/AppServer/systemApps/ManagementEJB.ear/deployment.xml#ApplicationDeployment_1082128320584;cell=nysupsvr1fNode01Cell;spec=1.0,FALSE,FALSE,TRUE
isclite,WebSphere:name=server1;process=server1;platform=proxy;node=nysupsvr1fNode01;j2eeType=J2EEServer;version=7.0.0.29;type=Server;mbeanIdentifier=cells/nysupsvr1fNode01Cell/nodes/nysupsvr1fNode01/servers/server1/server.xml#Server_1183122130078;cell=nysupsvr1fNode01Cell;spec=1.0;processType=UnManagedProcess,[Ljava.lang.String;@3ce38c8,WASX.WSC [rr0823.55],BASE,[Ljava.lang.String;@4c2df1b2,"<?xml version=""1.0"" encoding=""UTF-8""?><!DOCTYPE application PUBLIC ""-//Sun Microsystems; Inc.//DTD J2EE Application 1.3//EN"" ""http://java.sun.com/dtd/application_1_3.dtd""><application>    <display-name>isclite</display-name>    <description>Integrated Solutions Console</description>    <module id=""WebModule_1"">        <web>            <web-uri>isclite.war</web-uri>            <context-root>/ibm/console</context-root>        </web>    </module>    <module id=""WebModule_2"">        <web>            <web-uri>adminredirector.war</web-uri>            <context-root>/admin</context-root>        </web>    </module>    <module id=""WebModule_3"">        <web>            <web-uri>iehs.war</web-uri>            <context-root>/ibm/help</context-root>        </web>    </module>    <module id=""WebModule_4"">        <web>            <web-uri>ISCAdminPortlet.war</web-uri>            <context-root>/ISCAdminPortlet</context-root>        </web>    </module>    <module id=""WebModule_5"">        <web>            <web-uri>WIMPortlet.war</web-uri>            <context-root>/wim</context-root>        </web>    </module>    <module id=""WebModule_6"">        <web>            <web-uri>wasportlet.war</web-uri>            <context-root>/wasportlet</context-root>        </web>    </module>    <security-role id=""SecurityRole_1"">        <description>Administrator role</description>        <role-name>administrator</role-name>    </security-role>    <security-role id=""SecurityRole_2"">        <description>Operator role</description>        <role-name>operator</role-name>    </security-role>    <security-role id=""SecurityRole_3"">        <description>Configurator role</description>        <role-name>configurator</role-name>    </security-role>    <security-role id=""SecurityRole_4"">        <description>Monitor role</description>        <role-name>monitor</role-name>    </security-role>    <security-role>        <description>Nobody role</description>        <role-name>nobody</role-name>    </security-role></application>",2.4,IBM Corporation,WebSphere:name=isclite;process=server1;platform=dynamicproxy;node=nysupsvr1fNode01;J2EEName=isclite;Server=server1;version=7.0.0.29;type=Application;mbeanIdentifier=cells/nysupsvr1fNode01Cell/applications/isclite.ear/deployments/isclite/deployment.xml#ApplicationDeployment_1162483845425;cell=nysupsvr1fNode01Cell;spec=1.0,FALSE,FALSE,TRUE
PlantsByWebSphere,WebSphere:name=server1;process=server1;platform=proxy;node=nysupsvr1fNode01;j2eeType=J2EEServer;version=7.0.0.29;type=Server;mbeanIdentifier=cells/nysupsvr1fNode01Cell/nodes/nysupsvr1fNode01/servers/server1/server.xml#Server_1183122130078;cell=nysupsvr1fNode01Cell;spec=1.0;processType=UnManagedProcess,[Ljava.lang.String;@360dcc14,null,BASE,[Ljava.lang.String;@59076403,"<?xml version=""1.0"" encoding=""UTF-8""?><application version=""5"" xmlns=""http://java.sun.com/xml/ns/javaee"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://java.sun.com/xml/ns/javaee http://java.sun.com/xml/ns/javaee/application_5.xsd"">    <display-name>PlantsByWebSphere</display-name>    <module id=""WebModule_1"">        <web>            <web-uri>PlantsByWebSphere.war</web-uri>            <context-root>/PlantsByWebSphere</context-root>        </web>    </module>    <module id=""WebModule_2"">        <web>            <web-uri>PlantsGallery.war</web-uri>            <context-root>/PlantsByWebSphere/docs</context-root>        </web>    </module>    <module id=""EjbModule_1"">        <ejb>PlantsByWebSphereEJB.jar</ejb>    </module>    <security-role id=""SecurityRole_1047662062997"">        <description>Samples Administrator</description>        <role-name>SampAdmin</role-name>    </security-role></application>",2.4,IBM Corporation,WebSphere:name=PlantsByWebSphere;process=server1;platform=dynamicproxy;node=nysupsvr1fNode01;J2EEName=PlantsByWebSphere;Server=server1;version=7.0.0.29;type=Application;mbeanIdentifier=cells/nysupsvr1fNode01Cell/applications/PlantsByWebSphere.ear/deployments/PlantsByWebSphere/deployment.xml#ApplicationDeployment_1206732768453;cell=nysupsvr1fNode01Cell;spec=1.0,FALSE,FALSE,TRUE
ivtApp,WebSphere:name=server1;process=server1;platform=proxy;node=nysupsvr1fNode01;j2eeType=J2EEServer;version=7.0.0.29;type=Server;mbeanIdentifier=cells/nysupsvr1fNode01Cell/nodes/nysupsvr1fNode01/servers/server1/server.xml#Server_1183122130078;cell=nysupsvr1fNode01Cell;spec=1.0;processType=UnManagedProcess,[Ljava.lang.String;@3622404b,WASX.SERV1 [qq0723.30],BASE,[Ljava.lang.String;@8a33bba8,"<?xml version=""1.0"" encoding=""UTF-8""?><!DOCTYPE application PUBLIC ""-//Sun Microsystems; Inc.//DTD J2EE Application 1.2//EN"" ""http://java.sun.com/j2ee/dtds/application_1_2.dtd""><application id=""Application_ID"">    <display-name>IVT Application</display-name>    <description>IVT EAR file containing one WAR for verification purposes</description>    <module id=""WebModule_1"">        <web>            <web-uri>ivt_app.war</web-uri>            <context-root>/ivt</context-root>        </web>    </module>    <module id=""EjbModule_1"">        <ejb>ivtEJB.jar</ejb>    </module>    <security-role id=""SecurityRole_1"">        <description>All Authenticated users in the enterprise.</description>        <role-name>All Role</role-name>    </security-role>    <security-role id=""SecurityRole_2"">        <description>Everyone in the enterprise.</description>        <role-name>Everyone Role</role-name>    </security-role>    <security-role id=""SecurityRole_3"">        <description>Deny all access role</description>        <role-name>DenyAllRole</role-name>    </security-role></application>",2.4,IBM Corporation,WebSphere:name=ivtApp;process=server1;platform=dynamicproxy;node=nysupsvr1fNode01;J2EEName=ivtApp;Server=server1;version=7.0.0.29;type=Application;mbeanIdentifier=cells/nysupsvr1fNode01Cell/applications/ivtApp.ear/deployments/ivtApp/deployment.xml#ApplicationDeployment_1183122155437;cell=nysupsvr1fNode01Cell;spec=1.0,FALSE,FALSE,TRUE
DefaultApplication,WebSphere:name=server1;process=server1;platform=proxy;node=nysupsvr1fNode01;j2eeType=J2EEServer;version=7.0.0.29;type=Server;mbeanIdentifier=cells/nysupsvr1fNode01Cell/nodes/nysupsvr1fNode01/servers/server1/server.xml#Server_1183122130078;cell=nysupsvr1fNode01Cell;spec=1.0;processType=UnManagedProcess,[Ljava.lang.String;@853688d0,null,BASE,[Ljava.lang.String;@590f6da6,"<?xml version=""1.0"" encoding=""UTF-8""?><!DOCTYPE application PUBLIC ""-//Sun Microsystems; Inc.//DTD J2EE Application 1.3//EN"" ""http://java.sun.com/dtd/application_1_3.dtd""><application id=""Application_ID"">    <display-name>DefaultApplication.ear</display-name>    <description>This is the IBM WebSphere Application Server Default Application.</description>    <module id=""WebModule_1"">        <web>            <web-uri>DefaultWebApplication.war</web-uri>            <context-root>/</context-root>        </web>    </module>    <module id=""EjbModule_1"">        <ejb>Increment.jar</ejb>    </module>    <security-role id=""SecurityRole_1183122147906"">        <description>All Authenticated users role.</description>        <role-name>All Role</role-name>    </security-role></application>",2.4,IBM Corporation,WebSphere:name=DefaultApplication;process=server1;platform=dynamicproxy;node=nysupsvr1fNode01;J2EEName=DefaultApplication;Server=server1;version=7.0.0.29;type=Application;mbeanIdentifier=cells/nysupsvr1fNode01Cell/applications/DefaultApplication.ear/deployments/DefaultApplication/deployment.xml#ApplicationDeployment_1183122148265;cell=nysupsvr1fNode01Cell;spec=1.0,FALSE,FALSE,TRUE
SchedulerCalendars,WebSphere:name=server1;process=server1;platform=proxy;node=nysupsvr1fNode01;j2eeType=J2EEServer;version=7.0.0.29;type=Server;mbeanIdentifier=cells/nysupsvr1fNode01Cell/nodes/nysupsvr1fNode01/servers/server1/server.xml#Server_1183122130078;cell=nysupsvr1fNode01Cell;spec=1.0;processType=UnManagedProcess,[Ljava.lang.String;@7123174c,null,BASE,[Ljava.lang.String;@7389758e,"<?xml version=""1.0"" encoding=""UTF-8""?><!DOCTYPE application PUBLIC ""-//Sun Microsystems; Inc.//DTD J2EE Application 1.3//EN"" ""http://java.sun.com/dtd/application_1_3.dtd""><application id=""Application_ID"">    <display-name>SchedulerCalendars</display-name>    <description>The WebSphere Scheduler Calendars.  The calendars within this EAR file are part of the Scheduler component.</description>    <module id=""EjbModule_2"">        <ejb>Calendars.jar</ejb>    </module></application>",2.4,IBM Corporation,WebSphere:name=SchedulerCalendars;process=server1;platform=dynamicproxy;node=nysupsvr1fNode01;J2EEName=SchedulerCalendars;Server=server1;version=7.0.0.29;type=Application;mbeanIdentifier=/opt/IBM/WebSphere/AppServer/systemApps/SchedulerCalendars.ear/deployment.xml#ApplicationDeployment_1090351959869;cell=nysupsvr1fNode01Cell;spec=1.0,FALSE,FALSE,TRUE
