key,rank,appId,contextId,ipAddr,hostname,PID,timestamp,transportSession,RMMsgsRxRate,bytesRxRate,msgsUnrcvrdRate,nakTxRate,lossRate,dgmsDpdRate,dupMsgsRxRate,outOfOrderRate,msgsRxNTpcRate,ttlRcvryLtncy,RMMsgsRx,bytesRx,nakPktTx,nakTx,lost,ncfRxIgnrd,ncfRxShed,ncfRxDelay,ncfRxUnkn,rcvryMin,rcvryMean,rcvryMax,nakeTxMin,nakeTxMean,nakeTxMax,dupMsgRx,msgsUnrcvrdTxw,msgsUnrcvrdTmo,msgsRx,msgsRxNTpc,reqsRx,dgmsDpdSz,dgmsDpdTyp,dgmsDpdVsn,dgmsDpdHdr,dgmsDpdOth,outOfOrder
<!>totalLBTRMReceivers,3
<!>totalActiveLBTRMReceivers,3
<!>totalDefunctLBTRMReceivers,0
<!>RMMsgRxRate,byteRxRate,25.33
<!>msgsUnrcvrdRate,1165.33
<!>lossRate,6.67
<!>RMMsgsRx,100692
<!>bytesRx,4549914
<!>msgsUnrcvrd,13464
<!>lost,34535
RCVLBTRM00000001,2,topicResDom1,10f1ff90,127.0.0.1,centos5dev,12656,Thu Aug  9 12:35:34 2012,LBTRM:192.168.50.206:14301:38a16eb7:224.10.10.11:14400,10.00,460.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,1560,70890,0,0,0,0,0,0,0,4294967295,0,0,4294967295,0,0,0,0,0,1560,1404,0,0,0,0,0,0,0
RCVLBTRM00000002,3,topicResDom2,1402bf90,127.0.0.1,centos5dev,12662,Thu Aug  9 12:35:35 2012,LBTRM:192.168.50.206:14302:e50c106:224.10.10.12:14400,10.00,460.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,1530,69500,0,0,0,0,0,0,0,4294967295,0,0,4294967295,0,0,0,0,0,1530,1377,0,0,0,0,0,0,0
RCVLBTRM00000003,1,topicResDom3,19b15f90,127.0.0.1,centos5dev,12667,Thu Aug  9 12:35:35 2012,LBTRM:192.168.50.206:14303:c0fc56d6:224.10.10.13:14400,5.33,245.33,6.67,249.67,14.67,0.00,0.00,4.33,5.33,5585.01,817,37085,19495,40944,1398,1404,0,0,0,24,3995,9997,1,16,49,0,0,590,817,741,0,0,0,0,0,0,746
