tracker,state,time,data,
Publisher Messages,Data,2009-05-05 13:26:54.147,36,
Publisher msg per sec,Data,2009-05-05 13:26:54.153,0,
Publisher Avg Message Size,Data,2009-05-05 13:26:54.153,168,
Publisher KB per sec,Data,2009-05-05 13:26:54.153,0.1008,
Feed Subscription Requests,Idle,2009-05-05 13:26:54.154,0,
Feed Group Subscriptions,Idle,2009-05-05 13:26:54.154,0,
Feed Book Subscriptions,Idle,2009-05-05 13:26:54.154,0,
Feed Refreshes,Idle,2009-05-05 13:26:54.155,0,
Feed Recaps,Idle,2009-05-05 13:26:54.155,0,
Feed Would Blocks,Idle,2009-05-05 13:26:54.155,0,
FT WeightSetting,Weight,2009-05-04 14:56:07.90,20,
FT Role,Primary,2009-05-04 14:56:18.114,Primary,
