name,activeConsumers,queuedMsgs,percentFull,bytesIncoming,bytesOutgoing,msgsIncoming,msgsOutgoing,currentPendingBytes,maxPendingBytes,isGlobal,isExclusive,isDynamic,unackedClientMsgCount,unackedRoutedMsgCount,isRouteConnected
<!>totalQueues,30
BOOKER1.TO.PUBHUB_XFM1,1,0,0.00%,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,unlimited,no,no,no,0,0,no,0
CC1.TO.XFM_EMEA1,1,0,0.00%,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,unlimited,no,no,no,0,0,no,0
FIXROUTER1.TO.XFM_EMEA1,1,0,0.00%,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,unlimited,no,no,no,0,0,no,0
MICA.TO.XFM_EMEA1,1,0,0.00%,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,unlimited,no,no,no,0,0,no,0
MICA_XFM.TO.PUBHUB_XFM1,1,0,0.00%,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,unlimited,no,no,no,0,0,no,0
MICA_XFM.TO.XFM_EMEA1,0,0,0.00%,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,unlimited,no,no,no,0,0,no,0
OMAR_CASH.TO.OMAR_CASH,1,1,0.00%,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,unlimited,no,no,no,1,0,no,0
OMAR_CASH.TO.XFM_EMEA1,1,0,0.00%,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,unlimited,no,no,no,0,0,no,0
ORDER_ROUTER.TO.XFM_EMEA1,1,0,0.00%,248 bytes/sec,248 bytes/sec,0 msgs/sec,0 msgs/sec,unlimited,no,no,no,0,0,no,0
ORDER_ROUTER.XFM_EMEA1.TO.UNITY_PUBHUB_IN,0,0,0.00%,252 bytes/sec,252 bytes/sec,0 msgs/sec,0 msgs/sec,unlimited,yes,no,no,0,0,yes,0
PUBHUB_XFM1.CC1-XFM_EMEA1,0,0,0.00%,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,unlimited,no,no,no,0,0,no,0
PUBHUB_XFM1.FIXROUTER1-XFM_EMEA1,1,104,0.00%,137 bytes/sec,137 bytes/sec,0 msgs/sec,0 msgs/sec,unlimited,no,no,no,104,0,no,0
PUBHUB_XFM1.TO.BOOKER1,1,0,0.00%,135 bytes/sec,135 bytes/sec,0 msgs/sec,0 msgs/sec,unlimited,no,no,no,0,0,no,0
PUBHUB_XFM1.TO.MICA_XFM,0,0,0.00%,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,unlimited,no,no,no,0,0,no,0
PUBHUB_XFM1.TO.NULL,0,0,0.00%,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,unlimited,no,no,no,0,0,no,0
PUBHUB_XFM1.TO.TSS,0,23,0.00%,134 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,unlimited,no,no,no,0,0,no,0
RFE_XFM1.TO.XFM_EMEA1,0,0,0.00%,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,unlimited,no,no,no,0,0,no,0
ROUTER_MARKET.TO.XFM_EMEA1,1,0,0.00%,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,unlimited,no,no,no,0,0,no,0
