Workstation,Connected,connectionTime,disconnectionTime
glfrankfurt-live,Yes,Thursday July 8 06:00:02,
ldn-tss-01,Yes,Thursday July 8 06:00:08,
ldn-eurgov-09,Yes,Thursday July 8 06:00:08,
ldn-eurgov-06,Yes,Thursday July 8 06:00:08,
ldn-eurgov-01,Yes,Thursday July 8 06:00:08,
ldn-eurgov-11,Yes,Thursday July 8 06:00:08,
ldn-eurgov-24,Yes,Thursday July 8 06:00:09,
ldn-eurgov-20,Yes,Thursday July 8 06:00:09,
ldn-eurgov-26,Yes,Thursday July 8 06:00:09,
ldn-eurgov-07,Yes,Thursday July 8 06:00:10,
ldn-eurgov-23,Yes,Thursday July 8 06:00:10,
glfrankfurt-backup,Yes,Thursday July 8 06:09:56,
glire-live,Yes,Thursday July 8 06:14:54,
glire-backup,Yes,Thursday July 8 07:14:55,
ldn-eurgov-08,Yes,Thursday July 8 07:24:58, 
