rowNames,inOctets in MB,outOctets in MB,AdminStatus Inf,OperStatus Inf,Name,Speed,AdminStatus,OperStatus,inOctets,inDiscards,inErrors,outOctets,outDiscards,outErrors,
Interface1,2808.00 MB,3733.87 MB,Up,Up,Ethernet1,1000000000,1,1,2944400236,0,0,3915245579,0,0,
Interface2,3869.72 MB,199.43 MB,Up,Up,Ethernet2,4294967295,1,1,4057694916,0,0,209113618,0,0,
Interface3,0.00 MB,0.00 MB,Up,Not Present,Ethernet3,4294967295,1,6,0,0,0,0,0,0,
Interface4,0.00 MB,0.00 MB,Up,Not Present,Ethernet4,4294967295,1,6,0,0,0,0,0,0,
Interface5,3823.64 MB,208.11 MB,Up,Up,Ethernet5,4294967295,1,1,4009379695,0,175,218222202,0,0,
Interface6,0.00 MB,0.00 MB,Up,Not Present,Ethernet6,4294967295,1,6,0,0,0,0,0,0,
Interface7,0.00 MB,0.00 MB,Up,Not Present,Ethernet7,4294967295,1,6,0,0,0,0,0,0,
Interface8,414.20 MB,2872.96 MB,Up,Up,Ethernet8,4294967295,1,1,434319036,0,0,3012519600,0,0,
Interface9,0.00 MB,0.00 MB,Up,Not Present,Ethernet9,4294967295,1,6,0,0,0,0,0,0,
Interface10,0.00 MB,0.00 MB,Up,Not Present,Ethernet10,4294967295,1,6,0,0,0,0,0,0,
Interface11,0.00 MB,0.00 MB,Up,Not Present,Ethernet11,4294967295,1,6,0,0,0,0,0,0,
Interface12,0.00 MB,0.00 MB,Up,Not Present,Ethernet12,4294967295,1,6,0,0,0,0,0,0,
Interface13,0.00 MB,0.00 MB,Up,Not Present,Ethernet13,4294967295,1,6,0,0,0,0,0,0,
Interface14,0.00 MB,0.00 MB,Up,Not Present,Ethernet14,4294967295,1,6,0,0,0,0,0,0,
Interface15,0.00 MB,0.00 MB,Up,Not Present,Ethernet15,4294967295,1,6,0,0,0,0,0,0,
Interface16,0.00 MB,0.00 MB,Up,Not Present,Ethernet16,4294967295,1,6,0,0,0,0,0,0,
Interface17,0.00 MB,0.00 MB,Up,Not Present,Ethernet17,4294967295,1,6,0,0,0,0,0,0,
Interface18,0.00 MB,0.00 MB,Up,Not Present,Ethernet18,4294967295,1,6,0,0,0,0,0,0,
Interface19,0.00 MB,0.00 MB,Up,Not Present,Ethernet19,4294967295,1,6,0,0,0,0,0,0,
