measurementPoint,informationalAlerts,warningAlerts,minorAlerts,majorAlerts,severeAlerts,displayName,configuredCapacity,configuredCapacityUnit,totalBytes,totalBytesUnit,networkServiceIndicator,networkServiceIndicatorFactor,networkServiceIndicatorUnit,monitoringMechanism,maxMicroburst,maxMicroburstUnit,oneSecondPeak,oneSecondPeakUnit,recommendation,measuresMessages,packetMicroburstAvailable,effectiveCapacity,effectiveCapacityUnit,averageUtilisation,averageUtilisationUnit,linkSizePacketDelay,linkSizePacketDelayUnit,linkSizeQueueLength,linkSizeQueueLengthUnit
<!>cfgFile,/home/jpc/rnd/corvil/trunk/test/demo_get_summary_default.cfg
<!>updateIntervalSeconds,60
<!>updateInterval,1 minute
<!>noDataValues,unchanged
channel//London_CNE///Unknown%20Applications,,,,,,London_CNE[any] -> [any] Unknown Applications,0,kbps,373343951,B,-1,100,,none,74973,kbps,6011,kbps,none,FALSE,TRUE,,,,,,,,
channel//London_CNE//DC_Chicago/,,,,,,London_CNE[any] -> [DC_Chicago] ,100000,kbps,676946978,B,100,100,,pnqm,21929,kbps,6300,kbps,no-action-required,FALSE,TRUE,100000,kbps,2,%,6213,kbps,5625,kbps
channel//London_CNE//DC_Chicago/%40Chicago,,,,,,London_CNE[any] -> [DC_Chicago] @Chicago,100000,kbps,676954692,B,-1,100,,none,45845,kbps,6257,kbps,none,FALSE,TRUE,100000,kbps,2,%,,,,
channel//London_CNE//DC_Frankfurt/,,,,,,London_CNE[any] -> [DC_Frankfurt] ,100000,kbps,422311282,B,70,100,,pnqm,71189,kbps,18342,kbps,no-action-required,FALSE,TRUE,100000,kbps,1,%,45461,kbps,59473,kbps
channel//London_CNE//DC_Frankfurt/%40Frankfurt,,,,,,London_CNE[any] -> [DC_Frankfurt] @Frankfurt,100000,kbps,422311158,B,70,100,,tcp,98423,kbps,18415,kbps,none,FALSE,TRUE,100000,kbps,1,%,,,,
channel//London_CNE//LBM/,,,,,,London_CNE[any] -> [LBM] ,0,kbps,2067300,B,0,100,,tcp,150,messages per second,8,messages per second,none,TRUE,FALSE,,,,,,,,
channel//London_CNE//Unmatched%20Traffic/Unmatched%20Traffic,,,,,,London_CNE[any] -> [Unmatched Traffic] Unmatched Traffic,0,kbps,343359557,B,-1,100,,none,95777,kbps,10965,kbps,none,FALSE,TRUE,,,,,,,,
channel//London_CNE/NewJersey_CNE/DC_NewJersey/,,,,,,London_CNE[any] -> NewJersey_CNE[DC_NewJersey] ,0,kbps,0,B,0,100,,tcp,0,kbps,0,kbps,none,FALSE,TRUE,,,,,0,kbps,0,kbps
channel/AlgoEngine/London_CNE//VENUE_Chicago/AlgoLatency,,,,,,London_CNE[AlgoEngine] -> [VENUE_Chicago] AlgoLatency,0,kbps,420060,B,80,100,,pnqm,1,messages per second,1,messages per second,none,TRUE,FALSE,,,,,,,,
channel/Arcabook-Equities-A//London_CNE/FeedHandler/,,,,,,[Arcabook-Equities-A] -> London_CNE[FeedHandler] ,1000000,kbps,103981,B,-1,100,,none,3753,kbps,21,kbps,none,FALSE,TRUE,1000000,kbps,0,%,157,kbps,1,kbps
channel/Arcabook-Equities-B//London_CNE/FeedHandler/,,,,,,[Arcabook-Equities-B] -> London_CNE[FeedHandler] ,50000,kbps,103981,B,-1,100,,none,2412,kbps,21,kbps,none,FALSE,TRUE,50000,kbps,0,%,157,kbps,1,kbps
channel/Arcabook-Options-A//London_CNE/FeedHandler/,,,,,,[Arcabook-Options-A] -> London_CNE[FeedHandler] ,1000000,kbps,1659048,B,-1,100,,none,34128,kbps,156,kbps,none,FALSE,TRUE,1000000,kbps,0,%,1488,kbps,52,kbps
channel/Arcabook-Options-B//London_CNE/FeedHandler/,,,,,,[Arcabook-Options-B] -> London_CNE[FeedHandler] ,50000,kbps,1659048,B,-1,100,,none,34128,kbps,156,kbps,none,FALSE,TRUE,50000,kbps,0,%,1482,kbps,52,kbps
channel/BATS//London_CNE/FeedHandler/PITCH,,,,,,[BATS] -> London_CNE[FeedHandler] PITCH,50000,kbps,12930185,B,-1,100,,none,15656,kbps,597,kbps,none,FALSE,TRUE,50000,kbps,0,%,1302,kbps,1146,kbps
channel/Broker_MetroBank//London_CNE/OrderRouter/,,,,,,London_CNE[OrderRouter] <- [Broker_MetroBank] ,100000,kbps,104557,B,-1,100,,none,200,messages per second,10,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/Broker_MetroBank//London_CNE/OrderRouter/Session-1,,,,,,London_CNE[OrderRouter] <- [Broker_MetroBank] Session-1,100000,kbps,73561,B,-1,100,,none,200,messages per second,9,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/Broker_MetroBank//London_CNE/OrderRouter/Session-2,,,,,,London_CNE[OrderRouter] <- [Broker_MetroBank] Session-2,100000,kbps,30996,B,-1,100,,none,1,messages per second,1,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/Broker_OTCtrade//London_CNE/OrderRouter/,,,,,,London_CNE[OrderRouter] <- [Broker_OTCtrade] ,100000,kbps,2094126,B,-1,100,,none,210,messages per second,33,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/Broker_OTCtrade//London_CNE/OrderRouter/Session-1,,,,,,London_CNE[OrderRouter] <- [Broker_OTCtrade] Session-1,100000,kbps,83048,B,-1,100,,none,150,messages per second,14,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/Broker_OTCtrade//London_CNE/OrderRouter/Session-2,,,,,,London_CNE[OrderRouter] <- [Broker_OTCtrade] Session-2,100000,kbps,2011078,B,-1,100,,none,210,messages per second,33,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CME-FixFast-A//London_CNE/FeedHandler/AvB_Latency,,,,,,[CME-FixFast-A] -> London_CNE[FeedHandler] AvB_Latency,1000000,kbps,51255480,B,60,100,,pnqm,68116,kbps,2379,kbps,none,FALSE,TRUE,1000000,kbps,0,%,5569,kbps,5334,kbps
channel/CME-FixFast-B//London_CNE/FeedHandler/,,,,,,[CME-FixFast-B] -> London_CNE[FeedHandler] ,50000,kbps,51255480,B,-1,100,,none,49444,kbps,2363,kbps,none,FALSE,TRUE,50000,kbps,0,%,5569,kbps,5343,kbps
channel/CME-MD/London_CNE///,,,,,,London_CNE[CME-MD] -> [any] ,0,kbps,83160,B,0,100,,tcp,1,messages per second,1,messages per second,none,TRUE,FALSE,,,,,,,,
channel/CUSTOMERS//London_CNE/CustomerGateway/OrderLatency,,,,,,[CUSTOMERS] -> London_CNE[CustomerGateway] OrderLatency,100000,kbps,11993598,B,60,100,,pnqm,1528,messages per second,92,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CUSTOMERS/London_CNE//CustomerGateway/PlantLatency,,,,,,London_CNE[CUSTOMERS] -> [CustomerGateway] PlantLatency,100000,kbps,11993598,B,40,100,,pnqm,1528,messages per second,92,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CUST_AlgoSpeed//London_CNE/CustomerGateway/,,,,,,[CUST_AlgoSpeed] -> London_CNE[CustomerGateway] ,100000,kbps,3193696,B,10,100,,pnqm,650,messages per second,31,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
