measurementPoint,informationalAlerts,warningAlerts,minorAlerts,majorAlerts,severeAlerts,e2eLatencyError,e2eLatencyFactor,e2eLatencyUnit,e2eLatencyMin,e2eLatencyMean,e2eLatencyMax,e2eLatencyCount,e2eLatencyPercentile,e2eDelayTargetError,e2eDelayTargetFactor,e2eDelayTargetUnit,e2eDelayTargetValue,remoteRoundtripTimeFactor,remoteRoundtripTimeUnit,remoteRoundtripTimeMin,remoteRoundtripTimeMean,remoteRoundtripTimeMax,remoteRoundtripTimeCount,localRoundtripTimeFactor,localRoundtripTimeUnit,localRoundtripTimeMin,localRoundtripTimeMean,localRoundtripTimeMax,localRoundtripTimeCount,roundtripTimeEventThresholdFactor,roundtripTimeEventThresholdUnit,roundtripTimeEventThresholdValue,e2eLatency95.0%
<!>cfgFile,/home/jpc/rnd/corvil/trunk/test/demo_get_live_stats_clients.cfg
<!>updateIntervalSeconds,60
<!>updateInterval,1 minute
<!>timestamp,1376046000
<!>time,Fri Aug  9 12:00:00 2013
<!>lagOffsetMs,93005
<!>noDataValues,unchanged
rt-class/CUST_AlgoSpeed//London_CNE/CustomerGateway//class-default,,,,,,,1000000,ms,6288000,12613334,51439000,69,39071283,,1000000,ms,1000000000,1000,ms,2530,2918,3437,13,1000,ms,15761,15855,16046,63,1000,ms,200000,39071283
rt-class/CUST_AlphaChase/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,4670000,4829750,5119000,4,5119000,,1000000,ms,500000000,1000,ms,-1,-1,-1,0,1000,ms,15825,32216,97670,5,1000,ms,200000,5119000
rt-class/CUST_Arco/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,18067000,19140889,19628001,9,19628001,,1000000,ms,500000000,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,19628001
rt-class/CUST_Bergman//London_CNE/CustomerGateway//class-default,,,,,,,1000000,ms,18067000,164007378,519156000,262,474812883,,1000000,ms,500000000,1000,ms,2694,4167,7840,74,1000,ms,43893,45337,58158,10,1000,ms,200000,400921309
