Key,GroupID,SampleInterval,UtilizationThreshold,DataRate,UnclearedEvents,EventsLastSample,BurstByteCount,BurstByteCountLastSample,EventID,Date,TimeStamp,EventByteCount,Overflow,
NYSE,4,1000000 ms,3%,100 Mb/s,35,0,37652938,0,,,,,,
NYSE#027600,,,,,,,,,27600,2015-04-10,13:04:26.511965,1362904,0,
NYSE#027597,,,,,,,,,27597,2015-04-10,13:04:25.511965,1110668,0,
NYSE#027612,,,,,,,,,27612,2015-04-10,13:04:49.511965,761506,0,
NYSE#027611,,,,,,,,,27611,2015-04-10,13:04:48.511965,1363072,0,
NYSE#027608,,,,,,,,,27608,2015-04-10,13:04:47.511965,673574,0,
NYSE#027635,,,,,,,,,27635,2015-04-10,14:04:26.511965,1362696,0,
NYSE#027632,,,,,,,,,27632,2015-04-10,14:04:25.511965,1092492,0,
NYSE#027647,,,,,,,,,27647,2015-04-10,14:04:49.511965,774620,0,
NYSE#027646,,,,,,,,,27646,2015-04-10,14:04:48.511965,1362932,0,
NYSE#027643,,,,,,,,,27643,2015-04-10,14:04:47.511965,660600,0,
