Key,ChannelId,UnclearedEvents,EventsLastSample,TotalGaps,GapsLastSample,EventID,Date,TimeStamp,PreGapSeqNum,NumMissed,Overflow,
Exchange Group  OpenBook Ultra Production - Line B AA - 1 233.75.215.224:60224,5553,5,0,-174468,0,,,,,,,
Exchange Group  OpenBook Ultra Production - Line B KK - 10 233.75.215.233:60233,5562,5,0,-174202,0,,,,,,,
Exchange Group  OpenBook Ultra Production - Line B AA - 1 233.75.215.224:60224#027599,,,,,,27599,2015-04-10,13:04:26.334650,69540,5,0,
Exchange Group  OpenBook Ultra Production - Line B AA - 1 233.75.215.224:60224#027598,,,,,,27598,2015-04-10,13:04:25.926302,64541,6,0,
Exchange Group  OpenBook Ultra Production - Line B AA - 1 233.75.215.224:60224#027596,,,,,,27596,2015-04-10,13:04:25.494532,59541,4,0,
Exchange Group  OpenBook Ultra Production - Line B AA - 1 233.75.215.224:60224#027595,,,,,,27595,2015-04-10,13:04:25.092310,54566,4,0,
Exchange Group  OpenBook Ultra Production - Line B AA - 1 233.75.215.224:60224#027594,,,,,,27594,2015-04-10,13:04:24.695855,74539,-24943,0,
Exchange Group  OpenBook Ultra Production - Line B KK - 10 233.75.215.233:60233#027610,,,,,,27610,2015-04-10,13:04:48.659255,33135,5,0,
Exchange Group  OpenBook Ultra Production - Line B KK - 10 233.75.215.233:60233#027609,,,,,,27609,2015-04-10,13:04:48.252156,28134,6,0,
Exchange Group  OpenBook Ultra Production - Line B KK - 10 233.75.215.233:60233#027607,,,,,,27607,2015-04-10,13:04:47.848549,23140,4,0,
Exchange Group  OpenBook Ultra Production - Line B KK - 10 233.75.215.233:60233#027606,,,,,,27606,2015-04-10,13:04:47.437075,18159,3,0,
Exchange Group  OpenBook Ultra Production - Line B KK - 10 233.75.215.233:60233#027605,,,,,,27605,2015-04-10,13:04:47.014258,38136,-24904,0,
Exchange Group  OpenBook Ultra Production - Line B AA - 1 233.75.215.224:60224#027629,,,,,,27629,2015-04-10,14:04:24.709420,74539,-24943,0,
Exchange Group  OpenBook Ultra Production - Line B AA - 1 233.75.215.224:60224#027634,,,,,,27634,2015-04-10,14:04:26.348175,69540,5,0,
Exchange Group  OpenBook Ultra Production - Line B AA - 1 233.75.215.224:60224#027633,,,,,,27633,2015-04-10,14:04:25.939864,64541,6,0,
Exchange Group  OpenBook Ultra Production - Line B AA - 1 233.75.215.224:60224#027631,,,,,,27631,2015-04-10,14:04:25.508074,59541,4,0,
Exchange Group  OpenBook Ultra Production - Line B AA - 1 233.75.215.224:60224#027630,,,,,,27630,2015-04-10,14:04:25.105851,54566,4,0,
Exchange Group  OpenBook Ultra Production - Line B KK - 10 233.75.215.233:60233#027645,,,,,,27645,2015-04-10,14:04:48.668884,33135,5,0,
Exchange Group  OpenBook Ultra Production - Line B KK - 10 233.75.215.233:60233#027644,,,,,,27644,2015-04-10,14:04:48.261762,28134,6,0,
Exchange Group  OpenBook Ultra Production - Line B KK - 10 233.75.215.233:60233#027642,,,,,,27642,2015-04-10,14:04:47.858109,23140,4,0,
Exchange Group  OpenBook Ultra Production - Line B KK - 10 233.75.215.233:60233#027641,,,,,,27641,2015-04-10,14:04:47.446618,18159,3,0,
Exchange Group  OpenBook Ultra Production - Line B KK - 10 233.75.215.233:60233#027640,,,,,,27640,2015-04-10,14:04:47.023821,38136,-24904,0,
