Key,GroupID,CurrentState,UtilizationThreshold,DataRate,UnclearedEvents,EventsLastSample,EventID,Date,TimeStamp,State,Overflow,
Port 1,0,LOW_ACTIVITY,0%,1000 Mb/s,28,0,,,,,,
CME NYMEX,3,LOW_ACTIVITY,0%,10 Mb/s,14,0,,,,,,
NYSE_duplicate1,1,LOW_ACTIVITY,0%,100 Mb/s,14,0,,,,,,
NYSE_duplicate2,4,LOW_ACTIVITY,0%,100 Mb/s,14,0,,,,,,
CME NYMEX#027485,,,,,,,27485,2015-04-10,10:01:01.704850,HEALTHY,0,
CME NYMEX#027487,,,,,,,27487,2015-04-10,10:01:31.726731,LOW_ACTIVITY,0,
NYSE#027504,,,,,,,27504,2015-04-10,10:03:01.766445,HEALTHY,0,
NYSE#027507,,,,,,,27507,2015-04-10,10:03:05.644299,HEALTHY,0,
NYSE#027513,,,,,,,27513,2015-04-10,10:04:01.825375,LOW_ACTIVITY,0,
NYSE#027516,,,,,,,27516,2015-04-10,10:04:05.698181,LOW_ACTIVITY,0,
CME NYMEX#027520,,,,,,,27520,2015-04-10,11:01:03.075295,HEALTHY,0,
CME NYMEX#027522,,,,,,,27522,2015-04-10,11:01:33.105371,LOW_ACTIVITY,0,
NYSE#027539,,,,,,,27539,2015-04-10,11:03:03.145860,HEALTHY,0,
NYSE#027541,,,,,,,27541,2015-04-10,11:03:07.256380,HEALTHY,0,
NYSE#027548,,,,,,,27548,2015-04-10,11:04:03.196273,LOW_ACTIVITY,0,
NYSE#027551,,,,,,,27551,2015-04-10,11:04:07.356831,LOW_ACTIVITY,0,
CME NYMEX#027554,,,,,,,27554,2015-04-10,12:00:49.608027,HEALTHY,0,
CME NYMEX#027557,,,,,,,27557,2015-04-10,12:01:49.674771,LOW_ACTIVITY,0,
NYSE#027566,,,,,,,27566,2015-04-10,12:02:53.692721,HEALTHY,0,
NYSE#027576,,,,,,,27576,2015-04-10,12:03:04.712910,HEALTHY,0,
Port 1#027582,,,,,,,27582,2015-04-10,12:03:53.730605,LOW_ACTIVITY,0,
NYSE#027583,,,,,,,27583,2015-04-10,12:03:53.730605,LOW_ACTIVITY,0,
Port 1#027585,,,,,,,27585,2015-04-10,12:04:04.814043,LOW_ACTIVITY,0,
NYSE#027586,,,,,,,27586,2015-04-10,12:04:04.814043,LOW_ACTIVITY,0,
Port 1#027588,,,,,,,27588,2015-04-10,13:00:51.213542,HEALTHY,0,
Port 1#027589,,,,,,,27589,2015-04-10,13:00:55.174612,HEALTHY,0,
CME NYMEX#027590,,,,,,,27590,2015-04-10,13:01:21.229589,HEALTHY,0,
CME NYMEX#027592,,,,,,,27592,2015-04-10,13:01:51.251674,LOW_ACTIVITY,0,
NYSE#027601,,,,,,,27601,2015-04-10,13:02:51.296523,HEALTHY,0,
NYSE#027603,,,,,,,27603,2015-04-10,13:02:55.262050,HEALTHY,0,
Port 1#027617,,,,,,,27617,2015-04-10,13:03:51.338033,LOW_ACTIVITY,0,
NYSE#027618,,,,,,,27618,2015-04-10,13:03:51.338033,LOW_ACTIVITY,0,
Port 1#027620,,,,,,,27620,2015-04-10,13:03:55.306212,LOW_ACTIVITY,0,
NYSE#027621,,,,,,,27621,2015-04-10,13:03:55.306212,LOW_ACTIVITY,0,
Port 1#027624,,,,,,,27624,2015-04-10,14:00:41.610764,HEALTHY,0,
Port 1#027623,,,,,,,27623,2015-04-10,14:00:37.755522,HEALTHY,0,
CME NYMEX#027625,,,,,,,27625,2015-04-10,14:01:22.778891,HEALTHY,0,
CME NYMEX#027627,,,,,,,27627,2015-04-10,14:01:52.797840,LOW_ACTIVITY,0,
NYSE#027636,,,,,,,27636,2015-04-10,14:02:41.661310,HEALTHY,0,
NYSE#027638,,,,,,,27638,2015-04-10,14:02:52.844483,HEALTHY,0,
Port 1#027652,,,,,,,27652,2015-04-10,14:03:52.924318,LOW_ACTIVITY,0,
NYSE#027653,,,,,,,27653,2015-04-10,14:03:52.924318,LOW_ACTIVITY,0,
Port 1#027655,,,,,,,27655,2015-04-10,14:03:56.705021,LOW_ACTIVITY,0,
NYSE#027656,,,,,,,27656,2015-04-10,14:03:56.705021,LOW_ACTIVITY,0,
