UID,arrivalTime,count,genericType,specificType,source,community,uptime,NIKSUN-TRAPv2-OBJECTS-MIB::deviceType,NIKSUN-TRAPv2-OBJECTS-MIB::deviceVersion,NIKSUN-TRAPv2-OBJECTS-MIB::deviceHostname,NIKSUN-TRAPv2-OBJECTS-MIB::deviceIp,NIKSUN-TRAPv2-OBJECTS-MIB::recorder,NIKSUN-TRAPv2-OBJECTS-MIB::interface,NIKSUN-TRAPv2-OBJECTS-MIB::alarmModuleName,NIKSUN-TRAPv2-OBJECTS-MIB::alarmTypeIdentifier,NIKSUN-TRAPv2-OBJECTS-MIB::alarmCategory,NIKSUN-TRAPv2-OBJECTS-MIB::eventDescription,NIKSUN-TRAPv2-OBJECTS-MIB::eventTimeStamp,NIKSUN-TRAPv2-OBJECTS-MIB::eventSrcIP,NIKSUN-TRAPv2-OBJECTS-MIB::eventDstIP,NIKSUN-TRAPv2-OBJECTS-MIB::eventLayer,NIKSUN-TRAPv2-OBJECTS-MIB::eventSeverity,NIKSUN-TRAPv2-OBJECTS-MIB::eventFilter,NIKSUN-TRAPv2-OBJECTS-MIB::eventURL,NIKSUN-TRAPv2-OBJECTS-MIB::custom1Label,NIKSUN-TRAPv2-OBJECTS-MIB::custom1,NIKSUN-TRAPv2-OBJECTS-MIB::custom2Label,NIKSUN-TRAPv2-OBJECTS-MIB::custom2,NIKSUN-TRAPv2-OBJECTS-MIB::custom3Label,NIKSUN-TRAPv2-OBJECTS-MIB::custom3
d0f6f13403668ca960e97635a5e7be8a86e6aa1aca11cfc8d14038577edf0267,14-08-2013 07:09:29,1,0,596,10.25.8.126,NetVCRAdmin, 13:35:28.71,NetVCR,4.3.1.0_3,onlineapp6.niksun.com,10.25.8.126,onlineapp6.niksun.com,flcn0_vi0,NetSLM,NASDAQ,Services,Number of Packets(link) transmitted: 1352417,1376478720.000000,n/a,n/a,link,Informational,"",https://onlineapp6.niksun.com/ngen/main.jsp?headless=false&openingScreen=Analysis&recorder=onlineapp6.niksun.com&iface=flcn0_vi0&endTime=1376478720.000000&startTime=1376478600.000000&layer=LINK&dataType1=packet,Threshold,10.000000,Breached Value,1352417.000000,Interval,120.000000
e326d6efee872a4f7298bc4ffaef814d1aa67768a98e1423db222b53435dac72,14-08-2013 07:09:29,1,0,12598,10.25.8.126,NetVCRAdmin, 13:35:28.73,NetVCR,4.3.1.0_3,onlineapp6.niksun.com,10.25.8.126,onlineapp6.niksun.com,flcn0_vi0,NetSLM,REUTERS,Services,[10 repeats] Number of Packets(link) transmitted: 171,1376478726.000000,n/a,n/a,link,Informational,"",https://onlineapp6.niksun.com/ngen/main.jsp?headless=false&openingScreen=Analysis&recorder=onlineapp6.niksun.com&iface=flcn0_vi0&endTime=1376478726.000000&startTime=1376478725.000000&layer=LINK&dataType1=packet,Threshold,1.000000,Breached Value,171.000000,Interval,1.000000
7558ccb8aa52af944db15e4bda306c4572d166d90b229c07c32f92432a42b191,14-08-2013 07:09:29,1,0,3422255,10.25.8.126,NetVCRAdmin, 13:35:28.76,NetVCR,4.3.1.0_3,onlineapp6.niksun.com,10.25.8.126,onlineapp6.niksun.com,flcn0_vi0,NetSLM,ICE,Services,[10 repeats] Bit Rate(ip): 240720,1376478726.000000,n/a,n/a,ip,Critical,"",https://onlineapp6.niksun.com/ngen/main.jsp?headless=false&openingScreen=Analysis&recorder=onlineapp6.niksun.com&iface=flcn0_vi0&endTime=1376478726.000000&startTime=1376478725.000000&layer=IP&dataType1=bitRate,Threshold,70.000000,Breached Value,240720.000000,Interval,1.000000
9bded0996d2637d1ecd15963bcaa23e23d39619707c343c6174adc1fdfefbaa1,14-08-2013 07:09:29,1,0,3158072,10.25.8.126,NetVCRAdmin, 13:35:28.78,NetVCR,4.3.1.0_3,onlineapp6.niksun.com,10.25.8.126,onlineapp6.niksun.com,flcn0_vi0,NetSLM,Bloomberg,Services,[10 repeats] Bit Rate(ip): 240720,1376478726.000000,n/a,n/a,ip,Severe,"",https://onlineapp6.niksun.com/ngen/main.jsp?headless=false&openingScreen=Analysis&recorder=onlineapp6.niksun.com&iface=flcn0_vi0&endTime=1376478726.000000&startTime=1376478725.000000&layer=IP&dataType1=bitRate,Threshold,50.000000,Breached Value,240720.000000,Interval,1.000000
e37c445d8a3ec1c407ecb6c57b8ca716d0d19793afd323272c0f5106b9c8258c,14-08-2013 07:09:39,1,0,3749937,10.25.8.126,NetVCRAdmin, 13:35:38.78,NetVCR,4.3.1.0_3,onlineapp6.niksun.com,10.25.8.126,onlineapp6.niksun.com,flcn0_vi0,NetSLM,REUTERS,Services,[11 repeats] Number of Packets(link) transmitted: 647,1376478737.000000,n/a,n/a,link,Informational,"",https://onlineapp6.niksun.com/ngen/main.jsp?headless=false&openingScreen=Analysis&recorder=onlineapp6.niksun.com&iface=flcn0_vi0&endTime=1376478737.000000&startTime=1376478736.000000&layer=LINK&dataType1=packet,Threshold,1.000000,Breached Value,647.000000,Interval,1.000000
e3d15c372f10d23065f47142f040aa2b87debbe6f1dbcecd81344b6e35b0d10d,14-08-2013 07:09:39,1,0,3225909,10.25.8.126,NetVCRAdmin, 13:35:38.80,NetVCR,4.3.1.0_3,onlineapp6.niksun.com,10.25.8.126,onlineapp6.niksun.com,flcn0_vi0,NetSLM,ICE,Services,[11 repeats] Bit Rate(ip): 2931944,1376478737.000000,n/a,n/a,ip,Critical,"",https://onlineapp6.niksun.com/ngen/main.jsp?headless=false&openingScreen=Analysis&recorder=onlineapp6.niksun.com&iface=flcn0_vi0&endTime=1376478737.000000&startTime=1376478736.000000&layer=IP&dataType1=bitRate,Threshold,70.000000,Breached Value,2931944.000000,Interval,1.000000
9799f20452fe596d0cc27f97ab1f6d3041e00509034c76dec94ff6ed7a832c7e,14-08-2013 07:09:39,1,0,3422262,10.25.8.126,NetVCRAdmin, 13:35:38.82,NetVCR,4.3.1.0_3,onlineapp6.niksun.com,10.25.8.126,onlineapp6.niksun.com,flcn0_vi0,NetSLM,Bloomberg,Services,[11 repeats] Bit Rate(ip): 2931944,1376478737.000000,n/a,n/a,ip,Severe,"",https://onlineapp6.niksun.com/ngen/main.jsp?headless=false&openingScreen=Analysis&recorder=onlineapp6.niksun.com&iface=flcn0_vi0&endTime=1376478737.000000&startTime=1376478736.000000&layer=IP&dataType1=bitRate,Threshold,50.000000,Breached Value,2931944.000000,Interval,1.000000
c3e66c40014f8950d15451806a94cb57b40d92b345c89fcca800d8f3bb599152,14-08-2013 07:09:50,1,0,3225647,10.25.8.126,NetVCRAdmin, 13:35:49.64,NetVCR,4.3.1.0_3,onlineapp6.niksun.com,10.25.8.126,onlineapp6.niksun.com,flcn0_vi0,NetSLM,REUTERS,Services,[10 repeats] Number of Packets(link) transmitted: 62,1376478747.000000,n/a,n/a,link,Informational,"",https://onlineapp6.niksun.com/ngen/main.jsp?headless=false&openingScreen=Analysis&recorder=onlineapp6.niksun.com&iface=flcn0_vi0&endTime=1376478747.000000&startTime=1376478746.000000&layer=LINK&dataType1=packet,Threshold,1.000000,Breached Value,62.000000,Interval,1.000000
a9fa1e69cf9f50f2eb661ef95014ca64e287d821ae2d9afcac966533fbfbf282,14-08-2013 07:09:50,1,0,12592,10.25.8.126,NetVCRAdmin, 13:35:49.66,NetVCR,4.3.1.0_3,onlineapp6.niksun.com,10.25.8.126,onlineapp6.niksun.com,flcn0_vi0,NetSLM,ICE,Services,[10 repeats] Bit Rate(ip): 123960,1376478747.000000,n/a,n/a,ip,Critical,"",https://onlineapp6.niksun.com/ngen/main.jsp?headless=false&openingScreen=Analysis&recorder=onlineapp6.niksun.com&iface=flcn0_vi0&endTime=1376478747.000000&startTime=1376478746.000000&layer=IP&dataType1=bitRate,Threshold,70.000000,Breached Value,123960.000000,Interval,1.000000
9c86a9ab2dcd0f839ddf439967e7dc3b61bf877fdd8eb6b95a5b3608f5acc238,14-08-2013 07:09:50,1,0,50,10.25.8.126,NetVCRAdmin, 13:35:49.68,NetVCR,4.3.1.0_3,onlineapp6.niksun.com,10.25.8.126,onlineapp6.niksun.com,flcn0_vi0,NetSLM,Bloomberg,Services,[10 repeats] Bit Rate(ip): 123960,1376478747.000000,n/a,n/a,ip,Severe,"",https://onlineapp6.niksun.com/ngen/main.jsp?headless=false&openingScreen=Analysis&recorder=onlineapp6.niksun.com&iface=flcn0_vi0&endTime=1376478747.000000&startTime=1376478746.000000&layer=IP&dataType1=bitRate,Threshold,50.000000,Breached Value,123960.000000,Interval,1.000000
ec51819a887fb437469e3758eef2a9681867972921cefe2e67c2751fb32a1a54,14-08-2013 07:10:00,1,0,13362,10.25.8.126,NetVCRAdmin, 13:35:59.66,NetVCR,4.3.1.0_3,onlineapp6.niksun.com,10.25.8.126,onlineapp6.niksun.com,flcn0_vi0,NetSLM,REUTERS,Services,[10 repeats] Number of Packets(link) transmitted: 93,1376478757.000000,n/a,n/a,link,Informational,"",https://onlineapp6.niksun.com/ngen/main.jsp?headless=false&openingScreen=Analysis&recorder=onlineapp6.niksun.com&iface=flcn0_vi0&endTime=1376478757.000000&startTime=1376478756.000000&layer=LINK&dataType1=packet,Threshold,1.000000,Breached Value,93.000000,Interval,1.000000
86242c531592a6b99c4af7e5a5bcbba42b7b01880196c355dbb00ba1c2fcf3eb,14-08-2013 07:10:00,1,0,36,10.25.8.126,NetVCRAdmin, 13:35:59.68,NetVCR,4.3.1.0_3,onlineapp6.niksun.com,10.25.8.126,onlineapp6.niksun.com,flcn0_vi0,NetSLM,ICE,Services,[10 repeats] Bit Rate(ip): 158792,1376478757.000000,n/a,n/a,ip,Critical,"",https://onlineapp6.niksun.com/ngen/main.jsp?headless=false&openingScreen=Analysis&recorder=onlineapp6.niksun.com&iface=flcn0_vi0&endTime=1376478757.000000&startTime=1376478756.000000&layer=IP&dataType1=bitRate,Threshold,70.000000,Breached Value,158792.000000,Interval,1.000000
888df97a8446f83cdb2a68bf0beb48c0255f5a2af8c6dc08beec8e97b3fc6946,14-08-2013 07:10:00,1,0,36,10.25.8.126,NetVCRAdmin, 13:35:59.70,NetVCR,4.3.1.0_3,onlineapp6.niksun.com,10.25.8.126,onlineapp6.niksun.com,flcn0_vi0,NetSLM,Bloomberg,Services,[10 repeats] Bit Rate(ip): 158792,1376478757.000000,n/a,n/a,ip,Severe,"",https://onlineapp6.niksun.com/ngen/main.jsp?headless=false&openingScreen=Analysis&recorder=onlineapp6.niksun.com&iface=flcn0_vi0&endTime=1376478757.000000&startTime=1376478756.000000&layer=IP&dataType1=bitRate,Threshold,50.000000,Breached Value,158792.000000,Interval,1.000000
c31f4803a1ec9abc7565bcb8c8da4938db24a7ae1b7248aa5969b0a1fcfe6e57,14-08-2013 07:10:10,1,0,20,10.25.8.126,NetVCRAdmin, 13:36:09.83,NetVCR,4.3.1.0_3,onlineapp6.niksun.com,10.25.8.126,onlineapp6.niksun.com,flcn0_vi0,NetSLM,REUTERS,Services,[11 repeats] Number of Packets(link) transmitted: 476,1376478768.000000,n/a,n/a,link,Informational,"",https://onlineapp6.niksun.com/ngen/main.jsp?headless=false&openingScreen=Analysis&recorder=onlineapp6.niksun.com&iface=flcn0_vi0&endTime=1376478768.000000&startTime=1376478767.000000&layer=LINK&dataType1=packet,Threshold,1.000000,Breached Value,476.000000,Interval,1.000000
