Queue Name,Message VPN,Primary / Backup,Access Type,Messages Spooled,Spool Usage,Bind Count,Ingress Status,Egress Status,Selector
#DEAD_MSG_QUEUE,BO,Primary,exclusive,0,0.0,0,Up,Up,No
BO_PI_TRADES_OUT,BO,Primary,exclusive,0,0.0,0,Up,Up,No
BO_TRADES_RAW_OUT,BO,Primary,exclusive,0,0.0,0,Up,Up,No
#DEAD_MSG_QUEUE,CA,Primary,exclusive,0,0.0,0,Up,Up,No
ASOFPOSITION_CHANGE,CA,Primary,non-exclusive,0,0.0,0,Up,Up,No
CA_PI_TRADES_OUT,CA,Primary,non-exclusive,89,0.147252,0,Up,Up,No
CA_TRADES_RAW_OUT,CA,Primary,non-exclusive,24,0.039711,0,Up,Up,No
CORPACTION_CHANGE,CA,Primary,non-exclusive,0,0.0,0,Up,Up,No
#DEAD_MSG_QUEUE,CCR_FUTURES,Primary,exclusive,0,0.0,0,Up,Up,No
FD1_PI_TRADES_OUT,CCR_FUTURES,Primary,non-exclusive,2,0.00169754,0,Up,Up,No
CCR_FUTURES_TRADES_RAW_OUT,CCR_FUTURES,Primary,non-exclusive,0,0.0,0,Up,Up,No
CCR_TEV_TRADES_RAW_IN,CCR_FUTURES,Primary,exclusive,0,0.0,0,Up,Up,No
#DEAD_MSG_QUEUE,CCR_TEV,Primary,exclusive,0,0.0,0,Up,Up,No
FD2_PI_TRADES_OUT,CCR_TEV,Primary,non-exclusive,10334,14.3872,0,Up,Up,No
CCR_TEV_TRADES_RAW_OUT,CCR_TEV,Primary,exclusive,0,0.0,0,Up,Up,No
#DEAD_MSG_QUEUE,MX00,Primary,exclusive,0,0.0,0,Up,Up,No
MX00_TRADES_RAW_OUT,MX00,Primary,non-exclusive,5,0.146964,0,Up,Up,No
PI_TRADES_OUT,MX00,Primary,non-exclusive,1,0.109076,0,Up,Up,No
#DEAD_MSG_QUEUE,CYCLOP,Primary,exclusive,0,0.0,0,Up,Up,No
EVENTHUB_EVENTS,CYCLOP,Primary,exclusive,0,0.0,0,Up,Up,No
EVENTHUB_EVENTS_REGISTER,CYCLOP,Primary,exclusive,0,0.0,0,Up,Up,No
EVENTHUB_EVENTS_SUBSCRIBER,CYCLOP,Primary,exclusive,0,0.0,0,Up,Up,No
MUREX_BOND_TRADE_IN,CYCLOP,Primary,exclusive,0,0.0,0,Up,Up,No
MUREX_BOND_TRADE_PRD_IN,CYCLOP,Primary,exclusive,0,0.0,0,Up,Up,No
MUREX_FX_TRADES_IN,CYCLOP,Primary,exclusive,0,0.0,0,Up,Up,No
MX_TRADES_OUT,CYCLOP,Primary,exclusive,0,0.0,0,Up,Up,No
OMGEOTNG_TO_PROTEUS_STATUS,CYCLOP,Primary,exclusive,0,0.0,0,Up,Up,No
OMGEOTNG_TO_PROTEUS_STATUS_FAILURE,CYCLOP,Primary,exclusive,0,0.0,0,Up,Up,No
CYCLOP_PARALLEL_OUT,CYCLOP,Primary,exclusive,0,0.0,0,Up,Up,No
CYCLOP_PARALLEL_OUT1,CYCLOP,Primary,exclusive,0,0.0,0,Up,Up,No
CYCLOP_PARALLEL_OUT10,CYCLOP,Primary,exclusive,0,0.0,0,Up,Up,No
CYCLOP_PARALLEL_OUT2,CYCLOP,Primary,exclusive,0,0.0,0,Up,Up,No
CYCLOP_PARALLEL_OUT3,CYCLOP,Primary,exclusive,0,0.0,0,Up,Up,No
CYCLOP_PARALLEL_OUT4,CYCLOP,Primary,exclusive,0,0.0,0,Up,Up,No
CYCLOP_PARALLEL_OUT5,CYCLOP,Primary,exclusive,0,0.0,0,Up,Up,No
CYCLOP_PARALLEL_OUT6,CYCLOP,Primary,exclusive,0,0.0,0,Up,Up,No
CYCLOP_PARALLEL_OUT7,CYCLOP,Primary,exclusive,0,0.0,0,Up,Up,No
CYCLOP_PARALLEL_OUT8,CYCLOP,Primary,exclusive,0,0.0,0,Up,Up,No
CYCLOP_PARALLEL_OUT9,CYCLOP,Primary,exclusive,0,0.0,0,Up,Up,No
PRD_WHITESNAKE_OUT,CYCLOP,Primary,exclusive,0,0.0,0,Up,Up,No
PROTEUS_TO_OMGEOTNG_TRADES,CYCLOP,Primary,exclusive,0,0.0,0,Up,Up,No
PYRRHA_GENEVA_OUT,CYCLOP,Primary,exclusive,0,0.0,0,Up,Up,No
TRITON_FAILUREQ,CYCLOP,Primary,exclusive,0,0.0,0,Up,Up,No
WHITESNAKE_STATUS_OUT,CYCLOP,Primary,exclusive,0,0.0,0,Up,Up,No
