deviceName,deviceLocation,isDefaultDisk,numFragments,totalMB,usedMB,availableMB,percentUtilisation
<!>serverName,lon_234_sql_prd
<!>status,up
<!>totalDiskSpace,185000.00 MB
<!>usedDiskSpace,155197.00 MB
<!>percentUtilisation,83.89 %
audit_dev1,/data/sybase/lon_gedimg_sql_prd4/data/audit_dev1,N,1,100.00,100.00,0.00,100.00 %
audit_dev2,/data/sybase/lon_gedimg_sql_prd4/data/audit_dev2,N,1,100.00,100.00,0.00,100.00 %
audit_dev3,/data/sybase/lon_gedimg_sql_prd4/data/audit_dev3,N,1,100.00,100.00,0.00,100.00 %
audit_log1,/data/sybase/lon_gedimg_sql_prd4/data/audit_log1,N,1,100.00,100.00,0.00,100.00 %
data01,/data/sybase/lon_gedimg_sql_prd4/data/data01,N,7,4000.00,4000.00,0.00,100.00 %
data02,/data/sybase/lon_gedimg_sql_prd4/data/data02,N,6,4000.00,4000.00,0.00,100.00 %
data03,/data/sybase/lon_gedimg_sql_prd4/data/data03,N,1,4000.00,4000.00,0.00,100.00 %
data04,/data/sybase/lon_gedimg_sql_prd4/data/data04,N,2,4000.00,4000.00,0.00,100.00 %
data05,/data/sybase/lon_gedimg_sql_prd4/data/data05,N,2,4000.00,4000.00,0.00,100.00 %
data06,/data/sybase/lon_gedimg_sql_prd4/data/data06,N,1,4000.00,4000.00,0.00,100.00 %
data07,/data/sybase/lon_gedimg_sql_prd4/data/data07,N,1,4000.00,4000.00,0.00,100.00 %
data08,/data/sybase/lon_gedimg_sql_prd4/data/data08,N,1,4000.00,4000.00,0.00,100.00 %
data09,/data/sybase/lon_gedimg_sql_prd4/data/data09,N,1,4000.00,4000.00,0.00,100.00 %
data10,/data/sybase/lon_gedimg_sql_prd4/data/data10,N,1,4000.00,4000.00,0.00,100.00 %
data11,/data/sybase/lon_gedimg_sql_prd4/data/data11,N,1,4000.00,4000.00,0.00,100.00 %
data12,/data/sybase/lon_gedimg_sql_prd4/data/data12,N,1,4000.00,3900.00,100.00,97.50 %
data13,/data/sybase/lon_gedimg_sql_prd4/data/data13,N,3,4000.00,4000.00,0.00,100.00 %
data14,/data/sybase/lon_gedimg_sql_prd4/data/data14,N,1,4000.00,4000.00,0.00,100.00 %
data15,/data/sybase/lon_gedimg_sql_prd4/data/data15,N,1,4000.00,4000.00,0.00,100.00 %
data16,/data/sybase/lon_gedimg_sql_prd4/data/data16,N,5,4000.00,4000.00,0.00,100.00 %
data17,/data/sybase/lon_gedimg_sql_prd4/data/data17,N,1,4000.00,4000.00,0.00,100.00 %
data18,/data/sybase/lon_gedimg_sql_prd4/data/data18,N,1,4000.00,4000.00,0.00,100.00 %
data19,/data/sybase/lon_gedimg_sql_prd4/data/data19,N,1,4000.00,4000.00,0.00,100.00 %
data20,/data/sybase/lon_gedimg_sql_prd4/data/data20,N,1,4000.00,4000.00,0.00,100.00 %
data21,/data/sybase/lon_gedimg_sql_prd4/data/data21,N,0,4000.00,0.00,4000.00,0.00 %
data22,/data/sybase/lon_gedimg_sql_prd4/data/data22,N,0,4000.00,0.00,4000.00,0.00 %
data23,/data/sybase/lon_gedimg_sql_prd4/data/data23,N,0,4000.00,0.00,4000.00,0.00 %
data24,/data/sybase/lon_gedimg_sql_prd4/data/data24,N,0,4000.00,0.00,4000.00,0.00 %
data25,/data/sybase/lon_gedimg_sql_prd4/data/data25,N,1,4000.00,1000.00,3000.00,25.00 %
dbcc_data1,/data/sybase/lon_gedimg_sql_prd4/data/dbcc_data1,N,1,3000.00,3000.00,0.00,100.00 %
dbcc_log1,/data/sybase/lon_gedimg_sql_prd4/data/dbcc_log1,N,1,1000.00,1000.00,0.00,100.00 %
log01,/data/sybase/lon_gedimg_sql_prd4/data/log01,N,12,4000.00,3440.00,560.00,86.00 %
log02,/data/sybase/lon_gedimg_sql_prd4/data/log02,N,0,4000.00,0.00,4000.00,0.00 %
log03,/data/sybase/lon_gedimg_sql_prd4/data/log03,N,0,4000.00,0.00,4000.00,0.00 %
master,/data/sybase/lon_gedimg_sql_prd4/data/master,N,5,300.00,157.00,143.00,52.33 %
rssd_data01,/data/sybase/lon_gedimg_sql_prd4/data/rssd_data01,N,1,4000.00,4000.00,0.00,100.00 %
rssd_log01,/data/sybase/lon_gedimg_sql_prd4/data/rssd_log01,N,1,4000.00,4000.00,0.00,100.00 %
sysprocsdev,/data/sybase/lon_gedimg_sql_prd4/data/sybsystemprocs,N,1,300.00,300.00,0.00,100.00 %
tempdb01,/data/sybase/lon_gedimg_sql_prd4/tempdb/tempdb01,N,1,4000.00,4000.00,0.00,100.00 %
tempdb02,/data/sybase/lon_gedimg_sql_prd4/tempdb/tempdb02,N,1,4000.00,4000.00,0.00,100.00 %
tempdb03,/data/sybase/lon_gedimg_sql_prd4/tempdb/tempdb03,N,1,4000.00,4000.00,0.00,100.00 %
tempdb04,/data/sybase/lon_gedimg_sql_prd4/tempdb/tempdb04,N,1,4000.00,4000.00,0.00,100.00 %
tempdb05,/data/sybase/lon_gedimg_sql_prd4/tempdb/tempdb05,N,1,4000.00,4000.00,0.00,100.00 %
tempdb06,/data/sybase/lon_gedimg_sql_prd4/tempdb/tempdb06,N,1,4000.00,4000.00,0.00,100.00 %
tempdb07,/data/sybase/lon_gedimg_sql_prd4/tempdb/tempdb07,N,1,4000.00,4000.00,0.00,100.00 %
tempdb08,/data/sybase/lon_gedimg_sql_prd4/tempdb/tempdb08,N,1,4000.00,2000.00,2000.00,50.00 %
tempdb09,/data/sybase/lon_gedimg_sql_prd4/tempdb/tempdb09,N,1,4000.00,4000.00,0.00,100.00 %
tempdb10,/data/sybase/lon_gedimg_sql_prd4/tempdb/tempdb10,N,1,4000.00,4000.00,0.00,100.00 %
tempdb11,/data/sybase/lon_gedimg_sql_prd4/tempdb/tempdb11,N,1,4000.00,4000.00,0.00,100.00 %
tempdb12,/data/sybase/lon_gedimg_sql_prd4/tempdb/tempdb12,N,1,4000.00,4000.00,0.00,100.00 %
tempdb13,/data/sybase/lon_gedimg_sql_prd4/tempdb/tempdb13,N,1,4000.00,4000.00,0.00,100.00 %
tempdb14,/data/sybase/lon_gedimg_sql_prd4/tempdb/tempdb14,N,1,4000.00,4000.00,0.00,100.00 %
tempdb15,/data/sybase/lon_gedimg_sql_prd4/tempdb/tempdb15,N,1,4000.00,4000.00,0.00,100.00 %
