HostName,TaskName,Next Run Time,Status,Logon Mode,Last Run Time,Last Result,Author,Task To Run,Start In,Comment,Scheduled Task State,Idle Time,Run As User,Stop Task If Runs X Hours and X Mins,Schedule Type,Start Time,Start Date,End Date,Days,Months,Repeat
TPAD37_duplicate1,\CCleanerSkipUAC,N/A,Ready,Interactive only,N/A,1,Piriform Ltd,C:\Program Files\CCleaner\CCleaner.exe $(Arg0),N/A,N/A,Enabled,Disabled,ckrimmel,72:00:00,On demand only,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate2,\DiskUpdate,N/A,Ready,Interactive/Background,7/30/2013 10:04,0,N/A,C:\SWTOOLS\OSFIXES\DISKUPDT\DiskUpdate.exe,N/A,N/A,Enabled,Disabled,LOCAL SERVICE,72:00:00,When an event occurs,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate3,\GoogleUpdateTaskMachineCore,Disabled,,Interactive/Background,7/16/2013 9:44,0,Administrator,C:\Program Files (x86)\Google\Update\GoogleUpdate.exe /c,N/A,Keeps your Google software up to date. If this task is disabled or stopped; your Google software will not be kept up to date; meaning security vulnerabilities that may arise cannot be fixed and features may not work. This task uninstalls itself when the,Disabled,Disabled,SYSTEM,72:00:00,At logon time,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate4,\GoogleUpdateTaskMachineCore,Disabled,,Interactive/Background,7/16/2013 9:44,0,Administrator,C:\Program Files (x86)\Google\Update\GoogleUpdate.exe /c,N/A,Keeps your Google software up to date. If this task is disabled or stopped; your Google software will not be kept up to date; meaning security vulnerabilities that may arise cannot be fixed and features may not work. This task uninstalls itself when the,Disabled,Disabled,SYSTEM,72:00:00,Daily,9:44:00 AM,7/15/2013,N/A,Every 1 day(s),N/A,Stop If Still Running:        Disabled
TPAD37_duplicate5,\GoogleUpdateTaskMachineUA,7/30/2013 10:44,Ready,Interactive/Background,7/30/2013 9:44,0,Administrator,C:\Program Files (x86)\Google\Update\GoogleUpdate.exe /ua /installsource scheduler,N/A,Keeps your Google software up to date. If this task is disabled or stopped; your Google software will not be kept up to date; meaning security vulnerabilities that may arise cannot be fixed and features may not work. This task uninstalls itself when the,Enabled,Disabled,SYSTEM,Disabled,Daily,9:44:00 AM,7/15/2013,N/A,Every 1 day(s),N/A,Stop If Still Running:        Disabled
TPAD37_duplicate6,\Microsoft Office 15 Sync Maintenance for {f6bfdcc3-eb0a-4a98-a8ce-6aa056c95144} tpad37.ldn.itrs,N/A,Ready,Interactive only,7/25/2013 11:36,0,Microsoft Office,C:\Program Files\Microsoft Office\Office15\MsoSync.exe,N/A,Lightweight task keeps Microsoft Office Document Cache in good shape. Disabling this task may lead to unexpected issues when working with documents from online sources as well as higher disk usage.,Enabled,Disabled,LDN\ckrimmel,72:00:00,At logon time,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/
TPAD37_duplicate7,\Microsoft Office 15 Sync Maintenance for {f6bfdcc3-eb0a-4a98-a8ce-6aa056c95144} tpad37.ldn.itrs,N/A,Ready,Interactive only,7/25/2013 11:36,0,Microsoft Office,C:\Program Files\Microsoft Office\Office15\MsoSync.exe,N/A,Lightweight task keeps Microsoft Office Document Cache in good shape. Disabling this task may lead to unexpected issues when working with documents from online sources as well as higher disk usage.,Enabled,Disabled,LDN\ckrimmel,72:00:00,At idle time,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate8,\Microsoft Office 15 Sync Maintenance for {f6bfdcc3-eb0a-4a98-a8ce-6aa056c95144} tpad37.ldn.itrs,N/A,Ready,Interactive only,7/25/2013 11:36,0,Microsoft Office,C:\Program Files\Microsoft Office\Office15\MsoSync.exe,N/A,Lightweight task keeps Microsoft Office Document Cache in good shape. Disabling this task may lead to unexpected issues when working with documents from online sources as well as higher disk usage.,Enabled,Disabled,LDN\ckrimmel,72:00:00,One Time Only,5:07:01 PM,7/19/2013,7/24/2013,N/A,N/A,Stop If Still Running:        Disabled
TPAD37_duplicate9,\PMTask,N/A,Ready,Interactive/Background,7/18/2013 12:42,0,N/A,C:\PROGRA~2\ThinkPad\UTILIT~1\PwmIdTsv.exe,C:\PROGRA~2\ThinkPad\UTILIT~1,N/A,Enabled,Only Start If Idle for 0 minutes; If Not Idle Retry For 990 minutes Stop the task if Idle State end,Users,72:00:00,At idle time,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate10,\Run CCleaner,Disabled,,Interactive only,6/19/2013 12:51,0,LDN\ckrimmel,C:\Program Files\CCleaner\CCleaner64.exe /AUTO,N/A,N/A,Disabled,Only Start If Idle for 10 minutes; If Not Idle Retry For 60 minutes Stop the task if Idle State end,LDN\ckrimmel,72:00:00,Daily,12:30:00 PM,5/11/2013,N/A,Every 1 day(s),N/A,Stop If Still Running:        Disabled
