Jobname,Status,Start time,End time,Time Taken (mins),Next start,Max Run,
uni.ldn.prd.linux.famefeedbatch.elp,ON_ICE,Fri Dec  2 06:01:29 2011,Fri Dec  2 06:01:32 2011,0.1,Mon Dec  5 06:00:00 2011,Not set,
uni.prd.allbouncemidweek.elp,SUCCESS,Mon Oct 15 03:45:11 2012,Mon Oct 15 03:45:13 2012,0.0,Mon Oct 15 18:45:00 2012,60,
uni.prd.allbouncenamidweek.elp,SUCCESS,Mon Oct 15 03:45:10 2012,Mon Oct 15 03:45:12 2012,0.0,Tue Oct 16 03:45:00 2012,60,
uni.prd.allbounceweekend.elp,ON_ICE,Sat Nov 26 03:45:10 2011,Sat Nov 26 03:45:12 2011,0.0,Sat Dec  3 03:45:00 2011,60,
uni.prd.apacbatch.elp,SUCCESS,Mon Oct 15 04:20:10 2012,Mon Oct 15 04:20:31 2012,0.3,Tue Oct 16 04:20:00 2012,60,
uni.prd.archivedata.elp,SUCCESS,Mon Oct 15 09:30:12 2012,Mon Oct 15 10:26:40 2012,56.5,Tue Oct 16 09:30:00 2012,120,
uni.prd.archivelogs.elp,SUCCESS,Mon Oct 15 08:30:12 2012,Mon Oct 15 08:55:18 2012,25.1,Tue Oct 16 08:30:00 2012,120,
uni.prd.backtestingeod.elp,SUCCESS,Fri Oct 12 17:00:28 2012,Fri Oct 12 17:00:46 2012,0.3,Mon Oct 15 17:00:00 2012,Not set,
uni.prd.backtestingsod.elp,SUCCESS,Mon Oct 15 08:00:26 2012,Mon Oct 15 08:01:07 2012,0.7,Tue Oct 16 08:00:00 2012,Not set,
uni.prd.balancepollerbounce.elp,SUCCESS,Mon Oct 15 04:00:18 2012,Mon Oct 15 04:05:22 2012,5.1,Tue Oct 16 04:00:00 2012,60,
uni.prd.bounceenginehistoric1.elp,SUCCESS,Fri Jul 27 18:48:04 2012,Fri Jul 27 18:50:56 2012,2.9,No Time,Not set,
uni.prd.bounceenginehistoric2.elp,SUCCESS,Fri Jul 27 19:35:05 2012,Fri Jul 27 19:43:19 2012,8.2,No Time,Not set,
uni.prd.bounceengineprimary1.elp,SUCCESS,Fri Jul 27 18:48:01 2012,Fri Jul 27 18:50:53 2012,2.9,No Time,Not set,
