LWP,PID,COMMAND,S,%CPU,%MEM
15823,15823,rttpd,S,0.1,1.3
15825,15823,rttpd,S,0,1.3
15826,15823,rttpd,S,0,1.3
15827,15823,rttpd,S,0,1.3
15828,15823,rttpd,S,0,1.3
15829,15823,rttpd,S,0,1.3
15830,15823,rttpd,S,0,1.3
15831,15823,rttpd,S,0,1.3
15832,15823,rttpd,S,0,1.3
15833,15823,rttpd,S,0,1.3
15834,15823,rttpd,S,0,1.3
15835,15823,rttpd,S,0,1.3
15836,15823,rttpd,S,0,1.3
15837,15823,rttpd,S,0,1.3
15838,15823,rttpd,S,0,1.3
15839,15823,rttpd,S,0,1.3
15840,15823,rttpd,S,0,1.3
15841,15823,rttpd,S,0,1.3
15842,15823,rttpd,S,0,1.3
15843,15823,rttpd-peer-1,S,0.1,1.3
15844,15823,rttpd-peer-0,S,0,1.3
15845,15823,rttpd-session-0,S,0,1.3
15847,15823,rttpd,S,0,1.3
15848,15823,rttpd,S,0,1.3
15849,15823,rttpd,S,0,1.3
15850,15823,rttpd,S,0,1.3
15854,15823,rttpd,S,0,1.3
15855,15823,rttpd,S,0,1.3
30066,15823,rttpd,S,0,1.3
30069,15823,rttpd,S,0,1.3
30132,15823,rttpd,S,0,1.3
30135,15823,rttpd,S,0,1.3
30138,15823,rttpd,S,0,1.3
30209,15823,rttpd,S,0,1.3
30212,15823,rttpd,S,0,1.3
10512,15823,rttpd,S,0,1.3
18067,15823,rttpd,S,0.2,1.3
25402,15823,rttpd,S,0,1.3
