Handler Name,Description,Product Name,Product Version,Status,Start Date,Nb StartUp 1h,NbStartUp 15min,HostName,PID,pCpu,pMemory,Elapsed Time,Elapsed Time In Minuts,Cmd
<!>Data Availability,OK
<!>Nb Handlers Up,0
<!>Nb Handlers Down,10
kdeposithdl,Kondor+ Deposit Handler,-,-,OK,-,0,0,-,-,-,-,-,-,-
kspothdl,Spot position keeping Handler,-,-,OK,-,0,0,-,-,-,-,-,-,-
kbondhdl,Kondor+ Bonds Handler,-,-,OK,-,0,0,-,-,-,-,-,-,-
kbondcf_slave_hdl,Kondor+ Bonds Cash Flow Slave Handler,-,-,OK,-,0,0,-,-,-,-,-,-,-
kcustodyhdl,Kondor+ Custody Handler,-,-,OK,-,0,0,-,-,-,-,-,-,-
kbondsdepohdl,Kondor+ Bonds Deposit Handler,-,-,OK,-,0,0,-,-,-,-,-,-,-
kfxmmcarrycfhdl,Kondor+ FX MM Carry Cash Flow Handler,-,-,OK,-,0,0,-,-,-,-,-,-,-
kfuturehdl,Kondor+ Future Handler,-,-,OK,-,0,0,-,-,-,-,-,-,-
kequityhdl,Kondor+ Equity Handler,-,-,OK,-,0,0,-,-,-,-,-,-,-
kbondcf_master_hdl,Kondor+ Bonds Cash Flow Master Handler,-,-,OK,-,0,0,-,-,-,-,-,-,-
