link,parentCheckpoint,childCheckpoint,category,linkStatus,maxLatency,averageLatency,stdDevLatency,numMessages,lastMessageTime,totalMessages,
REQ to ACK,REQ,ACK,,ACTIVE,1436.8 ms,453.466 ms,2.646,9130,12:37:50,544447,
REQ to ACK#Client-0001,REQ,ACK,Client-0001,ACTIVE,736.785 ms,437.357 ms,0.955,67,12:37:50,10581,
REQ to ACK#Client-0002,REQ,ACK,Client-0002,ACTIVE,0.000 ms,0.000 ms,0.000,0,12:37:30,11244,
REQ to ACK#Client-0003,REQ,ACK,Client-0003,ACTIVE,640.336 ms,446.317 ms,0.208,206,12:37:50,12353,
REQ to ACK#Client-0004,REQ,ACK,Client-0004,ACTIVE,582.913 ms,476.748 ms,1.156,137,12:37:50,8990,
REQ to ACK#Client-0006,REQ,ACK,Client-0006,ACTIVE,1280.35 ms,472.542 ms,2.748,68,12:37:50,10769,
REQ to ACK#Client-0007,REQ,ACK,Client-0007,ACTIVE,1090.354 ms,433.731 ms,1.363,224,12:37:50,11105,
REQ to ACK#Client-0008,REQ,ACK,Client-0008,ACTIVE,536.165 ms,456.956 ms,1.948,373,12:37:50,11846,
REQ to ACK#Client-0009,REQ,ACK,Client-0009,ACTIVE,701.246 ms,497.194 ms,2.725,41,12:37:50,8523,
REQ to ACK#Client-0010,REQ,ACK,Client-0010,ACTIVE,626.007 ms,401.131 ms,1.756,381,12:37:50,11432,
REQ to ACK#Client-0011,REQ,ACK,Client-0011,ACTIVE,1168.964 ms,449.753 ms,2.488,55,12:37:50,9979,
REQ to ACK#Client-0012,REQ,ACK,Client-0012,ACTIVE,0.000 ms,0.000 ms,0.000,0,12:37:10,10687,
REQ to ACK#Client-0014,REQ,ACK,Client-0014,ACTIVE,903.921 ms,410.114 ms,0.265,334,12:37:50,9100,
REQ to ACK#Client-0015,REQ,ACK,Client-0015,ACTIVE,813.88 ms,414.743 ms,0.697,381,12:37:50,11358,
REQ to ACK#Client-0016,REQ,ACK,Client-0016,ACTIVE,1329.349 ms,471.665 ms,0.939,239,12:37:50,9418,
REQ to ACK#Client-0017,REQ,ACK,Client-0017,ACTIVE,761.217 ms,469.535 ms,1.057,365,12:37:50,11673,
REQ to ACK#Client-0018,REQ,ACK,Client-0018,ACTIVE,1003.81 ms,409.624 ms,1.09,94,12:37:50,9824,
REQ to ACK#Client-0019,REQ,ACK,Client-0019,ACTIVE,0.000 ms,0.000 ms,0.000,0,12:37:30,10615,
REQ to ACK#Client-0020,REQ,ACK,Client-0020,ACTIVE,569.686 ms,467.777 ms,1.995,161,12:37:50,10805,
REQ to ACK#Client-0021,REQ,ACK,Client-0021,ACTIVE,678.598 ms,469.41 ms,1.836,358,12:37:50,9948,
REQ to ACK#Client-0022,REQ,ACK,Client-0022,ACTIVE,973.828 ms,479.312 ms,0.102,2,12:37:50,10595,
REQ to ACK#Client-0023,REQ,ACK,Client-0023,ACTIVE,1436.8 ms,444.355 ms,1.58,250,12:37:50,10750,
REQ to ACK#Client-0024,REQ,ACK,Client-0024,ACTIVE,695.614 ms,477.538 ms,0.622,365,12:37:50,10162,
REQ to ACK#Client-0025,REQ,ACK,Client-0025,ACTIVE,0.000 ms,0.000 ms,0.000,0,12:37:10,10032,
REQ to ACK#Client-0027,REQ,ACK,Client-0027,ACTIVE,897.581 ms,487.076 ms,2.233,165,12:37:50,11284,
REQ to ACK#Client-0029,REQ,ACK,Client-0029,ACTIVE,1094.184 ms,428.513 ms,0.163,162,12:37:50,9513,
REQ to ACK#Client-0030,REQ,ACK,Client-0030,ACTIVE,0.000 ms,0.000 ms,0.000,0,12:37:30,11815,
REQ to ACK#Client-0031,REQ,ACK,Client-0031,ACTIVE,877.027 ms,446.456 ms,2.306,269,12:37:50,10973,
REQ to ACK#Client-0032,REQ,ACK,Client-0032,ACTIVE,590.023 ms,469.196 ms,1.104,32,12:37:50,11273,
REQ to ACK#Client-0033,REQ,ACK,Client-0033,ACTIVE,1075.271 ms,479.026 ms,1.163,364,12:37:50,12064,
REQ to ACK#Client-0034,REQ,ACK,Client-0034,ACTIVE,1422.186 ms,475.096 ms,0.707,52,12:37:50,11019,
REQ to ACK#Client-0035,REQ,ACK,Client-0035,ACTIVE,900.62 ms,413.173 ms,2.858,297,12:37:50,10030,
REQ to ACK#Client-0036,REQ,ACK,Client-0036,ACTIVE,0.000 ms,0.000 ms,0.000,0,12:37:10,10341,
REQ to ACK#Client-0037,REQ,ACK,Client-0037,ACTIVE,700.378 ms,455.75 ms,2.745,186,12:37:50,9058,
REQ to ACK#Client-0038,REQ,ACK,Client-0038,ACTIVE,1079.524 ms,431.353 ms,2.505,26,12:37:50,11353,
REQ to ACK#Client-0040,REQ,ACK,Client-0040,ACTIVE,1000.654 ms,429.2 ms,0.829,281,12:37:50,9378,
REQ to ACK#Client-0041,REQ,ACK,Client-0041,ACTIVE,0.000 ms,0.000 ms,0.000,0,12:37:30,10534,
REQ to ACK#Client-0042,REQ,ACK,Client-0042,ACTIVE,898.139 ms,452.309 ms,1.176,86,12:37:50,8727,
REQ to ACK#Client-0043,REQ,ACK,Client-0043,ACTIVE,1088.095 ms,466.342 ms,1.26,329,12:37:50,9805,
REQ to ACK#Client-0044,REQ,ACK,Client-0044,ACTIVE,1101.05 ms,415.437 ms,2.006,273,12:37:50,10585,
REQ to ACK#Client-0045,REQ,ACK,Client-0045,ACTIVE,0.000 ms,0.000 ms,0.000,0,12:37:30,10899,
REQ to ACK#Client-0046,REQ,ACK,Client-0046,ACTIVE,1011.162 ms,446.299 ms,1.192,145,12:37:50,9749,
REQ to ACK#Client-0047,REQ,ACK,Client-0047,ACTIVE,1340.166 ms,492.276 ms,2.453,222,12:37:50,11044,
REQ to ACK#Client-0048,REQ,ACK,Client-0048,ACTIVE,1026.127 ms,497.331 ms,1.865,397,12:37:50,11576,
REQ to ACK#Client-0049,REQ,ACK,Client-0049,ACTIVE,838.706 ms,475.509 ms,1.231,337,12:37:50,10298,
REQ to ACK#Client-0050,REQ,ACK,Client-0050,ACTIVE,1197.806 ms,456.171 ms,2.995,180,12:37:50,11491,
