fragmentID,segments,deviceName,totalPages,usedPages,totalMB,usedMB,percentUtilisation
<!>databaseName,gdc1mx
<!>status,up
<!>creationDate,Jul 16 2013 5:14PM
<!>lastTransactionDump,Jul 16 2013 5:44PM
<!>secsSinceLastTransactionDump,1950681
<!>logUtilisation,4.92 %
<!>dataUtilisation,54.67 %
Frag:0,system + default,master,640000,598757,1250.00,1169.45,93.56 %
Frag:1,system + default,master,353280,1380,690.00,2.70,0.39 %
Frag:2,system + default,sysprocsdev,640000,598757,1250.00,1169.45,93.56 %
Frag:3,system + default,sysprocsdev,353280,1380,690.00,2.70,0.39 %
Frag:4,system + default,systemdbdev,640000,598757,1250.00,1169.45,93.56 %
Frag:5,system + default,systemdbdev,353280,1380,690.00,2.70,0.39 %
Frag:6,system + default,tempdbdev,640000,598757,1250.00,1169.45,93.56 %
Frag:7,logsegment,tempdbdev,384000,18904,750.00,36.92,4.92 %
Frag:8,system + default,tempdbdev,286720,79307,560.00,154.90,27.66 %
Frag:9,system + default,tempdbdev,353280,1380,690.00,2.70,0.39 %
Frag:10,system + default,tempdbdev,39936,156,78.00,0.30,0.39 %
Frag:11,system + default,sybmgmtdev,640000,598757,1250.00,1169.45,93.56 %
Frag:12,system + default,sybmgmtdev,353280,1380,690.00,2.70,0.39 %
Frag:13,system + default,exgold31DATA,640000,598757,1250.00,1169.45,93.56 %
Frag:14,logsegment,exgold31DATA,384000,18904,750.00,36.92,4.92 %
Frag:15,system + default,exgold31DATA,286720,79307,560.00,154.90,27.66 %
Frag:16,system + default,exgold31DATA,353280,1380,690.00,2.70,0.39 %
Frag:17,system + default,exgold31DATA,39936,156,78.00,0.30,0.39 %
Frag:18,system + default,exgold31dmDATA,640000,598757,1250.00,1169.45,93.56 %
Frag:19,logsegment,exgold31dmDATA,384000,18904,750.00,36.92,4.92 %
Frag:20,system + default,exgold31dmDATA,286720,79307,560.00,154.90,27.66 %
Frag:21,system + default,exgold31dmDATA,353280,1380,690.00,2.70,0.39 %
Frag:22,system + default,exgold31dmDATA,39936,156,78.00,0.30,0.39 %
Frag:23,system + default,tempdbdev1,640000,598757,1250.00,1169.45,93.56 %
Frag:24,system + default,tempdbdev1,353280,1380,690.00,2.70,0.39 %
Frag:25,system + default,tempdbdev1,39936,156,78.00,0.30,0.39 %
Frag:26,system + default,EXMX211DATA,640000,598757,1250.00,1169.45,93.56 %
Frag:27,logsegment,EXMX211DATA,384000,18904,750.00,36.92,4.92 %
Frag:28,system + default,EXMX211DATA,286720,79307,560.00,154.90,27.66 %
Frag:29,system + default,EXMX211DATA,353280,1380,690.00,2.70,0.39 %
Frag:30,system + default,EXMX211DATA,39936,156,78.00,0.30,0.39 %
Frag:31,system + default,EXMX211LOG,640000,598757,1250.00,1169.45,93.56 %
Frag:32,system + default,EXMX211LOG,353280,1380,690.00,2.70,0.39 %
Frag:33,system + default,EXMX211LOG,39936,156,78.00,0.30,0.39 %
Frag:34,system + default,EXMLCDATA,640000,598757,1250.00,1169.45,93.56 %
Frag:35,logsegment,EXMLCDATA,384000,18904,750.00,36.92,4.92 %
Frag:36,system + default,EXMLCDATA,286720,79307,560.00,154.90,27.66 %
Frag:37,system + default,EXMLCDATA,353280,1380,690.00,2.70,0.39 %
Frag:38,system + default,EXMLCDATA,39936,156,78.00,0.30,0.39 %
Frag:39,system + default,EXMLCLOG,640000,598757,1250.00,1169.45,93.56 %
Frag:40,system + default,EXMLCLOG,353280,1380,690.00,2.70,0.39 %
Frag:41,system + default,EXMLCLOG,39936,156,78.00,0.30,0.39 %
Frag:42,system + default,murex_3_1_23_mlc_1_6_8DATA,640000,598757,1250.00,1169.45,93.56 %
Frag:43,logsegment,murex_3_1_23_mlc_1_6_8DATA,384000,18904,750.00,36.92,4.92 %
Frag:44,system + default,murex_3_1_23_mlc_1_6_8DATA,286720,79307,560.00,154.90,27.66 %
Frag:45,system + default,murex_3_1_23_mlc_1_6_8DATA,353280,1380,690.00,2.70,0.39 %
Frag:46,system + default,murex_3_1_23_mlc_1_6_8DATA,39936,156,78.00,0.30,0.39 %
Frag:47,system + default,murex_3_1_23_mlc_1_6_8LOG,640000,598757,1250.00,1169.45,93.56 %
Frag:48,logsegment,murex_3_1_23_mlc_1_6_8LOG,384000,18904,750.00,36.92,4.92 %
Frag:49,system + default,murex_3_1_23_mlc_1_6_8LOG,286720,79307,560.00,154.90,27.66 %
Frag:50,system + default,murex_3_1_23_mlc_1_6_8LOG,353280,1380,690.00,2.70,0.39 %
Frag:51,system + default,murex_3_1_23_mlc_1_6_8LOG,39936,156,78.00,0.30,0.39 %
Frag:52,system + default,exgold31LOG,640000,598757,1250.00,1169.45,93.56 %
Frag:53,logsegment,exgold31LOG,384000,18904,750.00,36.92,4.92 %
Frag:54,system + default,exgold31LOG,286720,79307,560.00,154.90,27.66 %
Frag:55,system + default,exgold31LOG,353280,1380,690.00,2.70,0.39 %
Frag:56,system + default,exgold31LOG,39936,156,78.00,0.30,0.39 %
Frag:57,system + default,exgold31mlcLOG,640000,598757,1250.00,1169.45,93.56 %
Frag:58,logsegment,exgold31mlcLOG,384000,18904,750.00,36.92,4.92 %
Frag:59,system + default,exgold31mlcLOG,353280,1380,690.00,2.70,0.39 %
Frag:60,system + default,exgold31mlcLOG,39936,156,78.00,0.30,0.39 %
Frag:61,system + default,EXMX31DATA,640000,598757,1250.00,1169.45,93.56 %
Frag:62,logsegment,EXMX31DATA,384000,18904,750.00,36.92,4.92 %
Frag:63,system + default,EXMX31DATA,286720,79307,560.00,154.90,27.66 %
Frag:64,system + default,EXMX31DATA,353280,1380,690.00,2.70,0.39 %
Frag:65,system + default,EXMX31DATA,39936,156,78.00,0.30,0.39 %
Frag:66,system + default,EXMX31LOG,640000,598757,1250.00,1169.45,93.56 %
Frag:67,logsegment,EXMX31LOG,384000,18904,750.00,36.92,4.92 %
Frag:68,system + default,EXMX31LOG,286720,79307,560.00,154.90,27.66 %
Frag:69,system + default,EXMX31LOG,353280,1380,690.00,2.70,0.39 %
Frag:70,system + default,EXMX31LOG,39936,156,78.00,0.30,0.39 %
Frag:71,system + default,exgold31mlcDATA,640000,598757,1250.00,1169.45,93.56 %
Frag:72,logsegment,exgold31mlcDATA,384000,18904,750.00,36.92,4.92 %
Frag:73,system + default,exgold31mlcDATA,286720,79307,560.00,154.90,27.66 %
