processName,/group,instanceCount,percentCPU,residentSetSize,processId,numThreads,percentMemory,virtualMemory,startTime,args,user
mx,,31,0.1 %,8876176 Kb,,1193,18.1 %,13592212 Kb,,,
mx#001,,,0.0 %,393632 Kb,12176,43,0.8 %,510572 Kb,Tue Jul  9 15:28:43 2013,mx /STDOUT:logs/mx_output.log /STDERR:logs/mx_stderr.log /MXJ_ORCHESTRATION_ID:ProcessServiceID /MXJ_ENGINE_CONTAINER_CLASS:mx.process.orchestrator.EngineContainer /MXJ_ORCHESTRATION_ID:ProcessServiceID /MX_SERVER:MXENGINECONTAINER /DCAP /DCAPPOL /NOPOPUP /IPRETRY:-1 /IPHOST:EXMXAPP01:60011 /USER...,extdl29
mx#002,,,0.0 %,279856 Kb,23273,38,0.6 %,434232 Kb,Fri Jul 12 08:20:11 2013,mx /STDOUT:logs/mx_output.log /STDERR:logs/mx_output.log /MX_SERVER:MXMLEXCHANG,sandpit3
mx#003,,,0.0 %,346296 Kb,12775,44,0.7 %,518056 Kb,Tue Jul 16 15:43:21 2013,mx /STDOUT:logs/mx_output.log /STDERR:logs/mx_output.log /MX_SERVER:SQLUSERAUTH,gold3126
mx#004,,,0.0 %,280992 Kb,9913,37,0.6 %,433216 Kb,Tue Jul 16 11:18:34 2013,mx /STDOUT:logs/mx_output.log /STDERR:logs/mx_output.log /MX_SERVER:SMCCONTAINE,sandpit3
mx#005,,,0.0 %,271384 Kb,23278,38,0.6 %,425472 Kb,Fri Jul 12 08:20:22 2013,mx /STDOUT:logs/mx_output.log /STDERR:logs/mx_output.log /MX_SERVER:TRADEREPOSI,sandpit3
mx#006,,,0.0 %,276236 Kb,23277,38,0.6 %,430320 Kb,Fri Jul 12 08:20:21 2013,mx /STDOUT:logs/mx_output.log /STDERR:logs/mx_output.log /MX_SERVER:TRADEREPOSI,sandpit3
mx#007,,,0.0 %,272076 Kb,23276,38,0.6 %,426112 Kb,Fri Jul 12 08:20:20 2013,mx /STDOUT:logs/mx_output.log /STDERR:logs/mx_output.log /MX_SERVER:TRADEREPOSI,sandpit3
mx#008,,,0.0 %,274728 Kb,23294,36,0.6 %,429392 Kb,Fri Jul 12 08:20:35 2013,mx /STDOUT:logs/mx_output.log /STDERR:logs/mx_output.log /MX_SERVER:TRADEREPOSI,sandpit3
mx#009,,,0.0 %,279412 Kb,23274,38,0.6 %,434260 Kb,Fri Jul 12 08:20:11 2013,mx /STDOUT:logs/mx_output.log /STDERR:logs/mx_output.log /MX_SERVER:MXMLEXCHANG,sandpit3
mx#010,,,0.0 %,275516 Kb,23279,38,0.6 %,430248 Kb,Fri Jul 12 08:20:22 2013,mx /STDOUT:logs/mx_output.log /STDERR:logs/mx_output.log /MX_SERVER:TRADEREPOSI,sandpit3
mx#011,,,0.0 %,279324 Kb,23280,38,0.6 %,433424 Kb,Fri Jul 12 08:20:22 2013,mx /STDOUT:logs/mx_output.log /STDERR:logs/mx_output.log /MX_SERVER:TRADEREPOSI,sandpit3
mx#012,,,0.0 %,275800 Kb,23281,38,0.6 %,430192 Kb,Fri Jul 12 08:20:22 2013,mx /STDOUT:logs/mx_output.log /STDERR:logs/mx_output.log /MX_SERVER:TRADEREPOSI,sandpit3
mx#013,,,0.0 %,275560 Kb,23282,38,0.6 %,430296 Kb,Fri Jul 12 08:20:23 2013,mx /STDOUT:logs/mx_output.log /STDERR:logs/mx_output.log /MX_SERVER:TRADEREPOSI,sandpit3
mx#014,,,0.0 %,278252 Kb,23283,38,0.6 %,432340 Kb,Fri Jul 12 08:20:24 2013,mx /STDOUT:logs/mx_output.log /STDERR:logs/mx_output.log /MX_SERVER:TRADEREPOSI,sandpit3
