userName,trader_id,loginStatus,timeStamp,clientName,loginDuration
mcostan,JPMFRSDT003,Logged-In,Jul-25-07:42:10,EQ949065.itrsgroup.com,
jsabran,JPMFRSDT001,Logged-In,Jul-25-07:43:13,EQ949066.itrsgroup.com,
rrodriguez,JPMFRCHL007,Logged-In,Jul-25-07:43:17,EQ929265.itrsgroup.com,
aleteiss,JPMFRCHL014,Logged-In,Jul-25-07:48:43,EQ949966.itrsgroup.com,
pleech,JPMFRCHL003,Logged-In,Jul-25-07:48:50,EQ398950.itrsgroup.com,
dcockerh,JPMFRSDT004,Logged-In,Jul-25-07:50:05,EQ933890.itrsgroup.com,
rhill,JPMFRCHL016,Logged-In,Jul-25-07:51:00,eq949824.itrsgroup.com,
ctoerrin,JPMFRSDT002,Logged-In,Jul-25-07:54:05,EQ949047.itrsgroup.com,
vsourkov,JPMFRTRD016,Logged-In,Jul-25-07:55:45,EQ386382.itrsgroup.com,
gjmurphy,JPMFRCHL012,Logged-In,Jul-25-08:02:50,EQ386381.itrsgroup.com,
dbarclay,JPMFRTRD018,Logged-In,Jul-25-08:10:55,EQ385285.itrsgroup.com,
idjian,JPMFRCHL015,Logged-In,Jul-25-08:14:03,EQ949591.itrsgroup.com,
sheringer,JPMFRTRD017,Logged-In,Jul-25-08:17:11,Eq949592.itrsgroup.com,
pdevos,JPMFRTRD014,Logged-In,Jul-25-11:21:49,PC387593.itrsgroup.com,
azagury,JPMFRTRD015,Logged-In,Jul-25-09:23:19,eq719326.itrsgroup.com,
edepommerol,JPMFRCHL011,Logged-In,Jul-25-09:25:55,EQ929219.itrsgroup.com,
pcarey,JPMFRCHL015,Logged-Out,Jul-25-14:31:42,EQ-389250.itrsgroup.com,2 Secs (01:18:02)
pmusca,,Logged-In,Jul-25-13:16:15,EQ949983.itrsgroup.com,
