Ticker,Ticker_Detail,Price,Change,Delta,Time
<!>timeSinceUpdate,462 seconds
<!>timeSinceModification,462 seconds
GFRN2:IND,,,,%,
GFRN5:IND,,,,%,
GFRN10:IND,France 10 Year,2.273,-0.006,-0.263%,1375113060
GDBR2:IND,2 Year,0.159,0.009,6%,1375113060
GDBR5:IND,5 Year,0.655,0.01,1.55%,1375113060
GDBR10:IND,Germany 10 Year,1.665,0,0%,1375113060
GUKG2:IND,2 Year,0.307,0.012,4.068%,1375113060
GUKG5:IND,5 Year,1.231,-0.003,-0.243%,1375113060
GUKG10:IND,UK 10 Year,2.322,-0.011,-0.471%,1375113000
