Ticker,Ticker_Detail,Price,Change,Delta,Time
<!>timeSinceUpdate,462 seconds
<!>timeSinceModification,462 seconds
GGGB2YR:IND,,,,%,
GGGB5YR:IND,,,,%,
GGGB10YR:IND,Greece 10 Year,10.051,-0.016,-0.159%,1375113060
GSPT2YR:IND,,,,%,
GSPT5YR:IND,,,,%,
GSPT10YR:IND,Portugal 10 Year,6.464,0.004,0.062%,1375113060
GIGB2YR:IND,,,,%,
GIGB5YR:IND,,,,%,
GIGB10YR:IND,,,,%,
GSPG2YR:IND,,,,%,
GSPG5YR:IND,,,,%,
GSPG10YR:IND,Spain 10 Year,4.682,0.06,1.298%,1375113000
GBTPGR2:IND,2 Year,1.611,0.046,2.939%,1375113060
GBTPGR5:IND,5 Year,3.292,0.076,2.363%,1375113060
GBTPGR10:IND,Italy 10 Year,4.462,0.061,1.386%,1375113060
