Ticker,Ticker_Detail,Price,Change,Delta,Time
<!>timeSinceUpdate,462 seconds
<!>timeSinceModification,462 seconds
FTSEMIB:IND,FTSE MIB INDEX,16275.71,-145.8,-0.88786%,1375111859
ITLMS:IND,FTSE Italia All-Share,17299,-153.689,-0.88061%,1375112142
ITMC:IND,FTSE Italia Mid Cap Ind,21292.949,-69.6816,-0.32618%,1375111859
ITSTAR:IND,FTSE Italia STAR Index,13274.98,4.4707,0.03369%,1375111859
UKX:IND,FTSE 100 INDEX,6560.25,5.45996,0.0833%,1375112130
DAX:IND,DAX INDEX,8259.03,14.1201,0.17126%,1375112180
CAC:IND,CAC 40 INDEX,3968.91,0.06982,0.00176%,1375112175
IBEX:IND,IBEX 35 INDEX,8361.9,8.30078,0.09937%,1375111796
SMI:IND,SWISS MARKET INDEX,7814.11,17.27,0.2215%,1375111898
INDU:IND,DOW JONES INDUS. AVG,15494.93,-63.9004,-0.4107%,1375113021
CCMP:IND,NASDAQ COMPOSITE INDEX,3595.094,-18.0701,-0.50012%,1375113000
SPX:IND,S&P 500 INDEX,1683.12,-8.53003,-0.50424%,1375112096
AEX:IND,AEX-Index,368.33,0.01999,0.00543%,1375112115
