tracker,state,time,wimp,rate,max,total,
LineDataBlock.cqs_1,WIMP Stats,2009-05-05 13:28:13.146,LineDataBlock.cqs_1,6114,6293,5848768,
LineDataBlock.cqs_2,WIMP Stats,2009-05-05 13:28:13.146,LineDataBlock.cqs_2,5706,7312,6146116,
LineDataBlock.cqs_3,WIMP Stats,2009-05-05 13:28:13.147,LineDataBlock.cqs_3,5611,6068,5868588,
LineDataBlock.cqs_4,WIMP Stats,2009-05-05 13:28:13.148,LineDataBlock.cqs_4,5061,5796,5178735,
LineDataBlock.cqs_5,WIMP Stats,2009-05-05 13:28:13.148,LineDataBlock.cqs_5,4482,6313,4951418,
LineDataBlock.cts_1,WIMP Stats,2009-05-05 13:28:13.149,LineDataBlock.cts_1,2348,3050,2084946,
LineDataBlock.cts_2,WIMP Stats,2009-05-05 13:28:13.153,LineDataBlock.cts_2,1798,3786,1726348,
LineDataBlock.cts_3,WIMP Stats,2009-05-05 13:28:13.153,LineDataBlock.cts_3,792,1568,835640,
LineDataBlock.cts_4,WIMP Stats,2009-05-05 13:28:13.154,LineDataBlock.cts_4,808,5938,1642886,
LineData.cqs_1,WIMP Stats,2009-05-05 13:28:13.154,LineData.cqs_1,39914,40881,33857285,
LineData.cqs_2,WIMP Stats,2009-05-05 13:28:13.155,LineData.cqs_2,37151,41388,34741413,
LineData.cqs_3,WIMP Stats,2009-05-05 13:28:13.155,LineData.cqs_3,36994,39880,33540099,
LineData.cqs_4,WIMP Stats,2009-05-05 13:28:13.156,LineData.cqs_4,32494,33852,29327776,
LineData.cqs_5,WIMP Stats,2009-05-05 13:28:13.157,LineData.cqs_5,20436,30090,21523570,
LineData.cts_1,WIMP Stats,2009-05-05 13:28:13.157,LineData.cts_1,21783,30525,17554075,
LineData.cts_2,WIMP Stats,2009-05-05 13:28:13.158,LineData.cts_2,15991,22073,12819156,
LineData.cts_3,WIMP Stats,2009-05-05 13:28:13.159,LineData.cts_3,2888,4542,2823188,
LineData.cts_4,WIMP Stats,2009-05-05 13:28:13.159,LineData.cts_4,958,3204,1354211,
RecordUpdate,WIMP Stats,2009-05-05 13:28:13.162,RecordUpdate,317822,340126,293642111,
MsgTrade,WIMP Stats,2009-05-05 13:28:13.163,MsgTrade,81264,111466,65653586,
MsgTradeRecap,WIMP Stats,2009-05-05 13:28:13.163,MsgTradeRecap,22,40,17118,
MsgTradeCancelOrError,WIMP Stats,2009-05-05 13:28:13.164,MsgTradeCancelOrError,2,24,7162,
MsgTradeCorrection,WIMP Stats,2009-05-05 13:28:13.164,MsgTradeCorrection,20,28,9956,
MsgQuote,WIMP Stats,2009-05-05 13:28:13.165,MsgQuote,70092,101369,75212760,
MsgParticipantQuote,WIMP Stats,2009-05-05 13:28:13.165,MsgParticipantQuote,166957,173990,152867913,
MsgSecurityStatus,WIMP Stats,2009-05-05 13:28:13.166,MsgSecurityStatus,0,8,1901,
MsgIndexNeg,WIMP Stats,2009-05-05 13:28:13.166,MsgIndexNeg,4335,29404,8032440,
MsgIndexMisc,WIMP Stats,2009-05-05 13:28:13.167,MsgIndexMisc,2470,26476,6452355,
MsgGeneric,WIMP Stats,2009-05-05 13:28:13.167,MsgGeneric,0,27037,1487035,
MamaMessageCount(default),WIMP Stats,2009-05-05 13:28:13.168,MamaMessageCount(default),36,36,37728,
